水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,つめた川,,,,,左岸,0,34.90706172,136.1322614,,,
,つめた川,,,,,右岸,0,34.90685706,136.1327489,,,
,つめた川,,,,,左岸,0.1,34.90630177,136.131752,,,
,つめた川,,,,,右岸,0.1,34.90604075,136.1321981,,,
,つめた川,,,,,左岸,0.2,34.906127,136.1308757,,,
,つめた川,,,,,右岸,0.2,34.90577912,136.1312236,,,
,つめた川,,,,,左岸,0.3,34.90625873,136.130203,,,
,つめた川,,,,,右岸,0.3,34.90594042,136.1298156,,,
,つめた川,,,,,左岸,0.4,34.90609029,136.1291873,,,
,つめた川,,,,,右岸,0.4,34.90564282,136.1291214,,,
,つめた川,,,,,左岸,0.5,34.90598927,136.1280333,,,
,つめた川,,,,,右岸,0.5,34.90569608,136.1284489,,,
,つめた川,,,,,左岸,0.6,34.9053513,136.1272991,,,
,つめた川,,,,,右岸,0.6,34.90502622,136.1276782,,,
,つめた川,,,,,左岸,0.7,34.90537666,136.126557,,,
,つめた川,,,,,右岸,0.7,34.90493693,136.1264368,,,
,つめた川,,,,,左岸,0.8,34.90595512,136.1264023,,,
,つめた川,,,,,右岸,0.8,34.90584815,136.1258708,,,
