水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,シャックリ川,,,,,左岸,0,34.6364364,136.1014896,,,
,シャックリ川,,,,,右岸,0,34.63714641,136.1013363,,,
,シャックリ川,,,,,左岸,0.1,34.63672247,136.1026859,,,
,シャックリ川,,,,,右岸,0.1,34.63733826,136.1022316,,,
,シャックリ川,,,,,左岸,0.2,34.63724726,136.1035942,,,
,シャックリ川,,,,,右岸,0.2,34.63784575,136.1031073,,,
,シャックリ川,,,,,左岸,0.3,34.63743562,136.1042689,,,
,シャックリ川,,,,,右岸,0.3,34.63813512,136.1044814,,,
,シャックリ川,,,,,左岸,0.4,34.63730203,136.1054823,,,
,シャックリ川,,,,,右岸,0.4,34.63801611,136.1053598,,,
,シャックリ川,,,,,左岸,0.5,34.63741061,136.1068009,,,
,シャックリ川,,,,,右岸,0.5,34.63788904,136.1061479,,,
,シャックリ川,,,,,左岸,0.6,34.63766945,136.1074543,,,
,シャックリ川,,,,,右岸,0.6,34.63838989,136.1074137,,,
,シャックリ川,,,,,左岸,0.7,34.63789084,136.1082364,,,
,シャックリ川,,,,,右岸,0.7,34.63854467,136.1086047,,,
,シャックリ川,,,,,左岸,0.8,34.63783129,136.1095622,,,
,シャックリ川,,,,,右岸,0.8,34.6385359,136.1093761,,,
,シャックリ川,,,,,左岸,0.9,34.63773809,136.1106734,,,
,シャックリ川,,,,,右岸,0.9,34.63842496,136.1104073,,,
,シャックリ川,,,,,左岸,1,34.63821077,136.1123426,,,
,シャックリ川,,,,,右岸,1,34.63880743,136.1128328,,,
,シャックリ川,,,,,左岸,1.1,34.63756163,136.1128586,,,
,シャックリ川,,,,,右岸,1.1,34.63798589,136.1135642,,,
,シャックリ川,,,,,左岸,1.2,34.63705102,136.1140557,,,
,シャックリ川,,,,,右岸,1.2,34.63776487,136.11418,,,
,シャックリ川,,,,,左岸,1.3,34.63666119,136.1147799,,,
,シャックリ川,,,,,右岸,1.3,34.63725785,136.1152701,,,
,シャックリ川,,,,,左岸,1.4,34.63654459,136.1170821,,,
,シャックリ川,,,,,右岸,1.4,34.63726524,136.1171166,,,
,シャックリ川,,,,,左岸,1.5,34.63663526,136.1182649,,,
,シャックリ川,,,,,右岸,1.5,34.63730989,136.1179563,,,
,シャックリ川,,,,,左岸,1.6,34.63704262,136.1189364,,,
,シャックリ川,,,,,右岸,1.6,34.63776384,136.1189375,,,
,シャックリ川,,,,,左岸,1.7,34.63734744,136.1198018,,,
,シャックリ川,,,,,右岸,1.7,34.63806805,136.1198377,,,
,シャックリ川,,,,,左岸,1.8,34.63730877,136.1217889,,,
,シャックリ川,,,,,右岸,1.8,34.63802905,136.1218335,,,
,シャックリ川,,,,,左岸,1.9,34.63710251,136.1223995,,,
,シャックリ川,,,,,右岸,1.9,34.63758968,136.123043,,,
,シャックリ川,,,,,左岸,2,34.63677109,136.1233,,,
,シャックリ川,,,,,右岸,2,34.63719821,136.1240031,,,
,シャックリ川,,,,,左岸,2.1,34.6360518,136.1239672,,,
,シャックリ川,,,,,右岸,2.1,34.63648818,136.124662,,,
,シャックリ川,,,,,左岸,2.2,34.63812916,136.1116882,,,
,シャックリ川,,,,,右岸,2.2,34.6388413,136.1115502,,,
,シャックリ川,,,,,左岸,2.3,34.63663083,136.1158516,,,
,シャックリ川,,,,,右岸,2.3,34.63735085,136.1158013,,,
,シャックリ川,,,,,左岸,2.4,34.63764188,136.1206348,,,
,シャックリ川,,,,,右岸,2.4,34.63817206,136.1212264,,,
