水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,七縄川,,,,,左岸,0,35.42254548,136.249708,,,
,七縄川,,,,,右岸,0,35.4229003,136.2492093,,,
,七縄川,,,,,左岸,0.1,35.42292237,136.2504592,,,
,七縄川,,,,,右岸,0.1,35.423444,136.2502847,,,
,七縄川,,,,,左岸,0.2,35.42316054,136.2515213,,,
,七縄川,,,,,右岸,0.2,35.42368216,136.2513468,,,
,七縄川,,,,,左岸,0.3,35.42340109,136.2525869,,,
,七縄川,,,,,右岸,0.3,35.42392089,136.2524044,,,
,七縄川,,,,,左岸,0.4,35.42365009,136.2536453,,,
,七縄川,,,,,右岸,0.4,35.42416988,136.2534628,,,
,七縄川,,,,,左岸,0.5,35.42391551,136.2547348,,,
,七縄川,,,,,右岸,0.5,35.42441602,136.2544844,,,
,七縄川,,,,,左岸,0.6,35.42445226,136.2557549,,,
,七縄川,,,,,右岸,0.6,35.42484686,136.255303,,,
,七縄川,,,,,左岸,0.7,35.42500826,136.2565325,,,
,七縄川,,,,,右岸,0.7,35.42546903,136.2561865,,,
,七縄川,,,,,左岸,0.8,35.42518322,136.2574435,,,
,七縄川,,,,,右岸,0.8,35.42572262,136.2573952,,,
,七縄川,,,,,左岸,0.9,35.42521284,136.2584711,,,
,七縄川,,,,,右岸,0.9,35.42574805,136.2585662,,,
,七縄川,,,,,左岸,1,35.42509382,136.2595845,,,
,七縄川,,,,,右岸,1,35.42563301,136.2596361,,,
,七縄川,,,,,左岸,1.1,35.42524187,136.2607712,,,
,七縄川,,,,,右岸,1.1,35.42576678,136.260612,,,
,七縄川,,,,,左岸,1.2,35.42545898,136.26184,,,
,七縄川,,,,,右岸,1.2,35.4259839,136.2616809,,,
,七縄川,,,,,左岸,1.3,35.42568367,136.2629094,,,
,七縄川,,,,,右岸,1.3,35.4262075,136.2627449,,,
,七縄川,,,,,左岸,1.4,35.42594853,136.2640033,,,
,七縄川,,,,,右岸,1.4,35.42645169,136.263761,,,
,七縄川,,,,,左岸,1.5,35.42622269,136.2649643,,,
,七縄川,,,,,右岸,1.5,35.42675889,136.2648779,,,
,七縄川,,,,,左岸,1.6,35.42580693,136.2653246,,,
,七縄川,,,,,右岸,1.6,35.42591238,136.2657509,,,
,七縄川,,,,,左岸,1.7,35.42494231,136.2656208,,,
,七縄川,,,,,右岸,1.7,35.42503942,136.2660413,,,
,七縄川,,,,,左岸,1.8,35.42391669,136.2660411,,,
,七縄川,,,,,右岸,1.8,35.4240187,136.2664599,,,
,七縄川,,,,,左岸,1.9,35.423591,136.2668901,,,
,七縄川,,,,,右岸,1.9,35.42394548,136.2667716,,,
,七縄川,,,,,左岸,2,35.42380454,136.2678459,,,
,七縄川,,,,,右岸,2,35.42415231,136.2677302,,,
,七縄川,,,,,左岸,2.1,35.42406055,136.2690142,,,
,七縄川,,,,,右岸,2.1,35.42442396,136.2688974,,,
,七縄川,,,,,左岸,2.2,35.42429938,136.2700799,,,
,七縄川,,,,,右岸,2.2,35.42464675,136.2699608,,,
,七縄川,,,,,左岸,2.3,35.42454048,136.271141,,,
,七縄川,,,,,右岸,2.3,35.42489086,136.2710209,,,
,七縄川,,,,,左岸,2.4,35.42473935,136.2719879,,,
,七縄川,,,,,右岸,2.4,35.42507798,136.2718718,,,
,七縄川,,,,,左岸,2.5,35.42404889,136.2728521,,,
,七縄川,,,,,右岸,2.5,35.42427336,136.2732032,,,
,七縄川,,,,,左岸,2.6,35.42353219,136.2732741,,,
,七縄川,,,,,右岸,2.6,35.42374534,136.2736393,,,
,七縄川,,,,,左岸,2.7,35.42283226,136.2737612,,,
,七縄川,,,,,右岸,2.7,35.42291476,136.274192,,,
,七縄川,,,,,左岸,2.8,35.42194676,136.2739862,,,
,七縄川,,,,,右岸,2.8,35.42203937,136.2744412,,,
