水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,三俣川,,,,,左岸,0,35.07310322,135.5366007,,,
,三俣川,,,,,右岸,0,35.07322598,135.5356352,,,
,三俣川,,,,,左岸,0.1,35.07373041,135.5368301,,,
,三俣川,,,,,右岸,0.1,35.07434566,135.5360289,,,
,三俣川,,,,,左岸,0.2,35.07421967,135.5376507,,,
,三俣川,,,,,右岸,0.2,35.07466185,135.5374293,,,
,三俣川,,,,,左岸,0.3,35.0745285,135.5385633,,,
,三俣川,,,,,右岸,0.3,35.07502865,135.5383128,,,
,三俣川,,,,,左岸,0.4,35.07496086,135.5395769,,,
,三俣川,,,,,右岸,0.4,35.07542722,135.5392437,,,
,三俣川,,,,,左岸,0.5,35.07540683,135.5405187,,,
,三俣川,,,,,右岸,0.5,35.07588098,135.5402021,,,
,三俣川,,,,,左岸,0.6,35.07578573,135.5414887,,,
,三俣川,,,,,右岸,0.6,35.07627631,135.5412116,,,
,三俣川,,,,,左岸,0.7,35.07616879,135.542484,,,
,三俣川,,,,,右岸,0.7,35.07665766,135.5422025,,,
,三俣川,,,,,左岸,0.8,35.07656087,135.543465,,,
,三俣川,,,,,右岸,0.8,35.07705367,135.5431938,,,
,三俣川,,,,,左岸,0.9,35.07666114,135.5443303,,,
,三俣川,,,,,右岸,0.9,35.07719274,135.5444516,,,
,三俣川,,,,,左岸,1,35.07654218,135.5455286,,,
,三俣川,,,,,右岸,1,35.07707575,135.5454208,,,
,三俣川,,,,,左岸,1.1,35.07708408,135.5466594,,,
,三俣川,,,,,右岸,1.1,35.07741284,135.546137,,,
,三俣川,,,,,左岸,1.2,35.07778691,135.5473225,,,
,三俣川,,,,,右岸,1.2,35.07813418,135.5468181,,,
,三俣川,,,,,左岸,1.3,35.07840675,135.5480409,,,
,三俣川,,,,,右岸,1.3,35.07881581,135.5476104,,,
,三俣川,,,,,左岸,1.4,35.07881637,135.5489191,,,
,三俣川,,,,,右岸,1.4,35.07930119,135.5486275,,,
,三俣川,,,,,左岸,1.5,35.07950332,135.5498147,,,
,三俣川,,,,,右岸,1.5,35.07984769,135.5493074,,,
,三俣川,,,,,左岸,1.6,35.08016615,135.5505268,,,
,三俣川,,,,,右岸,1.6,35.08053586,135.5500465,,,
,三俣川,,,,,左岸,1.7,35.08066672,135.5513054,,,
,三俣川,,,,,右岸,1.7,35.08114157,135.5509904,,,
,三俣川,,,,,左岸,1.8,35.08111318,135.552268,,,
,三俣川,,,,,右岸,1.8,35.08158096,135.5519377,,,
,三俣川,,,,,左岸,1.9,35.08158457,135.5532237,,,
,三俣川,,,,,右岸,1.9,35.08203649,135.5528622,,,
,三俣川,,,,,左岸,2,35.08208804,135.5541367,,,
,三俣川,,,,,右岸,2,35.08253743,135.5537706,,,
,三俣川,,,,,左岸,2.1,35.08256211,135.5550516,,,
,三俣川,,,,,右岸,2.1,35.08302478,135.5547108,,,
,三俣川,,,,,左岸,2.2,35.0829792,135.5560003,,,
,三俣川,,,,,右岸,2.2,35.08345837,135.5556951,,,
,三俣川,,,,,左岸,2.3,35.08339688,135.5569718,,,
,三俣川,,,,,右岸,2.3,35.08387626,135.5566671,,,
,三俣川,,,,,左岸,2.4,35.08377055,135.5579266,,,
,三俣川,,,,,右岸,2.4,35.08427579,135.5576918,,,
,三俣川,,,,,左岸,2.5,35.08398977,135.5589226,,,
,三俣川,,,,,右岸,2.5,35.08452251,135.558809,,,
,三俣川,,,,,左岸,2.6,35.08383537,135.5600071,,,
,三俣川,,,,,右岸,2.6,35.08498028,135.5598926,,,
,三俣川,,,,,左岸,2.7,35.08381127,135.561008,,,
,三俣川,,,,,右岸,2.7,35.08505173,135.5610967,,,
,三俣川,,,,,左岸,2.8,35.08381508,135.5620713,,,
,三俣川,,,,,右岸,2.8,35.08478813,135.562207,,,
,三俣川,,,,,左岸,2.9,35.08373138,135.5633278,,,
,三俣川,,,,,右岸,2.9,35.08473127,135.5631322,,,
,三俣川,,,,,左岸,3,35.0841348,135.5645057,,,
,三俣川,,,,,右岸,3,35.08492211,135.5640012,,,
,三俣川,,,,,左岸,3.1,35.08448662,135.5654993,,,
,三俣川,,,,,右岸,3.1,35.08530937,135.5650039,,,
,三俣川,,,,,左岸,3.2,35.08481508,135.5666834,,,
,三俣川,,,,,右岸,3.2,35.08574779,135.5662859,,,
,三俣川,,,,,左岸,3.3,35.08502878,135.5674658,,,
,三俣川,,,,,右岸,3.3,35.08592856,135.5671916,,,
,三俣川,,,,,左岸,3.4,35.08516233,135.5682482,,,
,三俣川,,,,,右岸,3.4,35.08564714,135.56854,,,
,三俣川,,,,,左岸,3.5,35.08471823,135.5691024,,,
,三俣川,,,,,右岸,3.5,35.08513263,135.5695252,,,
