水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,三明谷川,,,,,左岸,0,35.17218813,135.6537576,,,
,三明谷川,,,,,右岸,0,35.17238631,135.6533908,,,
,三明谷川,,,,,左岸,0.1,35.17294875,135.6543545,,,
,三明谷川,,,,,右岸,0.1,35.17314116,135.6539831,,,
,三明谷川,,,,,左岸,0.2,35.17376118,135.6549596,,,
,三明谷川,,,,,右岸,0.2,35.17384952,135.6545338,,,
,三明谷川,,,,,左岸,0.3,35.17467189,135.6543759,,,
,三明谷川,,,,,右岸,0.3,35.17443559,135.6540442,,,
,三明谷川,,,,,左岸,0.4,35.17514284,135.6539985,,,
,三明谷川,,,,,右岸,0.4,35.17539692,135.6536869,,,
,三明谷川,,,,,左岸,0.5,35.17576335,135.6547776,,,
,三明谷川,,,,,右岸,0.5,35.17603128,135.6544837,,,
,三明谷川,,,,,左岸,0.6,35.1766899,135.6553747,,,
,三明谷川,,,,,右岸,0.6,35.17643799,135.6550605,,,
,三明谷川,,,,,左岸,0.7,35.17734386,135.6546287,,,
,三明谷川,,,,,右岸,0.7,35.17709974,135.6543055,,,
,三明谷川,,,,,左岸,0.8,35.17787674,135.6543057,,,
,三明谷川,,,,,右岸,0.8,35.17806501,135.6539312,,,
,三明谷川,,,,,左岸,0.9,35.17850044,135.6549941,,,
,三明谷川,,,,,右岸,0.9,35.17877145,135.6547044,,,
,三明谷川,,,,,左岸,1,35.17909948,135.6558498,,,
,三明谷川,,,,,右岸,1,35.17933598,135.6555183,,,
,三明谷川,,,,,左岸,1.1,35.18003277,135.6559828,,,
,三明谷川,,,,,右岸,1.1,35.1801456,135.6555656,,,
,三明谷川,,,,,左岸,1.2,35.18100109,135.6560056,,,
,三明谷川,,,,,右岸,1.2,35.18094289,135.6555722,,,
,三明谷川,,,,,左岸,1.3,35.18190742,135.6557602,,,
,三明谷川,,,,,右岸,1.3,35.18179427,135.6553432,,,
