水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,三条川,,,,,左岸,0,35.44092729,136.2689415,,,
,三条川,,,,,右岸,0,35.44108775,136.2683104,,,
,三条川,,,,,左岸,0.1,35.44193686,136.2689795,,,
,三条川,,,,,右岸,0.1,35.44184383,136.2683284,,,
,三条川,,,,,左岸,0.2,35.44266951,136.268911,,,
,三条川,,,,,右岸,0.2,35.44288074,136.2683026,,,
,三条川,,,,,左岸,0.3,35.44340436,136.2694637,,,
,三条川,,,,,右岸,0.3,35.44368318,136.2688974,,,
,三条川,,,,,左岸,0.4,35.44439683,136.2698608,,,
,三条川,,,,,右岸,0.4,35.44436988,136.2692007,,,
,三条川,,,,,左岸,0.5,35.44532941,136.2696255,,,
,三条川,,,,,右岸,0.5,35.44519569,136.2689851,,,
,三条川,,,,,左岸,0.6,35.44620638,136.2693327,,,
,三条川,,,,,右岸,0.6,35.44605761,136.2686973,,,
,三条川,,,,,左岸,0.7,35.44707529,136.2690221,,,
,三条川,,,,,右岸,0.7,35.44691898,136.2683894,,,
,三条川,,,,,左岸,0.8,35.44799996,136.2682847,,,
,三条川,,,,,右岸,0.8,35.44749835,136.2680376,,,
,三条川,,,,,左岸,0.9,35.44829097,136.2672182,,,
,三条川,,,,,右岸,0.9,35.44777652,136.2670142,,,
,三条川,,,,,左岸,1,35.44859172,136.2662484,,,
,三条川,,,,,右岸,1,35.44811762,136.2659303,,,
,三条川,,,,,左岸,1.1,35.44913605,136.2654519,,,
,三条川,,,,,右岸,1.1,35.4487188,136.2650314,,,
,三条川,,,,,左岸,1.2,35.44970285,136.2645572,,,
,三条川,,,,,右岸,1.2,35.44925576,136.2641853,,,
,三条川,,,,,左岸,1.3,35.45019165,136.2635917,,,
,三条川,,,,,右岸,1.3,35.44971498,136.2632795,,,
,三条川,,,,,左岸,1.4,35.45071267,136.262985,,,
,三条川,,,,,右岸,1.4,35.45045606,136.2624032,,,
,三条川,,,,,左岸,1.5,35.45150406,136.262491,,,
,三条川,,,,,右岸,1.5,35.45126975,136.2618953,,,
,三条川,,,,,左岸,1.6,35.45231647,136.2620137,,,
,三条川,,,,,右岸,1.6,35.45208216,136.261418,,,
,三条川,,,,,左岸,1.7,35.45312889,136.2615364,,,
,三条川,,,,,右岸,1.7,35.45289457,136.2609407,,,
,三条川,,,,,左岸,1.8,35.45394155,136.2610618,,,
,三条川,,,,,右岸,1.8,35.4537085,136.2604653,,,
,三条川,,,,,左岸,1.9,35.45475497,136.2605871,,,
,三条川,,,,,右岸,1.9,35.45452191,136.2599906,,,
,三条川,,,,,左岸,2,35.45556813,136.2601064,,,
,三条川,,,,,右岸,2,35.45533168,136.2595119,,,
,三条川,,,,,左岸,2.1,35.45637882,136.2596248,,,
,三条川,,,,,右岸,2.1,35.45614237,136.2590303,,,
,三条川,,,,,左岸,2.2,35.45718807,136.2591535,,,
,三条川,,,,,右岸,2.2,35.45696056,136.2585538,,,
,三条川,,,,,左岸,2.3,35.45800584,136.2586901,,,
,三条川,,,,,右岸,2.3,35.45777833,136.2580904,,,
,三条川,,,,,左岸,2.4,35.45882191,136.258229,,,
,三条川,,,,,右岸,2.4,35.4585987,136.2576269,,,
,三条川,,,,,左岸,2.5,35.45964296,136.2577744,,,
,三条川,,,,,右岸,2.5,35.45941975,136.2571722,,,
,三条川,,,,,左岸,2.6,35.46046401,136.2573197,,,
,三条川,,,,,右岸,2.6,35.46024079,136.2567175,,,
,三条川,,,,,左岸,2.7,35.46128764,136.2568957,,,
,三条川,,,,,右岸,2.7,35.46107851,136.2562861,,,
