水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,三条川（大正川合流）,,,,,左岸,0,34.80063111,135.5611678,,,
,三条川（大正川合流）,,,,,右岸,0,34.80034306,135.5609049,,,
,三条川（大正川合流）,,,,,左岸,0.1,34.80119914,135.5602865,,,
,三条川（大正川合流）,,,,,右岸,0.1,34.80088726,135.5600671,,,
,三条川（大正川合流）,,,,,左岸,0.2,34.80135957,135.5591277,,,
,三条川（大正川合流）,,,,,右岸,0.2,34.80100103,135.5590811,,,
,三条川（大正川合流）,,,,,左岸,0.3,34.80156689,135.5581924,,,
,三条川（大正川合流）,,,,,右岸,0.3,34.80126232,135.5579584,,,
,三条川（大正川合流）,,,,,左岸,0.4,34.80183362,135.5570649,,,
,三条川（大正川合流）,,,,,右岸,0.4,34.80147375,135.5570373,,,
,三条川（大正川合流）,,,,,左岸,0.5,34.80200204,135.5564459,,,
,三条川（大正川合流）,,,,,右岸,0.5,34.80190527,135.5560248,,,
,三条川（大正川合流）,,,,,左岸,0.6,34.80279395,135.5559415,,,
,三条川（大正川合流）,,,,,右岸,0.6,34.8026888,135.5555233,,,
,三条川（大正川合流）,,,,,左岸,0.7,34.80372739,135.5552524,,,
,三条川（大正川合流）,,,,,右岸,0.7,34.80336774,135.5552208,,,
,三条川（大正川合流）,,,,,左岸,0.8,34.80440731,135.5551145,,,
,三条川（大正川合流）,,,,,右岸,0.8,34.80444554,135.5546798,,,
,三条川（大正川合流）,,,,,左岸,0.9,34.8051386,135.5552675,,,
,三条川（大正川合流）,,,,,右岸,0.9,34.80507,135.5548383,,,
,三条川（大正川合流）,,,,,左岸,1,34.8059257,135.5543639,,,
,三条川（大正川合流）,,,,,右岸,1,34.80558526,135.5542198,,,
,三条川（大正川合流）,,,,,左岸,1.1,34.80594513,135.5535925,,,
,三条川（大正川合流）,,,,,右岸,1.1,34.80558829,135.5535295,,,
,三条川（大正川合流）,,,,,左岸,1.2,34.8063991,135.5531547,,,
,三条川（大正川合流）,,,,,右岸,1.2,34.80648064,135.5527288,,,
,三条川（大正川合流）,,,,,左岸,1.3,34.80693243,135.5524131,,,
,三条川（大正川合流）,,,,,右岸,1.3,34.80668038,135.5521004,,,
