水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,三田川（瓜生川合流）,,,,,左岸,0,35.16713878,136.1780515,,,
,三田川（瓜生川合流）,,,,,右岸,0,35.16707968,136.1785956,,,
,三田川（瓜生川合流）,,,,,左岸,0.1,35.1663821,136.177767,,,
,三田川（瓜生川合流）,,,,,右岸,0.1,35.16613307,136.1782245,,,
,三田川（瓜生川合流）,,,,,左岸,0.2,35.16563439,136.17716,,,
,三田川（瓜生川合流）,,,,,右岸,0.2,35.16538076,136.1776137,,,
,三田川（瓜生川合流）,,,,,左岸,0.3,35.16488921,136.1765422,,,
,三田川（瓜生川合流）,,,,,右岸,0.3,35.16463558,136.176996,,,
,三田川（瓜生川合流）,,,,,左岸,0.4,35.16414378,136.1759243,,,
,三田川（瓜生川合流）,,,,,右岸,0.4,35.16389062,136.1763785,,,
,三田川（瓜生川合流）,,,,,左岸,0.5,35.16339797,136.1753078,,,
,三田川（瓜生川合流）,,,,,右岸,0.5,35.16314481,136.1757619,,,
,三田川（瓜生川合流）,,,,,左岸,0.6,35.16265018,136.1746921,,,
,三田川（瓜生川合流）,,,,,右岸,0.6,35.16239903,136.1751479,,,
,三田川（瓜生川合流）,,,,,左岸,0.7,35.16190164,136.1740805,,,
,三田川（瓜生川合流）,,,,,右岸,0.7,35.1616505,136.1745362,,,
,三田川（瓜生川合流）,,,,,左岸,0.8,35.1611531,136.1734688,,,
,三田川（瓜生川合流）,,,,,右岸,0.8,35.16090196,136.1739246,,,
,三田川（瓜生川合流）,,,,,左岸,0.9,35.16040415,136.1728575,,,
,三田川（瓜生川合流）,,,,,右岸,0.9,35.16015332,136.1733135,,,
,三田川（瓜生川合流）,,,,,左岸,1,35.15965519,136.1722467,,,
,三田川（瓜生川合流）,,,,,右岸,1,35.15940436,136.1727027,,,
,三田川（瓜生川合流）,,,,,左岸,1.1,35.15890622,136.1716358,,,
,三田川（瓜生川合流）,,,,,右岸,1.1,35.1586554,136.1720918,,,
,三田川（瓜生川合流）,,,,,左岸,1.2,35.15816031,136.1710232,,,
,三田川（瓜生川合流）,,,,,右岸,1.2,35.15790664,136.1714769,,,
,三田川（瓜生川合流）,,,,,左岸,1.3,35.15741518,136.1704054,,,
,三田川（瓜生川合流）,,,,,右岸,1.3,35.15716151,136.1708591,,,
,三田川（瓜生川合流）,,,,,左岸,1.4,35.1566607,136.1697811,,,
,三田川（瓜生川合流）,,,,,右岸,1.4,35.15642515,136.170249,,,
,三田川（瓜生川合流）,,,,,左岸,1.5,35.15560294,136.1697192,,,
,三田川（瓜生川合流）,,,,,右岸,1.5,35.15594821,136.1700719,,,
