水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,上郷川,,,,,左岸,0,35.43045905,136.0383099,,,
,上郷川,,,,,右岸,0,35.4301316,136.0386842,,,
,上郷川,,,,,左岸,0.1,35.42984323,136.0375057,,,
,上郷川,,,,,右岸,0.1,35.42947594,136.0379255,,,
,上郷川,,,,,左岸,0.2,35.42973111,136.0366523,,,
,上郷川,,,,,右岸,0.2,35.42919702,136.0367565,,,
,上郷川,,,,,左岸,0.3,35.42901333,136.0356764,,,
,上郷川,,,,,右岸,0.3,35.42870399,136.0362185,,,
,上郷川,,,,,左岸,0.4,35.42831914,136.0350175,,,
,上郷川,,,,,右岸,0.4,35.42797529,136.0355275,,,
,上郷川,,,,,左岸,0.5,35.42764349,136.0343071,,,
,上郷川,,,,,右岸,0.5,35.4272846,136.0348015,,,
,上郷川,,,,,左岸,0.6,35.42701965,136.0336058,,,
,上郷川,,,,,右岸,0.6,35.42658991,136.034007,,,
,上郷川,,,,,左岸,0.7,35.42702111,136.0327082,,,
,上郷川,,,,,右岸,0.7,35.42648035,136.0327198,,,
,上郷川,,,,,左岸,0.8,35.42700531,136.0316071,,,
,上郷川,,,,,右岸,0.8,35.42646455,136.0316187,,,
,上郷川,,,,,左岸,0.9,35.42694193,136.030448,,,
,上郷川,,,,,右岸,0.9,35.42641332,136.0305878,,,
,上郷川,,,,,左岸,1,35.42675561,136.0293661,,,
,上郷川,,,,,右岸,1,35.42622858,136.0295145,,,
,上郷川,,,,,左岸,1.1,35.42579816,136.0286641,,,
,上郷川,,,,,右岸,1.1,35.42577409,136.0293242,,,
,上郷川,,,,,左岸,1.2,35.42488502,136.0286511,,,
,上郷川,,,,,右岸,1.2,35.42488486,136.0293119,,,
,上郷川,,,,,左岸,1.3,35.42472677,136.0281981,,,
,上郷川,,,,,右岸,1.3,35.42418625,136.0282208,,,
,上郷川,,,,,左岸,1.4,35.42469583,136.0270975,,,
,上郷川,,,,,右岸,1.4,35.4241553,136.0271202,,,
,上郷川,,,,,左岸,1.5,35.42387492,136.0261535,,,
,上郷川,,,,,右岸,1.5,35.4238785,136.0268142,,,
,上郷川,,,,,左岸,1.6,35.42297539,136.026159,,,
,上郷川,,,,,右岸,1.6,35.42297524,136.0268197,,,
,上郷川,,,,,左岸,1.7,35.42206647,136.0261716,,,
,上郷川,,,,,右岸,1.7,35.42208163,136.0268321,,,
,上郷川,,,,,左岸,1.8,35.42166249,136.0260168,,,
,上郷川,,,,,右岸,1.8,35.42112388,136.0260767,,,
,上郷川,,,,,左岸,1.9,35.42158073,136.0249201,,,
,上郷川,,,,,右岸,1.9,35.42104211,136.02498,,,
,上郷川,,,,,左岸,2,35.42086457,136.0238783,,,
,上郷川,,,,,右岸,2,35.42085269,136.0245389,,,
,上郷川,,,,,左岸,2.1,35.42004774,136.0237323,,,
,上郷川,,,,,右岸,2.1,35.41989903,136.0243676,,,
,上郷川,,,,,左岸,2.2,35.41906024,136.0237012,,,
,上郷川,,,,,右岸,2.2,35.41909054,136.0243609,,,
,上郷川,,,,,左岸,2.3,35.41821978,136.0236984,,,
,上郷川,,,,,右岸,2.3,35.41813421,136.0243508,,,
,上郷川,,,,,左岸,2.4,35.41744573,136.0233748,,,
,上郷川,,,,,右岸,2.4,35.41720375,136.0239657,,,
,上郷川,,,,,左岸,2.5,35.4171373,136.0224701,,,
,上郷川,,,,,右岸,2.5,35.41681548,136.0230011,,,
,上郷川,,,,,左岸,2.6,35.41704294,136.0221106,,,
,上郷川,,,,,右岸,2.6,35.41665353,136.0216521,,,
,上郷川,,,,,左岸,2.7,35.41747102,136.0209295,,,
,上郷川,,,,,右岸,2.7,35.41693231,136.0209881,,,
,上郷川,,,,,左岸,2.8,35.41705429,136.0198741,,,
,上郷川,,,,,右岸,2.8,35.41654585,136.0200993,,,
,上郷川,,,,,左岸,2.9,35.41657938,136.0187747,,,
,上郷川,,,,,右岸,2.9,35.41621489,136.0192628,,,
,上郷川,,,,,左岸,3,35.41644685,136.0180249,,,
,上郷川,,,,,右岸,3,35.41590601,136.0180248,,,
,上郷川,,,,,左岸,3.1,35.41694487,136.0175502,,,
,上郷川,,,,,右岸,3.1,35.41662892,136.017014,,,
,上郷川,,,,,左岸,3.2,35.41760934,136.0165875,,,
,上郷川,,,,,右岸,3.2,35.41711616,136.0163163,,,
,上郷川,,,,,左岸,3.3,35.41794445,136.0155429,,,
,上郷川,,,,,右岸,3.3,35.41743807,136.0153109,,,
,上郷川,,,,,左岸,3.4,35.41821564,136.0145173,,,
,上郷川,,,,,右岸,3.4,35.41772246,136.0142461,,,
