水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,下礒尾川,,,,,左岸,0,34.90004919,136.1541949,,,
,下礒尾川,,,,,右岸,0,34.89963684,136.1539739,,,
,下礒尾川,,,,,左岸,0.1,34.90027818,136.1530126,,,
,下礒尾川,,,,,右岸,0.1,34.8998293,136.1530622,,,
,下礒尾川,,,,,左岸,0.2,34.90021526,136.1520592,,,
,下礒尾川,,,,,右岸,0.2,34.89976934,136.152139,,,
,下礒尾川,,,,,左岸,0.3,34.89988379,136.1513785,,,
,下礒尾川,,,,,右岸,0.3,34.89949197,136.151108,,,
,下礒尾川,,,,,左岸,0.4,34.9002826,136.1508386,,,
,下礒尾川,,,,,右岸,0.4,34.90005769,136.1503644,,,
,下礒尾川,,,,,左岸,0.5,34.90054034,136.149609,,,
,下礒尾川,,,,,右岸,0.5,34.90012832,136.1493871,,,
,下礒尾川,,,,,左岸,0.6,34.90091625,136.149251,,,
,下礒尾川,,,,,右岸,0.6,34.90104329,136.1487261,,,
,下礒尾川,,,,,左岸,0.7,34.90144153,136.1479998,,,
,下礒尾川,,,,,右岸,0.7,34.90114332,136.14841,,,
,下礒尾川,,,,,左岸,0.8,34.90161446,136.1473904,,,
,下礒尾川,,,,,右岸,0.8,34.90123606,136.1470931,,,
,下礒尾川,,,,,左岸,0.9,34.90166491,136.1464196,,,
,下礒尾川,,,,,右岸,0.9,34.90130137,136.1460962,,,
,下礒尾川,,,,,左岸,1,34.90190752,136.1453125,,,
,下礒尾川,,,,,右岸,1,34.90148169,136.1451331,,,
,下礒尾川,,,,,左岸,1.1,34.90242175,136.1444944,,,
,下礒尾川,,,,,右岸,1.1,34.90199415,136.1443214,,,
