水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,不飲川,,,,,左岸,0,35.22767216,136.1544566,,,
,不飲川,,,,,右岸,0,35.22793273,136.1549048,,,
,不飲川,,,,,左岸,0.1,35.22708373,136.1549647,,,
,不飲川,,,,,右岸,0.1,35.22734429,136.1554129,,,
,不飲川,,,,,左岸,0.2,35.22620108,136.1557268,,,
,不飲川,,,,,右岸,0.2,35.22646164,136.156175,,,
,不飲川,,,,,左岸,0.3,35.22546557,136.1564693,,,
,不飲川,,,,,右岸,0.3,35.22581099,136.1568222,,,
,不飲川,,,,,左岸,0.4,35.2248865,136.1573112,,,
,不飲川,,,,,右岸,0.4,35.22523192,136.1576641,,,
,不飲川,,,,,左岸,0.5,35.22431126,136.1581603,,,
,不飲川,,,,,右岸,0.5,35.22465929,136.1585093,,,
,不飲川,,,,,左岸,0.6,35.22373847,136.1590085,,,
,不飲川,,,,,右岸,0.6,35.2240865,136.1593575,,,
,不飲川,,,,,左岸,0.7,35.22316874,136.1598632,,,
,不飲川,,,,,右岸,0.7,35.2235195,136.1602081,,,
,不飲川,,,,,左岸,0.8,35.22260265,136.1607181,,,
,不飲川,,,,,右岸,0.8,35.22295341,136.1610631,,,
,不飲川,,,,,左岸,0.9,35.22203605,136.1615712,,,
,不飲川,,,,,右岸,0.9,35.22238579,136.1619177,,,
,不飲川,,,,,左岸,1,35.22147235,136.1624492,,,
,不飲川,,,,,右岸,1,35.22183872,136.1627691,,,
,不飲川,,,,,左岸,1.1,35.22094462,136.1633363,,,
,不飲川,,,,,右岸,1.1,35.22130825,136.1636608,,,
,不飲川,,,,,左岸,1.2,35.22041081,136.1642208,,,
,不飲川,,,,,右岸,1.2,35.22077391,136.1645462,,,
,不飲川,,,,,左岸,1.3,35.21993936,136.1651891,,,
,不飲川,,,,,右岸,1.3,35.22032733,136.1654687,,,
,不飲川,,,,,左岸,1.4,35.21948053,136.1661346,,,
,不飲川,,,,,右岸,1.4,35.21986849,136.1664142,,,
,不飲川,,,,,左岸,1.5,35.21902205,136.1670806,,,
,不飲川,,,,,右岸,1.5,35.21941015,136.1673599,,,
,不飲川,,,,,左岸,1.6,35.21856369,136.1680265,,,
,不飲川,,,,,右岸,1.6,35.21895179,136.1683058,,,
,不飲川,,,,,左岸,1.7,35.21810454,136.1689711,,,
,不飲川,,,,,右岸,1.7,35.21849218,136.1692514,,,
,不飲川,,,,,左岸,1.8,35.21763874,136.1698779,,,
,不飲川,,,,,右岸,1.8,35.21800092,136.1702048,,,
,不飲川,,,,,左岸,1.9,35.21702214,136.1704422,,,
,不飲川,,,,,右岸,1.9,35.21720448,136.1709445,,,
,不飲川,,,,,左岸,2,35.21618679,136.1706547,,,
,不飲川,,,,,右岸,2,35.21627796,136.1711925,,,
,不飲川,,,,,左岸,2.1,35.21530398,136.1708769,,,
,不飲川,,,,,右岸,2.1,35.21539515,136.1714147,,,
,不飲川,,,,,左岸,2.2,35.21439873,136.1711549,,,
,不飲川,,,,,右岸,2.2,35.21455455,136.1716702,,,
,不飲川,,,,,左岸,2.3,35.21360414,136.1718178,,,
,不飲川,,,,,右岸,2.3,35.21387123,136.1722602,,,
,不飲川,,,,,左岸,2.4,35.21287803,136.1724687,,,
,不飲川,,,,,右岸,2.4,35.21314511,136.1729111,,,
,不飲川,,,,,左岸,2.5,35.21215191,136.1731196,,,
