水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,中の川（八田川合流）,,,,,左岸,0,35.3195395,136.0141416,,,
,中の川（八田川合流）,,,,,右岸,0,35.31909928,136.0140236,,,
,中の川（八田川合流）,,,,,左岸,0.1,35.31948933,136.0129514,,,
,中の川（八田川合流）,,,,,右岸,0.1,35.31904474,136.0130417,,,
,中の川（八田川合流）,,,,,左岸,0.2,35.3195931,136.0119873,,,
,中の川（八田川合流）,,,,,右岸,0.2,35.31915765,136.0118453,,,
,中の川（八田川合流）,,,,,左岸,0.3,35.31982573,136.0109247,,,
,中の川（八田川合流）,,,,,右岸,0.3,35.31939028,136.0107828,,,
,中の川（八田川合流）,,,,,左岸,0.4,35.32005835,136.0098621,,,
,中の川（八田川合流）,,,,,右岸,0.4,35.31962291,136.0097202,,,
,中の川（八田川合流）,,,,,左岸,0.5,35.32029097,136.0087995,,,
,中の川（八田川合流）,,,,,右岸,0.5,35.31985552,136.0086576,,,
,中の川（八田川合流）,,,,,左岸,0.6,35.32052357,136.0077369,,,
,中の川（八田川合流）,,,,,右岸,0.6,35.32008812,136.007595,,,
,中の川（八田川合流）,,,,,左岸,0.7,35.32075617,136.0066743,,,
,中の川（八田川合流）,,,,,右岸,0.7,35.32032072,136.0065324,,,
,中の川（八田川合流）,,,,,左岸,0.8,35.32098875,136.0056117,,,
,中の川（八田川合流）,,,,,右岸,0.8,35.3205533,136.0054698,,,
,中の川（八田川合流）,,,,,左岸,0.9,35.32122133,136.0045491,,,
,中の川（八田川合流）,,,,,右岸,0.9,35.32078588,136.0044072,,,
,中の川（八田川合流）,,,,,左岸,1,35.3214539,136.0034864,,,
,中の川（八田川合流）,,,,,右岸,1,35.32101844,136.0033446,,,
