水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,中の川（淀川合流）,,,,,左岸,0,35.46430167,136.0755037,,,
,中の川（淀川合流）,,,,,右岸,0,35.46414137,136.0749888,,,
,中の川（淀川合流）,,,,,左岸,0.1,35.46496404,136.075686,,,
,中の川（淀川合流）,,,,,右岸,0.1,35.46496438,136.0751351,,,
,中の川（淀川合流）,,,,,左岸,0.2,35.46558978,136.075406,,,
,中の川（淀川合流）,,,,,右岸,0.2,35.46602065,136.0752444,,,
,中の川（淀川合流）,,,,,左岸,0.3,35.46575089,136.0763726,,,
,中の川（淀川合流）,,,,,右岸,0.3,35.46620026,136.0764149,,,
,中の川（淀川合流）,,,,,左岸,0.4,35.46624593,136.0775365,,,
,中の川（淀川合流）,,,,,右岸,0.4,35.46632893,136.076995,,,
,中の川（淀川合流）,,,,,左岸,0.5,35.46713191,136.0777394,,,
,中の川（淀川合流）,,,,,右岸,0.5,35.46721492,136.0771979,,,
,中の川（淀川合流）,,,,,左岸,0.6,35.46810645,136.0775526,,,
,中の川（淀川合流）,,,,,右岸,0.6,35.46800691,136.0770153,,,
,中の川（淀川合流）,,,,,左岸,0.7,35.46881457,136.0773312,,,
,中の川（淀川合流）,,,,,右岸,0.7,35.46905108,136.0768622,,,
,中の川（淀川合流）,,,,,左岸,0.8,35.46989676,136.0772381,,,
,中の川（淀川合流）,,,,,右岸,0.8,35.46961697,136.0768062,,,
,中の川（淀川合流）,,,,,左岸,0.9,35.47059741,136.0772206,,,
,中の川（淀川合流）,,,,,右岸,0.9,35.47067038,136.076677,,,
