水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,中山川,,,,,左岸,0,34.49915696,135.9317345,,,
,中山川,,,,,右岸,0,34.49871159,135.9318185,,,
,中山川,,,,,左岸,0.1,34.49901416,135.9306345,,,
,中山川,,,,,右岸,0.1,34.49857692,135.930767,,,
,中山川,,,,,左岸,0.2,34.49867785,135.9295778,,,
,中山川,,,,,右岸,0.2,34.49826507,135.9297966,,,
,中山川,,,,,左岸,0.3,34.49838523,135.9285898,,,
,中山川,,,,,右岸,0.3,34.49795099,135.9287359,,,
,中山川,,,,,左岸,0.4,34.49833618,135.9276656,,,
,中山川,,,,,右岸,0.4,34.49790335,135.9275136,,,
,中山川,,,,,左岸,0.5,34.49861327,135.9266521,,,
,中山川,,,,,右岸,0.5,34.49819035,135.9264637,,,
,中山川,,,,,左岸,0.6,34.49888276,135.9254941,,,
,中山川,,,,,右岸,0.6,34.49843345,135.925538,,,
,中山川,,,,,左岸,0.7,34.49834082,135.9245998,,,
,中山川,,,,,右岸,0.7,34.49792525,135.9248107,,,
,中山川,,,,,左岸,0.8,34.49797657,135.9235127,,,
,中山川,,,,,右岸,0.8,34.49764451,135.9238809,,,
,中山川,,,,,左岸,0.9,34.49773521,135.9225393,,,
,中山川,,,,,右岸,0.9,34.49736612,135.9228519,,,
,中山川,,,,,左岸,1,34.49749952,135.9215515,,,
,中山川,,,,,右岸,1,34.49710681,135.9218188,,,
,中山川,,,,,左岸,1.1,34.49727137,135.920774,,,
,中山川,,,,,右岸,1.1,34.49682877,135.9208773,,,
,中山川,,,,,左岸,1.2,34.4970916,135.919614,,,
,中山川,,,,,右岸,1.2,34.49671673,135.9199163,,,
,中山川,,,,,左岸,1.3,34.4969478,135.9188651,,,
,中山川,,,,,右岸,1.3,34.49650424,135.9187682,,,
,中山川,,,,,左岸,1.4,34.49629222,135.9181177,,,
,中山川,,,,,右岸,1.4,34.49649414,135.9186044,,,
,中山川,,,,,左岸,1.5,34.49590429,135.917453,,,
,中山川,,,,,右岸,1.5,34.49590466,135.9179974,,,
,中山川,,,,,左岸,1.6,34.49511495,135.9172723,,,
,中山川,,,,,右岸,1.6,34.49495348,135.9177806,,,
,中山川,,,,,左岸,1.7,34.49424319,135.9169359,,,
,中山川,,,,,右岸,1.7,34.49410884,135.9174556,,,
,中山川,,,,,左岸,1.8,34.49381388,135.9167494,,,
,中山川,,,,,右岸,1.8,34.49337724,135.9166142,,,
,中山川,,,,,左岸,1.9,34.49383548,135.9156133,,,
,中山川,,,,,右岸,1.9,34.49338606,135.9156555,,,
,中山川,,,,,左岸,2,34.49360974,135.9147595,,,
,中山川,,,,,右岸,2,34.49320029,135.9145318,,,
,中山川,,,,,左岸,2.1,34.49349384,135.9135155,,,
,中山川,,,,,右岸,2.1,34.49308613,135.9137477,,,
,中山川,,,,,左岸,2.2,34.49328522,135.912605,,,
,中山川,,,,,右岸,2.2,34.49283798,135.912673,,,
,中山川,,,,,左岸,2.3,34.49303772,135.9116763,,,
,中山川,,,,,右岸,2.3,34.49258725,135.9116563,,,
,中山川,,,,,左岸,2.4,34.49331692,135.910652,,,
,中山川,,,,,右岸,2.4,34.4928894,135.9108246,,,
,中山川,,,,,左岸,2.5,34.49286598,135.9097753,,,
,中山川,,,,,右岸,2.5,34.4925865,135.9102024,,,
,中山川,,,,,左岸,2.6,34.49282656,135.9089169,,,
,中山川,,,,,右岸,2.6,34.49248398,135.9092707,,,
