水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,中島川,,,,,左岸,0,34.69779212,135.4102592,,,
,中島川,,,,,右岸,0,34.70024157,135.4070551,,,
,中島川,,,,,左岸,0.1,34.69845369,135.4110007,,,
,中島川,,,,,右岸,0.1,34.70090316,135.4077965,,,
,中島川,,,,,左岸,0.2,34.69888729,135.4116091,,,
,中島川,,,,,右岸,0.2,34.70166217,135.4088208,,,
,中島川,,,,,左岸,0.3,34.69941184,135.4124117,,,
,中島川,,,,,右岸,0.3,34.70225702,135.4097293,,,
,中島川,,,,,左岸,0.4,34.69996566,135.4132729,,,
,中島川,,,,,右岸,0.4,34.70281087,135.4105906,,,
,中島川,,,,,左岸,0.5,34.70028013,135.4138216,,,
,中島川,,,,,右岸,0.5,34.70349633,135.4118472,,,
,中島川,,,,,左岸,0.6,34.70068778,135.4147952,,,
,中島川,,,,,右岸,0.6,34.7035921,135.4130123,,,
,中島川,,,,,左岸,0.7,34.70109092,135.4157638,,,
,中島川,,,,,右岸,0.7,34.70431228,135.4138017,,,
,中島川,,,,,左岸,0.8,34.701496,135.4167389,,,
,中島川,,,,,右岸,0.8,34.70471738,135.4147769,,,
,中島川,,,,,左岸,0.9,34.70190107,135.4177141,,,
,中島川,,,,,右岸,0.9,34.70512247,135.4157521,,,
,中島川,,,,,左岸,1,34.70221963,135.4184661,,,
,中島川,,,,,右岸,1,34.70560313,135.4169562,,,
,中島川,,,,,左岸,1.1,34.70253134,135.4194903,,,
,中島川,,,,,右岸,1.1,34.70591486,135.4179805,,,
,中島川,,,,,左岸,1.2,34.70284304,135.4205145,,,
,中島川,,,,,右岸,1.2,34.70622657,135.4190048,,,
,中島川,,,,,左岸,1.3,34.70315473,135.4215388,,,
,中島川,,,,,右岸,1.3,34.70653828,135.4200291,,,
,中島川,,,,,左岸,1.4,34.70347684,135.4225813,,,
,中島川,,,,,右岸,1.4,34.70684794,135.4210313,,,
,中島川,,,,,左岸,1.5,34.70379684,135.4236018,,,
,中島川,,,,,右岸,1.5,34.70716796,135.4220518,,,
,中島川,,,,,左岸,1.6,34.70411684,135.4246223,,,
,中島川,,,,,右岸,1.6,34.70748796,135.4230724,,,
,中島川,,,,,左岸,1.7,34.70443683,135.4256428,,,
,中島川,,,,,右岸,1.7,34.70780796,135.4240929,,,
,中島川,,,,,左岸,1.8,34.70456675,135.4261319,,,
,中島川,,,,,右岸,1.8,34.70806174,135.4250571,,,
,中島川,,,,,左岸,1.9,34.70507709,135.4285654,,,
,中島川,,,,,右岸,1.9,34.70815458,135.4276191,,,
,中島川,,,,,左岸,2,34.70529896,135.4296234,,,
,中島川,,,,,右岸,2,34.70879399,135.4285487,,,
,中島川,,,,,左岸,2.1,34.70547046,135.4306025,,,
,中島川,,,,,右岸,2.1,34.70899935,135.4297046,,,
,中島川,,,,,左岸,2.2,34.70565583,135.4316707,,,
,中島川,,,,,右岸,2.2,34.70918472,135.4307729,,,
,中島川,,,,,左岸,2.3,34.70646641,135.4325635,,,
,中島川,,,,,右岸,2.3,34.70882061,135.4319987,,,
