水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,丸桂川,,,,,左岸,0,34.83968212,136.1573566,,,
,丸桂川,,,,,右岸,0,34.83923606,136.1574353,,,
,丸桂川,,,,,左岸,0.1,34.83917968,136.1560847,,,
,丸桂川,,,,,右岸,0.1,34.83910176,136.1566232,,,
,丸桂川,,,,,左岸,0.2,34.83870446,136.1556775,,,
,丸桂川,,,,,右岸,0.2,34.83838524,136.1560634,,,
,丸桂川,,,,,左岸,0.3,34.83794248,136.1554443,,,
,丸桂川,,,,,右岸,0.3,34.8376414,136.1558512,,,
,丸桂川,,,,,左岸,0.4,34.83757814,136.1545517,,,
,丸桂川,,,,,右岸,0.4,34.83720477,136.1548579,,,
,丸桂川,,,,,左岸,0.5,34.83744736,136.1539131,,,
,丸桂川,,,,,右岸,0.5,34.8371224,136.1535342,,,
,丸桂川,,,,,左岸,0.6,34.83734091,136.152632,,,
,丸桂川,,,,,右岸,0.6,34.83699253,136.1529789,,,
,丸桂川,,,,,左岸,0.7,34.83643439,136.1519165,,,
,丸桂川,,,,,右岸,0.7,34.83649977,136.1524574,,,
,丸桂川,,,,,左岸,0.8,34.83652165,136.1514545,,,
,丸桂川,,,,,右岸,0.8,34.83607414,136.151389,,,
,丸桂川,,,,,左岸,0.9,34.83591854,136.1504059,,,
,丸桂川,,,,,右岸,0.9,34.83568,136.1508698,,,
,丸桂川,,,,,左岸,1,34.83532556,136.150059,,,
,丸桂川,,,,,右岸,1,34.83502185,136.1504629,,,
,丸桂川,,,,,左岸,1.1,34.83519398,136.1492047,,,
,丸桂川,,,,,右岸,1.1,34.83480229,136.1494752,,,
,丸桂川,,,,,左岸,1.2,34.83569773,136.1487661,,,
,丸桂川,,,,,右岸,1.2,34.8354014,136.1483542,,,
,丸桂川,,,,,左岸,1.3,34.83638157,136.148098,,,
,丸桂川,,,,,右岸,1.3,34.83612011,136.1476527,,,
,丸桂川,,,,,左岸,1.4,34.83699247,136.1479833,,,
,丸桂川,,,,,右岸,1.4,34.8372342,136.1475219,,,
,丸桂川,,,,,左岸,1.5,34.83804242,136.1480443,,,
,丸桂川,,,,,右岸,1.5,34.83760182,136.1481597,,,
,丸桂川,,,,,左岸,1.6,34.83765394,136.1473101,,,
,丸桂川,,,,,右岸,1.6,34.83725434,136.1470571,,,
,丸桂川,,,,,左岸,1.7,34.8381264,136.1463182,,,
,丸桂川,,,,,右岸,1.7,34.83768882,136.1461871,,,
,丸桂川,,,,,左岸,1.8,34.83828137,136.1464537,,,
,丸桂川,,,,,右岸,1.8,34.83870318,136.1462609,,,
,丸桂川,,,,,左岸,1.9,34.8392278,136.1464397,,,
,丸桂川,,,,,右岸,1.9,34.83877954,136.1463823,,,
,丸桂川,,,,,左岸,2,34.83910252,136.1452834,,,
,丸桂川,,,,,右岸,2,34.8386601,136.145388,,,
,丸桂川,,,,,左岸,2.1,34.83855728,136.1447894,,,
,丸桂川,,,,,右岸,2.1,34.83817412,136.1445014,,,
,丸桂川,,,,,左岸,2.2,34.83914778,136.1440985,,,
,丸桂川,,,,,右岸,2.2,34.83886405,136.1436737,,,
,丸桂川,,,,,左岸,2.3,34.83990619,136.1439982,,,
,丸桂川,,,,,右岸,2.3,34.83975935,136.1434813,,,
,丸桂川,,,,,左岸,2.4,34.84066813,136.1437388,,,
,丸桂川,,,,,右岸,2.4,34.84071085,136.1431945,,,
,丸桂川,,,,,左岸,2.5,34.84135019,136.1428086,,,
,丸桂川,,,,,右岸,2.5,34.84093132,136.1426067,,,
,丸桂川,,,,,左岸,2.6,34.84170176,136.1417564,,,
,丸桂川,,,,,右岸,2.6,34.84126033,136.1416457,,,
,丸桂川,,,,,左岸,2.7,34.84202844,136.1409914,,,
,丸桂川,,,,,右岸,2.7,34.84176419,136.1405485,,,
,丸桂川,,,,,左岸,2.8,34.84275876,136.1403504,,,
,丸桂川,,,,,右岸,2.8,34.84249451,136.1399075,,,
,丸桂川,,,,,左岸,2.9,34.84343626,136.1394541,,,
,丸桂川,,,,,右岸,2.9,34.84302,136.1392444,,,
,丸桂川,,,,,左岸,3,34.84383236,136.139,,,
,丸桂川,,,,,右岸,3,34.84384873,136.1384536,,,
,丸桂川,,,,,左岸,3.1,34.8448802,136.1386969,,,
,丸桂川,,,,,右岸,3.1,34.84448416,136.1384358,,,
,丸桂川,,,,,左岸,3.2,34.84526467,136.137686,,,
,丸桂川,,,,,右岸,3.2,34.84485391,136.1374609,,,
,丸桂川,,,,,左岸,3.3,34.84552298,136.1364894,,,
,丸桂川,,,,,右岸,3.3,34.84508086,136.1365959,,,
,丸桂川,,,,,左岸,3.4,34.84528248,136.135563,,,
,丸桂川,,,,,右岸,3.4,34.84483797,136.1354724,,,
,丸桂川,,,,,左岸,3.5,34.84545254,136.1344817,,,
,丸桂川,,,,,右岸,3.5,34.84500617,136.1344058,,,
,丸桂川,,,,,左岸,3.6,34.84511987,136.1333248,,,
,丸桂川,,,,,右岸,3.6,34.84472977,136.1335987,,,
