水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,久保川,,,,,左岸,0,34.90843175,135.6901679,,,
,久保川,,,,,右岸,0,34.90798186,135.6901343,,,
,久保川,,,,,左岸,0.1,34.90819312,135.6889851,,,
,久保川,,,,,右岸,0.1,34.90778853,135.6892262,,,
,久保川,,,,,左岸,0.2,34.90756274,135.6881793,,,
,久保川,,,,,右岸,0.2,34.90718535,135.6884785,,,
,久保川,,,,,左岸,0.3,34.90738109,135.6873179,,,
,久保川,,,,,右岸,0.3,34.90693137,135.6872812,,,
,久保川,,,,,左岸,0.4,34.90745864,135.6861239,,,
,久保川,,,,,右岸,0.4,34.907042,135.6863326,,,
,久保川,,,,,左岸,0.5,34.90720578,135.6851771,,,
,久保川,,,,,右岸,0.5,34.90675546,135.6852007,,,
,久保川,,,,,左岸,0.6,34.90768919,135.6844079,,,
,久保川,,,,,右岸,0.6,34.90724506,135.6843145,,,
,久保川,,,,,左岸,0.7,34.90768583,135.6832291,,,
,久保川,,,,,右岸,0.7,34.90723983,135.6833082,,,
,久保川,,,,,左岸,0.8,34.90772191,135.6823019,,,
,久保川,,,,,右岸,0.8,34.90730357,135.6820982,,,
,久保川,,,,,左岸,0.9,34.9080662,135.6813003,,,
,久保川,,,,,右岸,0.9,34.90778344,135.6812137,,,
,久保川,,,,,左岸,1,34.90850897,135.6804251,,,
,久保川,,,,,右岸,1,34.90812598,135.6801366,,,
,久保川,,,,,左岸,1.1,34.9090208,135.6796574,,,
,久保川,,,,,右岸,1.1,34.90875172,135.6792184,,,
,久保川,,,,,左岸,1.2,34.90977407,135.6788684,,,
,久保川,,,,,右岸,1.2,34.9093665,135.6786347,,,
,久保川,,,,,左岸,1.3,34.90991322,135.6777372,,,
,久保川,,,,,右岸,1.3,34.9094675,135.6776557,,,
