水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,五反田川,,,,,左岸,0,34.88477605,136.2324084,,,
,五反田川,,,,,右岸,0,34.88514369,136.2327249,,,
,五反田川,,,,,左岸,0.1,34.88421952,136.2328107,,,
,五反田川,,,,,右岸,0.1,34.88421848,136.2333577,,,
,五反田川,,,,,左岸,0.2,34.88327435,136.2332842,,,
,五反田川,,,,,右岸,0.2,34.88365705,136.2335732,,,
,五反田川,,,,,左岸,0.3,34.882792,136.2340819,,,
,五反田川,,,,,右岸,0.3,34.88307048,136.234512,,,
,五反田川,,,,,左岸,0.4,34.88213561,136.2344379,,,
,五反田川,,,,,右岸,0.4,34.88210955,136.2349839,,,
,五反田川,,,,,左岸,0.5,34.88125658,136.2346484,,,
,五反田川,,,,,右岸,0.5,34.88125552,136.2351953,,,
,五反田川,,,,,左岸,0.6,34.88036311,136.2349227,,,
,五反田川,,,,,右岸,0.6,34.88042296,136.2354649,,,
,五反田川,,,,,左岸,0.7,34.87966123,136.2354408,,,
,五反田川,,,,,右岸,0.7,34.87991038,136.2358967,,,
,五反田川,,,,,左岸,0.8,34.87903339,136.2359892,,,
,五反田川,,,,,右岸,0.8,34.87911067,136.236528,,,
,五反田川,,,,,左岸,0.9,34.87814056,136.2364235,,,
,五反田川,,,,,右岸,0.9,34.87837254,136.2368925,,,
,五反田川,,,,,左岸,1,34.87774156,136.2371496,,,
,五反田川,,,,,右岸,1,34.87786858,136.2376744,,,
,五反田川,,,,,左岸,1.1,34.87682525,136.237582,,,
,五反田川,,,,,右岸,1.1,34.87710803,136.2380079,,,
,五反田川,,,,,左岸,1.2,34.87620372,136.2384438,,,
,五反田川,,,,,右岸,1.2,34.87654907,136.2387953,,,
,五反田川,,,,,左岸,1.3,34.87553317,136.2390283,,,
,五反田川,,,,,右岸,1.3,34.8757707,136.2394932,,,
,五反田川,,,,,左岸,1.4,34.87476703,136.2396046,,,
,五反田川,,,,,右岸,1.4,34.8750044,136.2400695,,,
,五反田川,,,,,左岸,1.5,34.8739987,136.2400899,,,
,五反田川,,,,,右岸,1.5,34.87417775,136.2405918,,,
,五反田川,,,,,左岸,1.6,34.87319256,136.2404386,,,
,五反田川,,,,,右岸,1.6,34.87328928,136.2409728,,,
,五反田川,,,,,左岸,1.7,34.87234881,136.2402554,,,
,五反田川,,,,,右岸,1.7,34.87236441,136.2408019,,,
,五反田川,,,,,左岸,1.8,34.87142355,136.2406457,,,
,五反田川,,,,,右岸,1.8,34.87160261,136.2411476,,,
,五反田川,,,,,左岸,1.9,34.87059624,136.2410802,,,
,五反田川,,,,,右岸,1.9,34.8707753,136.2415821,,,
,五反田川,,,,,左岸,2,34.86976894,136.2415148,,,
,五反田川,,,,,右岸,2,34.869948,136.2420167,,,
,五反田川,,,,,左岸,2.1,34.86894164,136.2419493,,,
,五反田川,,,,,右岸,2.1,34.86912069,136.2424512,,,
