水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,五百川,,,,,左岸,0,35.41512826,136.2919307,,,
,五百川,,,,,右岸,0,35.41565872,136.2918019,,,
,五百川,,,,,左岸,0.1,35.41523375,136.2929774,,,
,五百川,,,,,右岸,0.1,35.41577363,136.2929379,,,
,五百川,,,,,左岸,0.2,35.4152854,136.2940734,,,
,五百川,,,,,右岸,0.2,35.41582558,136.2940405,,,
,五百川,,,,,左岸,0.3,35.41533096,136.2951738,,,
,五百川,,,,,右岸,0.3,35.41587108,136.2951395,,,
,五百川,,,,,左岸,0.4,35.41544754,136.2963043,,,
,五百川,,,,,右岸,0.4,35.41598058,136.2961924,,,
,五百川,,,,,左岸,0.5,35.41560012,136.2973895,,,
,五百川,,,,,右岸,0.5,35.41613316,136.2972777,,,
,五百川,,,,,左岸,0.6,35.41574726,136.2984736,,,
,五百川,,,,,右岸,0.6,35.4162809,136.2983662,,,
,五百川,,,,,左岸,0.7,35.41589105,136.2995584,,,
,五百川,,,,,右岸,0.7,35.41642527,136.2994553,,,
,五百川,,,,,左岸,0.8,35.41603161,136.300646,,,
,五百川,,,,,右岸,0.8,35.41656583,136.300543,,,
,五百川,,,,,左岸,0.9,35.41617607,136.3017361,,,
,五百川,,,,,右岸,0.9,35.41670946,136.3016268,,,
,五百川,,,,,左岸,1,35.41632136,136.3028204,,,
,五百川,,,,,右岸,1,35.41685539,136.3027159,,,
,五百川,,,,,左岸,1.1,35.41643169,136.303889,,,
,五百川,,,,,右岸,1.1,35.41697046,136.3038312,,,
,五百川,,,,,左岸,1.2,35.4165097,136.3049896,,,
,五百川,,,,,右岸,1.2,35.41704792,136.3049246,,,
,五百川,,,,,左岸,1.3,35.41659197,136.3060723,,,
,五百川,,,,,右岸,1.3,35.41713193,136.3060345,,,
,五百川,,,,,左岸,1.4,35.41640758,136.3062678,,,
,五百川,,,,,右岸,1.4,35.41648001,136.3069225,,,
,五百川,,,,,左岸,1.5,35.41584904,136.3074067,,,
,五百川,,,,,右岸,1.5,35.41638781,136.3073489,,,
,五百川,,,,,左岸,1.6,35.41560783,136.3082388,,,
,五百川,,,,,右岸,1.6,35.41613332,136.3080825,,,
,五百川,,,,,左岸,1.7,35.41588694,136.3093698,,,
,五百川,,,,,右岸,1.7,35.41634997,136.3090284,,,
