水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,伊佐々川,,,,,左岸,0,35.03135858,135.954839,,,
,伊佐々川,,,,,右岸,0,35.03158192,135.9550244,,,
,伊佐々川,,,,,左岸,0.1,35.03084703,135.9557159,,,
,伊佐々川,,,,,右岸,0.1,35.03105091,135.9559319,,,
,伊佐々川,,,,,左岸,0.2,35.03031728,135.9566239,,,
,伊佐々川,,,,,右岸,0.2,35.03053895,135.9568122,,,
,伊佐々川,,,,,左岸,0.3,35.02980232,135.957526,,,
,伊佐々川,,,,,右岸,0.3,35.03002602,135.9577108,,,
,伊佐々川,,,,,左岸,0.4,35.02929146,135.9584263,,,
,伊佐々川,,,,,右岸,0.4,35.02951308,135.9586147,,,
,伊佐々川,,,,,左岸,0.5,35.02876931,135.9593206,,,
,伊佐々川,,,,,右岸,0.5,35.02899172,135.9595076,,,
,伊佐々川,,,,,左岸,0.6,35.02828916,135.9602507,,,
,伊佐々川,,,,,右岸,0.6,35.02851377,135.9604338,,,
,伊佐々川,,,,,左岸,0.7,35.02777636,135.9611821,,,
,伊佐々川,,,,,右岸,0.7,35.02802178,135.9613203,,,
,伊佐々川,,,,,左岸,0.8,35.02730022,135.962128,,,
,伊佐々川,,,,,右岸,0.8,35.02755792,135.9622278,,,
,伊佐々川,,,,,左岸,0.9,35.02679939,135.9629818,,,
,伊佐々川,,,,,右岸,0.9,35.02703605,135.9631409,,,
,伊佐々川,,,,,左岸,1,35.02628185,135.9639574,,,
,伊佐々川,,,,,右岸,1,35.02655165,135.9639347,,,
,伊佐々川,,,,,左岸,1.1,35.02576171,135.9646866,,,
,伊佐々川,,,,,右岸,1.1,35.02597987,135.9648808,,,
,伊佐々川,,,,,左岸,1.2,35.02515965,135.9657429,,,
,伊佐々川,,,,,右岸,1.2,35.02543,135.9657514,,,
,伊佐々川,,,,,左岸,1.3,35.02485572,135.9667056,,,
,伊佐々川,,,,,右岸,1.3,35.02511231,135.9668095,,,
,伊佐々川,,,,,左岸,1.4,35.02439822,135.9673888,,,
,伊佐々川,,,,,右岸,1.4,35.02460677,135.9675981,,,
,伊佐々川,,,,,左岸,1.5,35.02388743,135.9669191,,,
,伊佐々川,,,,,右岸,1.5,35.02370457,135.9671613,,,
,伊佐々川,,,,,左岸,1.6,35.02313841,135.9675439,,,
,伊佐々川,,,,,右岸,1.6,35.02335663,135.9677381,,,
,伊佐々川,,,,,左岸,1.7,35.02271378,135.9684822,,,
,伊佐々川,,,,,右岸,1.7,35.02293132,135.9686775,,,
,伊佐々川,,,,,左岸,1.8,35.02216073,135.9683598,,,
,伊佐々川,,,,,右岸,1.8,35.02200585,135.9686293,,,
,伊佐々川,,,,,左岸,1.9,35.02136379,135.9686517,,,
,伊佐々川,,,,,右岸,1.9,35.02158495,135.9688409,,,
,伊佐々川,,,,,左岸,2,35.02095153,135.9693805,,,
,伊佐々川,,,,,右岸,2,35.02118,135.9695564,,,
,伊佐々川,,,,,左岸,2.1,35.02028089,135.9701331,,,
,伊佐々川,,,,,右岸,2.1,35.02051801,135.9702912,,,
,伊佐々川,,,,,左岸,2.2,35.01998022,135.97094,,,
,伊佐々川,,,,,右岸,2.2,35.01985758,135.971233,,,
,伊佐々川,,,,,左岸,2.3,35.01949867,135.9705793,,,
,伊佐々川,,,,,右岸,2.3,35.0192836,135.9707786,,,
,伊佐々川,,,,,左岸,2.4,35.01857231,135.9718078,,,
,伊佐々川,,,,,右岸,2.4,35.01880113,135.971983,,,
,伊佐々川,,,,,左岸,2.5,35.01823886,135.9724574,,,
,伊佐々川,,,,,右岸,2.5,35.01846655,135.9726348,,,
,伊佐々川,,,,,左岸,2.6,35.01768488,135.9734569,,,
,伊佐々川,,,,,右岸,2.6,35.01791487,135.9736299,,,
,伊佐々川,,,,,左岸,2.7,35.01716603,135.974344,,,
,伊佐々川,,,,,右岸,2.7,35.01738991,135.9745284,,,
,伊佐々川,,,,,左岸,2.8,35.01670006,135.9752931,,,
,伊佐々川,,,,,右岸,2.8,35.01693263,135.9754609,,,
,伊佐々川,,,,,左岸,2.9,35.01621185,135.9760605,,,
,伊佐々川,,,,,右岸,2.9,35.01643063,135.9762538,,,
,伊佐々川,,,,,左岸,3,35.01567555,135.9771017,,,
,伊佐々川,,,,,右岸,3,35.01591511,135.9772542,,,
,伊佐々川,,,,,左岸,3.1,35.01517254,135.9779491,,,
,伊佐々川,,,,,右岸,3.1,35.01537514,135.9781668,,,
,伊佐々川,,,,,左岸,3.2,35.01469009,135.9788755,,,
,伊佐々川,,,,,右岸,3.2,35.01490999,135.9790669,,,
