水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,佐倉川,,,,,左岸,0,34.45831886,135.9838398,,,
,佐倉川,,,,,右岸,0,34.45815151,135.9843451,,,
,佐倉川,,,,,左岸,0.1,34.45730877,135.9838372,,,
,佐倉川,,,,,右岸,0.1,34.45741817,135.9843652,,,
,佐倉川,,,,,左岸,0.2,34.45668243,135.9831627,,,
,佐倉川,,,,,右岸,0.2,34.45680634,135.9836859,,,
,佐倉川,,,,,左岸,0.3,34.45576545,135.9828371,,,
,佐倉川,,,,,右岸,0.3,34.45595932,135.9833284,,,
,佐倉川,,,,,左岸,0.4,34.45517751,135.9834029,,,
,佐倉川,,,,,右岸,0.4,34.45553772,135.9834339,,,
,佐倉川,,,,,左岸,0.5,34.45486556,135.9828006,,,
,佐倉川,,,,,右岸,0.5,34.45452798,135.9831612,,,
,佐倉川,,,,,左岸,0.6,34.45375711,135.9825775,,,
,佐倉川,,,,,右岸,0.6,34.45414247,135.9828599,,,
,佐倉川,,,,,左岸,0.7,34.45334458,135.982132,,,
,佐倉川,,,,,右岸,0.7,34.45324141,135.9826617,,,
,佐倉川,,,,,左岸,0.8,34.45257901,135.9814141,,,
,佐倉川,,,,,右岸,0.8,34.45241636,135.9819217,,,
,佐倉川,,,,,左岸,0.9,34.45169171,135.9813504,,,
,佐倉川,,,,,右岸,0.9,34.45189337,135.9818371,,,
,佐倉川,,,,,左岸,1,34.4510808,135.9817035,,,
,佐倉川,,,,,右岸,1,34.45098642,135.9822356,,,
,佐倉川,,,,,左岸,1.1,34.45032268,135.9815058,,,
,佐倉川,,,,,右岸,1.1,34.45013493,135.9820006,,,
,佐倉川,,,,,左岸,1.2,34.44943825,135.9811143,,,
,佐倉川,,,,,右岸,1.2,34.44936655,135.9816516,,,
