水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,余野川,,,,,左岸,0,34.84043395,135.4244631,,,
,余野川,,,,,右岸,0,34.84097505,135.4235886,,,
,余野川,,,,,左岸,0.1,34.84109861,135.4250975,,,
,余野川,,,,,右岸,0.1,34.84172288,135.4243087,,,
,余野川,,,,,左岸,0.2,34.84208884,135.4257099,,,
,余野川,,,,,右岸,0.2,34.84231821,135.4246524,,,
,余野川,,,,,左岸,0.3,34.84290242,135.4259857,,,
,余野川,,,,,右岸,0.3,34.84323775,135.4249707,,,
,余野川,,,,,左岸,0.4,34.84336421,135.4264381,,,
,余野川,,,,,右岸,0.4,34.8441364,135.4258739,,,
,余野川,,,,,左岸,0.5,34.84371238,135.4273534,,,
,余野川,,,,,右岸,0.5,34.84454586,135.4269368,,,
,余野川,,,,,左岸,0.6,34.84425891,135.4284763,,,
,余野川,,,,,右岸,0.6,34.8448927,135.4276988,,,
,余野川,,,,,左岸,0.7,34.8450765,135.4292239,,,
,余野川,,,,,右岸,0.7,34.84550244,135.4282602,,,
,余野川,,,,,左岸,0.8,34.84583482,135.4297803,,,
,余野川,,,,,右岸,0.8,34.84628691,135.4288343,,,
,余野川,,,,,左岸,0.9,34.84656841,135.4303497,,,
,余野川,,,,,右岸,0.9,34.8470715,135.4294424,,,
,余野川,,,,,左岸,1,34.84721759,135.4309795,,,
,余野川,,,,,右岸,1,34.84782993,135.430177,,,
,余野川,,,,,左岸,1.1,34.84777777,135.4317383,,,
,余野川,,,,,右岸,1.1,34.84847286,135.431042,,,
,余野川,,,,,左岸,1.2,34.84825808,135.4325642,,,
,余野川,,,,,右岸,1.2,34.84903059,135.4320006,,,
,余野川,,,,,左岸,1.3,34.84872672,135.4334927,,,
,余野川,,,,,右岸,1.3,34.84950323,135.4329372,,,
,余野川,,,,,左岸,1.4,34.84923862,135.4344616,,,
,余野川,,,,,右岸,1.4,34.84996166,135.4338085,,,
,余野川,,,,,左岸,1.5,34.84985674,135.4353273,,,
,余野川,,,,,右岸,1.5,34.85052515,135.4345935,,,
,余野川,,,,,左岸,1.6,34.85050206,135.43612,,,
,余野川,,,,,右岸,1.6,34.85114714,135.4353562,,,
,余野川,,,,,左岸,1.7,34.85109033,135.4369092,,,
,余野川,,,,,右岸,1.7,34.85176823,135.4361884,,,
,余野川,,,,,左岸,1.8,34.85175593,135.4377246,,,
,余野川,,,,,右岸,1.8,34.85237084,135.436925,,,
,余野川,,,,,左岸,1.9,34.85245756,135.4384556,,,
,余野川,,,,,右岸,1.9,34.85303731,135.4376182,,,
,余野川,,,,,左岸,2,34.85308081,135.4391572,,,
,余野川,,,,,右岸,2,34.85373407,135.4384036,,,
,余野川,,,,,左岸,2.1,34.85374974,135.4399462,,,
,余野川,,,,,右岸,2.1,34.85435711,135.4391381,,,
,余野川,,,,,左岸,2.2,34.85457307,135.4407144,,,
,余野川,,,,,右岸,2.2,34.85494485,135.4397181,,,
,余野川,,,,,左岸,2.3,34.85511942,135.4410717,,,
,余野川,,,,,右岸,2.3,34.85588982,135.4405039,,,
,余野川,,,,,左岸,2.4,34.85550167,135.4420199,,,
,余野川,,,,,右岸,2.4,34.8563025,135.4415177,,,
,余野川,,,,,左岸,2.5,34.85633815,135.4430438,,,
,余野川,,,,,右岸,2.5,34.85669661,135.4420404,,,
,余野川,,,,,左岸,2.6,34.85752682,135.4429174,,,
,余野川,,,,,右岸,2.6,34.85726059,135.4418726,,,
,余野川,,,,,左岸,2.7,34.85786182,135.4429564,,,
,余野川,,,,,右岸,2.7,34.85859617,135.4423221,,,
,余野川,,,,,左岸,2.8,34.85788824,135.4438607,,,
,余野川,,,,,右岸,2.8,34.85874492,135.4435203,,,
,余野川,,,,,左岸,2.9,34.85822588,135.4449051,,,
,余野川,,,,,右岸,2.9,34.8590665,135.4445101,,,
,余野川,,,,,左岸,3,34.85830137,135.4453356,,,
,余野川,,,,,右岸,3,34.85892869,135.446121,,,
,余野川,,,,,左岸,3.1,34.85778596,135.4470852,,,
,余野川,,,,,右岸,3.1,34.8582515,135.4463034,,,
,余野川,,,,,左岸,3.2,34.85872601,135.446978,,,
,余野川,,,,,右岸,3.2,34.85864238,135.4463041,,,
,余野川,,,,,左岸,3.3,34.8596295,135.4469649,,,
,余野川,,,,,右岸,3.3,34.85950697,135.4458814,,,
,余野川,,,,,左岸,3.4,34.86024461,135.447108,,,
,余野川,,,,,右岸,3.4,34.8606433,135.4461271,,,
,余野川,,,,,左岸,3.5,34.86128169,135.4475876,,,
,余野川,,,,,右岸,3.5,34.86121094,135.4464973,,,
,余野川,,,,,左岸,3.6,34.86208683,135.4474497,,,
,余野川,,,,,右岸,3.6,34.86218066,135.446362,,,
,余野川,,,,,左岸,3.7,34.86289084,135.4477785,,,
,余野川,,,,,右岸,3.7,34.86308363,135.4467101,,,
,余野川,,,,,左岸,3.8,34.86413184,135.4474006,,,
,余野川,,,,,右岸,3.8,34.86346701,135.446662,,,
,余野川,,,,,左岸,3.9,34.86451546,135.446037,,,
,余野川,,,,,右岸,3.9,34.86361546,135.4459748,,,
,余野川,,,,,左岸,4,34.86431343,135.4447809,,,
,余野川,,,,,右岸,4,34.863452,135.4451032,,,
,余野川,,,,,左岸,4.1,34.86383041,135.4436721,,,
,余野川,,,,,右岸,4.1,34.86308896,135.4442941,,,
,余野川,,,,,左岸,4.2,34.86372124,135.4431048,,,
,余野川,,,,,右岸,4.2,34.86285501,135.4428021,,,
,余野川,,,,,左岸,4.3,34.86382436,135.4428823,,,
,余野川,,,,,右岸,4.3,34.86408099,135.4418339,,,
,余野川,,,,,左岸,4.4,34.8642483,135.4434588,,,
,余野川,,,,,右岸,4.4,34.86490634,135.4427113,,,
,余野川,,,,,左岸,4.5,34.86497889,135.4440909,,,
,余野川,,,,,右岸,4.5,34.86562822,135.4433322,,,
,余野川,,,,,左岸,4.6,34.86544527,135.4448516,,,
,余野川,,,,,右岸,4.6,34.86622547,135.4443037,,,
,余野川,,,,,左岸,4.7,34.86609759,135.4459302,,,
,余野川,,,,,右岸,4.7,34.86639952,135.4448997,,,
,余野川,,,,,左岸,4.8,34.86640615,135.44586,,,
,余野川,,,,,右岸,4.8,34.86723668,135.4462852,,,
,余野川,,,,,左岸,4.9,34.86616126,135.4471303,,,
,余野川,,,,,右岸,4.9,34.86706271,135.4471243,,,
,余野川,,,,,左岸,5,34.86726304,135.4480596,,,
,余野川,,,,,右岸,5,34.86737347,135.4469741,,,
,余野川,,,,,左岸,5.1,34.86725029,135.4482645,,,
,余野川,,,,,右岸,5.1,34.86814468,135.4484012,,,
,余野川,,,,,左岸,5.2,34.86796934,135.4497113,,,
,余野川,,,,,右岸,5.2,34.86803628,135.4486206,,,
,余野川,,,,,左岸,5.3,34.86910426,135.4494556,,,
,余野川,,,,,右岸,5.3,34.86864732,135.4485127,,,
,余野川,,,,,左岸,5.4,34.86964492,135.4489693,,,
,余野川,,,,,右岸,5.4,34.8700343,135.4479828,,,
,余野川,,,,,左岸,5.5,34.87012062,135.4493396,,,
,余野川,,,,,右岸,5.5,34.87062385,135.4484321,,,
,余野川,,,,,左岸,5.6,34.87067947,135.449943,,,
,余野川,,,,,右岸,5.6,34.87139537,135.4492783,,,
,余野川,,,,,左岸,5.7,34.87193865,135.4505515,,,
,余野川,,,,,右岸,5.7,34.87161311,135.4495315,,,
,余野川,,,,,左岸,5.8,34.87259126,135.4505464,,,
,余野川,,,,,右岸,5.8,34.87268999,135.4497597,,,
,余野川,,,,,左岸,5.9,34.8735711,135.4506338,,,
,余野川,,,,,右岸,5.9,34.8735504,135.4498185,,,
,余野川,,,,,左岸,6,34.87445125,135.4505918,,,
,余野川,,,,,右岸,6,34.87446108,135.4497008,,,
,余野川,,,,,左岸,6.1,34.87444292,135.4510171,,,
,余野川,,,,,右岸,6.1,34.87526954,135.4505807,,,
,余野川,,,,,左岸,6.2,34.87456349,135.4517534,,,
,余野川,,,,,右岸,6.2,34.87544662,135.4519729,,,
,余野川,,,,,左岸,6.3,34.87421604,135.4524251,,,
,余野川,,,,,右岸,6.3,34.87489602,135.4531432,,,
,余野川,,,,,左岸,6.4,34.87516165,135.4538767,,,
,余野川,,,,,右岸,6.4,34.87489182,135.452833,,,
,余野川,,,,,左岸,6.5,34.87527712,135.4534328,,,
,余野川,,,,,右岸,6.5,34.87617261,135.4535585,,,
,余野川,,,,,左岸,6.6,34.87494161,135.4541175,,,
,余野川,,,,,右岸,6.6,34.87566135,135.4547762,,,
,余野川,,,,,左岸,6.7,34.87490095,135.4557743,,,
,余野川,,,,,右岸,6.7,34.87557289,135.4550451,,,
,余野川,,,,,左岸,6.8,34.87639742,135.4557451,,,
,余野川,,,,,右岸,6.8,34.87561231,135.4552075,,,
,余野川,,,,,左岸,6.9,34.87625356,135.4554094,,,
,余野川,,,,,右岸,6.9,34.87694294,135.4547045,,,
,余野川,,,,,左岸,7,34.87629235,135.4562153,,,
,余野川,,,,,右岸,7,34.87717946,135.4560209,,,
,余野川,,,,,左岸,7.1,34.87707014,135.4573431,,,
,余野川,,,,,右岸,7.1,34.87756007,135.4564249,,,
,余野川,,,,,左岸,7.2,34.87763838,135.4579407,,,
,余野川,,,,,右岸,7.2,34.87834081,135.4572551,,,
,余野川,,,,,左岸,7.3,34.87824874,135.4588032,,,
,余野川,,,,,右岸,7.3,34.87890443,135.4580525,,,
,余野川,,,,,左岸,7.4,34.87893245,135.4595987,,,
,余野川,,,,,右岸,7.4,34.87952061,135.4587697,,,
,余野川,,,,,左岸,7.5,34.8795412,135.4600861,,,
,余野川,,,,,右岸,7.5,34.8799643,135.4591201,,,
,余野川,,,,,左岸,7.6,34.8808916,135.4603872,,,
,余野川,,,,,右岸,7.6,34.88088048,135.4592933,,,
,余野川,,,,,左岸,7.7,34.88161446,135.4604567,,,
,余野川,,,,,右岸,7.7,34.88193703,135.4594352,,,
,余野川,,,,,左岸,7.8,34.88227507,135.461024,,,
,余野川,,,,,右岸,7.8,34.88275931,135.4601013,,,
,余野川,,,,,左岸,7.9,34.8832515,135.4613603,,,
,余野川,,,,,右岸,7.9,34.88349448,135.4603068,,,
,余野川,,,,,左岸,8,34.8836589,135.4618298,,,
,余野川,,,,,右岸,8,34.88441028,135.4612254,,,
,余野川,,,,,左岸,8.1,34.88401689,135.4627149,,,
,余野川,,,,,右岸,8.1,34.88484975,135.4622963,,,
,余野川,,,,,左岸,8.2,34.88443785,135.4638019,,,
,余野川,,,,,右岸,8.2,34.88518311,135.4631864,,,
,余野川,,,,,左岸,8.3,34.88522024,135.464631,,,
,余野川,,,,,右岸,8.3,34.88576987,135.4637639,,,
,余野川,,,,,左岸,8.4,34.8858018,135.4652821,,,
,余野川,,,,,右岸,8.4,34.88650405,135.4645962,,,
,余野川,,,,,左岸,8.5,34.88603259,135.4661003,,,
,余野川,,,,,右岸,8.5,34.88689987,135.4658019,,,
,余野川,,,,,左岸,8.6,34.8866228,135.4673218,,,
,余野川,,,,,右岸,8.6,34.88717245,135.4664546,,,
,余野川,,,,,左岸,8.7,34.88755873,135.4679367,,,
,余野川,,,,,右岸,8.7,34.8877996,135.4668825,,,
,余野川,,,,,左岸,8.8,34.88862645,135.4682781,,,
,余野川,,,,,右岸,8.8,34.8889902,135.4672771,,,
,余野川,,,,,左岸,8.9,34.88892812,135.4686061,,,
,余野川,,,,,右岸,8.9,34.88963597,135.4679287,,,
,余野川,,,,,左岸,9,34.88961933,135.4695073,,,
,余野川,,,,,右岸,9,34.89016098,135.4686328,,,
,余野川,,,,,左岸,9.1,34.89038785,135.4701619,,,
,余野川,,,,,右岸,9.1,34.89086701,135.4692352,,,
,余野川,,,,,左岸,9.2,34.89079921,135.4708211,,,
,余野川,,,,,右岸,9.2,34.89156793,135.4702496,,,
,余野川,,,,,左岸,9.3,34.8912742,135.4717969,,,
,余野川,,,,,右岸,9.3,34.89200609,135.4711581,,,
,余野川,,,,,左岸,9.4,34.89180355,135.47266,,,
,余野川,,,,,右岸,9.4,34.89255097,135.4720483,,,
,余野川,,,,,左岸,9.5,34.89260148,135.473648,,,
,余野川,,,,,右岸,9.5,34.89295493,135.4726416,,,
,余野川,,,,,左岸,9.6,34.89372096,135.4735353,,,
,余野川,,,,,右岸,9.6,34.8935792,135.4724548,,,
,余野川,,,,,左岸,9.7,34.8941226,135.4736102,,,
,余野川,,,,,右岸,9.7,34.89481729,135.4729129,,,
,余野川,,,,,左岸,9.8,34.89493319,135.4745643,,,
,余野川,,,,,右岸,9.8,34.89517629,135.4735107,,,
,余野川,,,,,左岸,9.9,34.8955221,135.4750064,,,
,余野川,,,,,右岸,9.9,34.89611333,135.4741805,,,
,余野川,,,,,左岸,10,34.89567056,135.4756107,,,
,余野川,,,,,右岸,10,34.89657028,135.4755426,,,
,余野川,,,,,左岸,10.1,34.89561512,135.4765213,,,
,余野川,,,,,右岸,10.1,34.89648629,135.4768026,,,
,余野川,,,,,左岸,10.2,34.89539091,135.4776118,,,
,余野川,,,,,右岸,10.2,34.89627354,135.4778343,,,
,余野川,,,,,左岸,10.3,34.89599216,135.4791347,,,
,余野川,,,,,右岸,10.3,34.89635943,135.4781355,,,
,余野川,,,,,左岸,10.4,34.8970722,135.4792489,,,
,余野川,,,,,右岸,10.4,34.89706751,135.4781548,,,
,余野川,,,,,左岸,10.5,34.89803259,135.479113,,,
,余野川,,,,,右岸,10.5,34.89789679,135.4780313,,,
,余野川,,,,,左岸,10.6,34.89891627,135.4789589,,,
,余野川,,,,,右岸,10.6,34.89879765,135.4778743,,,
,余野川,,,,,左岸,10.7,34.89951563,135.479264,,,
,余野川,,,,,右岸,10.7,34.89985738,135.4782515,,,
,余野川,,,,,左岸,10.8,34.90008973,135.4793976,,,
,余野川,,,,,右岸,10.8,34.90088213,135.4788759,,,
,余野川,,,,,左岸,10.9,34.90057847,135.4803702,,,
,余野川,,,,,右岸,10.9,34.90133238,135.4797703,,,
,余野川,,,,,左岸,11,34.90083025,135.4811978,,,
,余野川,,,,,右岸,11,34.90171333,135.4809779,,,
,余野川,,,,,左岸,11.1,34.9018218,135.4822011,,,
,余野川,,,,,右岸,11.1,34.90210244,135.4811613,,,
,余野川,,,,,左岸,11.2,34.90295806,135.4822157,,,
,余野川,,,,,右岸,11.2,34.9027349,135.4811555,,,
,余野川,,,,,左岸,11.3,34.90369177,135.4819708,,,
,余野川,,,,,右岸,11.3,34.90372899,135.4808775,,,
,余野川,,,,,左岸,11.4,34.90460416,135.4820624,,,
,余野川,,,,,右岸,11.4,34.90461169,135.4809682,,,
,余野川,,,,,左岸,11.5,34.90566223,135.481925,,,
,余野川,,,,,右岸,11.5,34.90533427,135.4809057,,,
,余野川,,,,,左岸,11.6,34.90603531,135.4813727,,,
,余野川,,,,,右岸,11.6,34.90648293,135.4804228,,,
,余野川,,,,,左岸,11.7,34.90638798,135.4820215,,,
,余野川,,,,,右岸,11.7,34.90718434,135.4815087,,,
,余野川,,,,,左岸,11.8,34.9069269,135.4830298,,,
,余野川,,,,,右岸,11.8,34.90762246,135.4823337,,,
