水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,八王寺川,,,,,左岸,0,35.49593947,136.0456334,,,
,八王寺川,,,,,右岸,0,35.49649991,136.0450785,,,
,八王寺川,,,,,左岸,0.1,35.49679479,136.0465006,,,
,八王寺川,,,,,右岸,0.1,35.49693655,136.045636,,,
,八王寺川,,,,,左岸,0.2,35.49789246,136.0465543,,,
,八王寺川,,,,,右岸,0.2,35.49761114,136.0457423,,,
,八王寺川,,,,,左岸,0.3,35.49831057,136.0455745,,,
,八王寺川,,,,,右岸,0.3,35.4978738,136.0448729,,,
,八王寺川,,,,,左岸,0.4,35.49915434,136.0455785,,,
,八王寺川,,,,,右岸,0.4,35.49878994,136.0448175,,,
,八王寺川,,,,,左岸,0.5,35.49973515,136.0451557,,,
,八王寺川,,,,,右岸,0.5,35.49944793,136.0443469,,,
,八王寺川,,,,,左岸,0.6,35.50063339,136.0441448,,,
,八王寺川,,,,,右岸,0.6,35.50007049,136.0435937,,,
,八王寺川,,,,,左岸,0.7,35.50111334,136.0437629,,,
,八王寺川,,,,,右岸,0.7,35.5010888,136.0428815,,,
,八王寺川,,,,,左岸,0.8,35.50200534,136.0438304,,,
,八王寺川,,,,,右岸,0.8,35.50199123,136.0429487,,,
,八王寺川,,,,,左岸,0.9,35.50289527,136.0433725,,,
,八王寺川,,,,,右岸,0.9,35.50268971,136.0425272,,,
,八王寺川,,,,,左岸,1,35.5038049,136.0433994,,,
,八王寺川,,,,,右岸,1,35.50355035,136.0425743,,,
,八王寺川,,,,,左岸,1.1,35.50459445,136.0430707,,,
,八王寺川,,,,,右岸,1.1,35.50446799,136.0422025,,,
,八王寺川,,,,,左岸,1.2,35.50536158,136.0432194,,,
,八王寺川,,,,,右岸,1.2,35.50547493,136.0423485,,,
,八王寺川,,,,,左岸,1.3,35.50587621,136.0436893,,,
,八王寺川,,,,,右岸,1.3,35.50640761,136.0430932,,,
,八王寺川,,,,,左岸,1.4,35.5067778,136.0443154,,,
,八王寺川,,,,,右岸,1.4,35.50703385,136.0434909,,,
,八王寺川,,,,,左岸,1.5,35.50772718,136.0448416,,,
,八王寺川,,,,,右岸,1.5,35.5074486,136.0440281,,,
,八王寺川,,,,,左岸,1.6,35.50845042,136.0447277,,,
,八王寺川,,,,,右岸,1.6,35.50849074,136.0438472,,,
,八王寺川,,,,,左岸,1.7,35.50920244,136.044986,,,
,八王寺川,,,,,右岸,1.7,35.5094649,136.0441645,,,
,八王寺川,,,,,左岸,1.8,35.51025538,136.0451074,,,
,八王寺川,,,,,右岸,1.8,35.51016626,136.0442322,,,
,八王寺川,,,,,左岸,1.9,35.51110022,136.0450052,,,
,八王寺川,,,,,右岸,1.9,35.51111415,136.0441234,,,
,八王寺川,,,,,左岸,2,35.51192265,136.0451549,,,
,八王寺川,,,,,右岸,2,35.51207152,136.044292,,,
,八王寺川,,,,,左岸,2.1,35.51277924,136.0454195,,,
,八王寺川,,,,,右岸,2.1,35.51296251,136.0445665,,,
