水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,八田川（鴨川合流）,,,,,左岸,0,35.31985858,136.0146037,,,
,八田川（鴨川合流）,,,,,右岸,0,35.31960556,136.0141486,,,
,八田川（鴨川合流）,,,,,左岸,0.1,35.32037548,136.013543,,,
,八田川（鴨川合流）,,,,,右岸,0.1,35.31995166,136.0133559,,,
,八田川（鴨川合流）,,,,,左岸,0.2,35.32064945,136.012483,,,
,八田川（鴨川合流）,,,,,右岸,0.2,35.32021953,136.0123179,,,
,八田川（鴨川合流）,,,,,左岸,0.3,35.32094836,136.0114586,,,
,八田川（鴨川合流）,,,,,右岸,0.3,35.32052492,136.0112702,,,
,八田川（鴨川合流）,,,,,左岸,0.4,35.32129313,136.0105077,,,
,八田川（鴨川合流）,,,,,右岸,0.4,35.32090993,136.0102182,,,
,八田川（鴨川合流）,,,,,左岸,0.5,35.32157977,136.0093665,,,
,八田川（鴨川合流）,,,,,右岸,0.5,35.32113592,136.0092709,,,
,八田川（鴨川合流）,,,,,左岸,0.6,35.32164175,136.0082796,,,
,八田川（鴨川合流）,,,,,右岸,0.6,35.32119946,136.0081737,,,
,八田川（鴨川合流）,,,,,左岸,0.7,35.3220674,136.0076114,,,
,八田川（鴨川合流）,,,,,右岸,0.7,35.32181048,136.0071595,,,
,八田川（鴨川合流）,,,,,左岸,0.8,35.32265933,136.0065944,,,
,八田川（鴨川合流）,,,,,右岸,0.8,35.32222525,136.0064464,,,
,八田川（鴨川合流）,,,,,左岸,0.9,35.32290192,136.0055351,,,
,八田川（鴨川合流）,,,,,右岸,0.9,35.32246783,136.0053871,,,
,八田川（鴨川合流）,,,,,左岸,1,35.32309326,136.0043669,,,
,八田川（鴨川合流）,,,,,右岸,1,35.32264424,136.0044145,,,
,八田川（鴨川合流）,,,,,左岸,1.1,35.32312686,136.0034371,,,
,八田川（鴨川合流）,,,,,右岸,1.1,35.32272374,136.0031912,,,
,八田川（鴨川合流）,,,,,左岸,1.2,35.3234882,136.002382,,,
,八田川（鴨川合流）,,,,,右岸,1.2,35.32305801,136.0022179,,,
,八田川（鴨川合流）,,,,,左岸,1.3,35.32375858,136.0013242,,,
,八田川（鴨川合流）,,,,,右岸,1.3,35.32332456,136.0011759,,,
,八田川（鴨川合流）,,,,,左岸,1.4,35.32392219,136.0002353,,,
,八田川（鴨川合流）,,,,,右岸,1.4,35.32348493,136.0001019,,,
,八田川（鴨川合流）,,,,,左岸,1.5,35.32415399,135.9991788,,,
,八田川（鴨川合流）,,,,,右岸,1.5,35.32371928,135.9990336,,,
,八田川（鴨川合流）,,,,,左岸,1.6,35.32438478,135.9981116,,,
,八田川（鴨川合流）,,,,,右岸,1.6,35.32394843,135.9979739,,,
,八田川（鴨川合流）,,,,,左岸,1.7,35.32466658,135.9970954,,,
,八田川（鴨川合流）,,,,,右岸,1.7,35.32424299,135.9969075,,,
,八田川（鴨川合流）,,,,,左岸,1.8,35.3249747,135.9960641,,,
,八田川（鴨川合流）,,,,,右岸,1.8,35.32455234,135.9958721,,,
,八田川（鴨川合流）,,,,,左岸,1.9,35.3252668,135.9950169,,,
,八田川（鴨川合流）,,,,,右岸,1.9,35.32484081,135.9948373,,,
,八田川（鴨川合流）,,,,,左岸,2,35.32561397,135.9940761,,,
,八田川（鴨川合流）,,,,,右岸,2,35.32523175,135.9937847,,,
,八田川（鴨川合流）,,,,,左岸,2.1,35.32576651,135.9928667,,,
,八田川（鴨川合流）,,,,,右岸,2.1,35.32531959,135.9929379,,,
,八田川（鴨川合流）,,,,,左岸,2.2,35.32593291,135.991779,,,
,八田川（鴨川合流）,,,,,右岸,2.2,35.32549743,135.9919207,,,
,八田川（鴨川合流）,,,,,左岸,2.3,35.32552262,135.9907729,,,
,八田川（鴨川合流）,,,,,右岸,2.3,35.32510292,135.9909733,,,
,八田川（鴨川合流）,,,,,左岸,2.4,35.32512318,135.9897486,,,
,八田川（鴨川合流）,,,,,右岸,2.4,35.32472822,135.9900136,,,
,八田川（鴨川合流）,,,,,左岸,2.5,35.3247207,135.9887968,,,
,八田川（鴨川合流）,,,,,右岸,2.5,35.32430573,135.9890114,,,
,八田川（鴨川合流）,,,,,左岸,2.6,35.32436888,135.9877841,,,
,八田川（鴨川合流）,,,,,右岸,2.6,35.32395391,135.9879988,,,
,八田川（鴨川合流）,,,,,左岸,2.7,35.3243711,135.9868371,,,
,八田川（鴨川合流）,,,,,右岸,2.7,35.32392259,135.9867828,,,
,八田川（鴨川合流）,,,,,左岸,2.8,35.32438601,135.9857819,,,
,八田川（鴨川合流）,,,,,右岸,2.8,35.32394071,135.9858669,,,
,八田川（鴨川合流）,,,,,左岸,2.9,35.32437676,135.985692,,,
,八田川（鴨川合流）,,,,,右岸,2.9,35.32392767,135.9857387,,,
,八田川（鴨川合流）,,,,,左岸,3,35.32443271,135.9846508,,,
,八田川（鴨川合流）,,,,,右岸,3,35.3239845,135.9845929,,,
,八田川（鴨川合流）,,,,,左岸,3.1,35.32448017,135.9841039,,,
,八田川（鴨川合流）,,,,,右岸,3.1,35.32403197,135.984046,,,
,八田川（鴨川合流）,,,,,左岸,3.2,35.3245351,135.9835578,,,
,八田川（鴨川合流）,,,,,右岸,3.2,35.32408682,135.9835007,,,
,八田川（鴨川合流）,,,,,左岸,3.3,35.32476694,135.9825863,,,
,八田川（鴨川合流）,,,,,右岸,3.3,35.32435169,135.9823725,,,
