水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,出川,,,,,左岸,0,35.40454429,136.336841,,,
,出川,,,,,右岸,0,35.40419497,136.33695,,,
,出川,,,,,左岸,0.1,35.40365565,136.3362784,,,
,出川,,,,,右岸,0.1,35.40376627,136.3366975,,,
,出川,,,,,左岸,0.2,35.4028436,136.3368384,,,
,出川,,,,,右岸,0.2,35.40303903,136.3372085,,,
,出川,,,,,左岸,0.3,35.40208558,136.3374154,,,
,出川,,,,,右岸,0.3,35.40226733,136.3377957,,,
,出川,,,,,左岸,0.4,35.40147347,136.3382103,,,
,出川,,,,,右岸,0.4,35.40168411,136.3385677,,,
,出川,,,,,左岸,0.5,35.40080483,136.3390226,,,
,出川,,,,,右岸,0.5,35.40107928,136.3393082,,,
