水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,勝尾寺川,,,,,左岸,0,34.84040098,135.5571353,,,
,勝尾寺川,,,,,右岸,0,34.83964855,135.5568248,,,
,勝尾寺川,,,,,左岸,0.1,34.84069007,135.5561206,,,
,勝尾寺川,,,,,右岸,0.1,34.83992794,135.5557658,,,
,勝尾寺川,,,,,左岸,0.2,34.84096036,135.5549151,,,
,勝尾寺川,,,,,右岸,0.2,34.84014811,135.5548747,,,
,勝尾寺川,,,,,左岸,0.3,34.84078894,135.553682,,,
,勝尾寺川,,,,,右岸,0.3,34.83999605,135.5539752,,,
,勝尾寺川,,,,,左岸,0.4,34.84030587,135.5525771,,,
,勝尾寺川,,,,,右岸,0.4,34.83966197,135.5531517,,,
,勝尾寺川,,,,,左岸,0.5,34.8396598,135.5517012,,,
,勝尾寺川,,,,,右岸,0.5,34.83910077,135.5524009,,,
,勝尾寺川,,,,,左岸,0.6,34.83890699,135.550987,,,
,勝尾寺川,,,,,右岸,0.6,34.83842996,135.5517724,,,
,勝尾寺川,,,,,左岸,0.7,34.83856879,135.5504985,,,
,勝尾寺川,,,,,右岸,0.7,34.83772053,135.5505855,,,
,勝尾寺川,,,,,左岸,0.8,34.83878358,135.5496369,,,
,勝尾寺川,,,,,右岸,0.8,34.83798311,135.5493678,,,
,勝尾寺川,,,,,左岸,0.9,34.83880143,135.5482425,,,
,勝尾寺川,,,,,右岸,0.9,34.83807479,135.5486541,,,
,勝尾寺川,,,,,左岸,1,34.83785056,135.5473332,,,
,勝尾寺川,,,,,右岸,1,34.83768772,135.5482756,,,
,勝尾寺川,,,,,左岸,1.1,34.83710565,135.5470841,,,
,勝尾寺川,,,,,右岸,1.1,34.83672428,135.5479315,,,
,勝尾寺川,,,,,左岸,1.2,34.83656195,135.5464148,,,
,勝尾寺川,,,,,右岸,1.2,34.83588566,135.5467366,,,
,勝尾寺川,,,,,左岸,1.3,34.83651511,135.5458965,,,
,勝尾寺川,,,,,右岸,1.3,34.83585471,135.5455484,,,
,勝尾寺川,,,,,左岸,1.4,34.83680278,135.5446651,,,
,勝尾寺川,,,,,右岸,1.4,34.83603543,135.5447038,,,
,勝尾寺川,,,,,左岸,1.5,34.83653755,135.54343,,,
,勝尾寺川,,,,,右岸,1.5,34.83583329,135.543862,,,
,勝尾寺川,,,,,左岸,1.6,34.83595022,135.5424366,,,
,勝尾寺川,,,,,右岸,1.6,34.83536021,135.543101,,,
,勝尾寺川,,,,,左岸,1.7,34.83552685,135.5417031,,,
,勝尾寺川,,,,,右岸,1.7,34.83482861,135.5420132,,,
,勝尾寺川,,,,,左岸,1.8,34.83520415,135.5406284,,,
,勝尾寺川,,,,,右岸,1.8,34.83455393,135.5410272,,,
,勝尾寺川,,,,,左岸,1.9,34.834451,135.5397585,,,
,勝尾寺川,,,,,右岸,1.9,34.83411505,135.5402726,,,
,勝尾寺川,,,,,左岸,2,34.83397282,135.5390993,,,
,勝尾寺川,,,,,右岸,2,34.83345779,135.5392998,,,
,勝尾寺川,,,,,左岸,2.1,34.83387205,135.5380918,,,
,勝尾寺川,,,,,右岸,2.1,34.83333283,135.5381433,,,
,勝尾寺川,,,,,左岸,2.2,34.83370086,135.5369821,,,
,勝尾寺川,,,,,右岸,2.2,34.83317097,135.5371137,,,
,勝尾寺川,,,,,左岸,2.3,34.83368293,135.5357754,,,
,勝尾寺川,,,,,右岸,2.3,34.83314486,135.5357085,,,
,勝尾寺川,,,,,左岸,2.4,34.83406703,135.5355727,,,
,勝尾寺川,,,,,右岸,2.4,34.83384507,135.5349745,,,
,勝尾寺川,,,,,左岸,2.5,34.83468338,135.5350757,,,
,勝尾寺川,,,,,右岸,2.5,34.83438225,135.5344562,,,
,勝尾寺川,,,,,左岸,2.6,34.83537497,135.5353308,,,
,勝尾寺川,,,,,右岸,2.6,34.8356438,135.5347616,,,
,勝尾寺川,,,,,左岸,2.7,34.83651458,135.5358767,,,
,勝尾寺川,,,,,右岸,2.7,34.83645999,135.535224,,,
,勝尾寺川,,,,,左岸,2.8,34.83727275,135.5353432,,,
,勝尾寺川,,,,,右岸,2.8,34.83689481,135.5348739,,,
,勝尾寺川,,,,,左岸,2.9,34.83792862,135.5346746,,,
,勝尾寺川,,,,,右岸,2.9,34.83761869,135.5341369,,,
,勝尾寺川,,,,,左岸,3,34.8385037,135.5336156,,,
,勝尾寺川,,,,,右岸,3,34.83798649,135.5334236,,,
,勝尾寺川,,,,,左岸,3.1,34.83882209,135.5323207,,,
,勝尾寺川,,,,,右岸,3.1,34.83828939,135.5322071,,,
,勝尾寺川,,,,,左岸,3.2,34.8389312,135.5314375,,,
,勝尾寺川,,,,,右岸,3.2,34.83839401,135.5313609,,,
,勝尾寺川,,,,,左岸,3.3,34.83905316,135.5303672,,,
,勝尾寺川,,,,,右岸,3.3,34.83851885,135.5302652,,,
,勝尾寺川,,,,,左岸,3.4,34.8395234,135.5300617,,,
,勝尾寺川,,,,,右岸,3.4,34.83939403,135.5294247,,,
,勝尾寺川,,,,,左岸,3.5,34.84026778,135.5291007,,,
,勝尾寺川,,,,,右岸,3.5,34.83977059,135.5288424,,,
,勝尾寺川,,,,,左岸,3.6,34.84057016,135.5283046,,,
,勝尾寺川,,,,,右岸,3.6,34.84030727,135.5277313,,,
