水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,北川（天野川合流）,,,,,左岸,0,34.79927941,135.6622145,,,
,北川（天野川合流）,,,,,右岸,0,34.79975381,135.6625295,,,
,北川（天野川合流）,,,,,左岸,0.1,34.79885826,135.663234,,,
,北川（天野川合流）,,,,,右岸,0.1,34.79936643,135.6634586,,,
,北川（天野川合流）,,,,,左岸,0.2,34.79864382,135.664368,,,
,北川（天野川合流）,,,,,右岸,0.2,34.79918052,135.6644495,,,
,北川（天野川合流）,,,,,左岸,0.3,34.79857645,135.6654926,,,
,北川（天野川合流）,,,,,右岸,0.3,34.79911727,135.6655037,,,
,北川（天野川合流）,,,,,左岸,0.4,34.79865634,135.6666689,,,
,北川（天野川合流）,,,,,右岸,0.4,34.79917749,135.6664933,,,
,北川（天野川合流）,,,,,左岸,0.5,34.79890639,135.6677278,,,
,北川（天野川合流）,,,,,右岸,0.5,34.79942352,135.6675355,,,
,北川（天野川合流）,,,,,左岸,0.6,34.79913484,135.6687489,,,
,北川（天野川合流）,,,,,右岸,0.6,34.79966549,135.6686219,,,
,北川（天野川合流）,,,,,左岸,0.7,34.7992897,135.6696619,,,
,北川（天野川合流）,,,,,右岸,0.7,34.79980502,135.6698611,,,
,北川（天野川合流）,,,,,左岸,0.8,34.79885218,135.6706665,,,
,北川（天野川合流）,,,,,右岸,0.8,34.79939136,135.6707188,,,
,北川（天野川合流）,,,,,左岸,0.9,34.79896726,135.6718269,,,
,北川（天野川合流）,,,,,右岸,0.9,34.79950135,135.6717232,,,
,北川（天野川合流）,,,,,左岸,1,34.79910573,135.6729047,,,
,北川（天野川合流）,,,,,右岸,1,34.79964034,135.672805,,,
,北川（天野川合流）,,,,,左岸,1.1,34.79980473,135.6739343,,,
,北川（天野川合流）,,,,,右岸,1.1,34.79998793,135.6733174,,,
,北川（天野川合流）,,,,,左岸,1.2,34.8001788,135.6746096,,,
,北川（天野川合流）,,,,,右岸,1.2,34.80066525,135.6743229,,,
,北川（天野川合流）,,,,,左岸,1.3,34.80045429,135.6755587,,,
,北川（天野川合流）,,,,,右岸,1.3,34.80096006,135.6757912,,,
