水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,北川（宇陀川合流）,,,,,左岸,0,34.56328327,136.0162167,,,
,北川（宇陀川合流）,,,,,右岸,0,34.56283319,136.0162469,,,
,北川（宇陀川合流）,,,,,左岸,0.1,34.56367692,136.0163128,,,
,北川（宇陀川合流）,,,,,右岸,0.1,34.56382991,136.0158002,,,
,北川（宇陀川合流）,,,,,左岸,0.2,34.56455441,136.0159521,,,
,北川（宇陀川合流）,,,,,右岸,0.2,34.56435288,136.0154647,,,
,北川（宇陀川合流）,,,,,左岸,0.3,34.56510896,136.0151005,,,
,北川（宇陀川合流）,,,,,右岸,0.3,34.56485051,136.014654,,,
,北川（宇陀川合流）,,,,,左岸,0.4,34.56553502,136.0143481,,,
,北川（宇陀川合流）,,,,,右岸,0.4,34.56531594,136.0138719,,,
,北川（宇陀川合流）,,,,,左岸,0.5,34.56630868,136.0136717,,,
,北川（宇陀川合流）,,,,,右岸,0.5,34.56598442,136.0132932,,,
,北川（宇陀川合流）,,,,,左岸,0.6,34.56685516,136.0130195,,,
,北川（宇陀川合流）,,,,,右岸,0.6,34.56677458,136.0124833,,,
,北川（宇陀川合流）,,,,,左岸,0.7,34.56764209,136.0124357,,,
,北川（宇陀川合流）,,,,,右岸,0.7,34.56730707,136.0120711,,,
