水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,北川（安曇川合流）,,,,,左岸,0.1,35.35594336,135.9198429,,,
,北川（安曇川合流）,,,,,右岸,0.1,35.35547681,135.9189015,,,
,北川（安曇川合流）,,,,,左岸,0.2,35.35662382,135.9195688,,,
,北川（安曇川合流）,,,,,右岸,0.2,35.35649561,135.9184797,,,
,北川（安曇川合流）,,,,,左岸,0.3,35.35745605,135.9194688,,,
,北川（安曇川合流）,,,,,右岸,0.3,35.35745531,135.9183684,,,
,北川（安曇川合流）,,,,,左岸,0.4,35.35831979,135.919463,,,
,北川（安曇川合流）,,,,,右岸,0.4,35.35839392,135.9183663,,,
,北川（安曇川合流）,,,,,左岸,0.5,35.35925679,135.9195195,,,
,北川（安曇川合流）,,,,,右岸,0.5,35.35925605,135.9184191,,,
,北川（安曇川合流）,,,,,左岸,0.6,35.36015087,135.9195303,,,
,北川（安曇川合流）,,,,,右岸,0.6,35.36016467,135.91843,,,
,北川（安曇川合流）,,,,,左岸,0.7,35.36106033,135.919838,,,
,北川（安曇川合流）,,,,,右岸,0.7,35.36091141,135.9187527,,,
,北川（安曇川合流）,,,,,左岸,0.8,35.3612955,135.9193182,,,
,北川（安曇川合流）,,,,,右岸,0.8,35.36187539,135.9184757,,,
,北川（安曇川合流）,,,,,左岸,0.9,35.36198562,135.9200261,,,
,北川（安曇川合流）,,,,,右岸,0.9,35.36256552,135.9191836,,,
,北川（安曇川合流）,,,,,左岸,1,35.3628073,135.9206952,,,
,北川（安曇川合流）,,,,,右岸,1,35.36324058,135.9197302,,,
,北川（安曇川合流）,,,,,左岸,1.1,35.36364589,135.9212061,,,
,北川（安曇川合流）,,,,,右岸,1.1,35.36401372,135.9202015,,,
,北川（安曇川合流）,,,,,左岸,1.2,35.36494876,135.9210947,,,
,北川（安曇川合流）,,,,,右岸,1.2,35.36440275,135.9202191,,,
,北川（安曇川合流）,,,,,左岸,1.3,35.36551547,135.9196696,,,
,北川（安曇川合流）,,,,,右岸,1.3,35.36461516,135.9197241,,,
,北川（安曇川合流）,,,,,左岸,1.4,35.36558086,135.9196556,,,
,北川（安曇川合流）,,,,,右岸,1.4,35.3656123,135.9185558,,,
,北川（安曇川合流）,,,,,左岸,1.5,35.36643731,135.9198929,,,
,北川（安曇川合流）,,,,,右岸,1.5,35.36651302,135.9187963,,,
,北川（安曇川合流）,,,,,左岸,1.6,35.36767041,135.9193024,,,
,北川（安曇川合流）,,,,,右岸,1.6,35.3669072,135.9187169,,,
,北川（安曇川合流）,,,,,左岸,1.7,35.368097,135.9182595,,,
,北川（安曇川合流）,,,,,右岸,1.7,35.36728151,135.9177905,,,
,北川（安曇川合流）,,,,,左岸,1.8,35.36776168,135.9165161,,,
,北川（安曇川合流）,,,,,右岸,1.8,35.3674276,135.9175382,,,
,北川（安曇川合流）,,,,,左岸,1.9,35.36676042,135.9164908,,,
,北川（安曇川合流）,,,,,右岸,1.9,35.36664937,135.9175829,,,
,北川（安曇川合流）,,,,,左岸,2,35.36617449,135.9162057,,,
,北川（安曇川合流）,,,,,右岸,2,35.365598,135.9170517,,,
,北川（安曇川合流）,,,,,左岸,2.1,35.3658242,135.9155455,,,
,北川（安曇川合流）,,,,,右岸,2.1,35.36497139,135.915902,,,
,北川（安曇川合流）,,,,,左岸,2.2,35.36565707,135.9145654,,,
,北川（安曇川合流）,,,,,右岸,2.2,35.36476611,135.9147326,,,
,北川（安曇川合流）,,,,,左岸,2.3,35.3655894,135.9135292,,,
,北川（安曇川合流）,,,,,右岸,2.3,35.36468887,135.913578,,,
,北川（安曇川合流）,,,,,左岸,2.4,35.36547223,135.9122434,,,
,北川（安曇川合流）,,,,,右岸,2.4,35.36464401,135.9126778,,,
,北川（安曇川合流）,,,,,左岸,2.5,35.36478882,135.9112786,,,
,北川（安曇川合流）,,,,,右岸,2.5,35.3641242,135.9120221,,,
,北川（安曇川合流）,,,,,左岸,2.6,35.36352969,135.9105639,,,
,北川（安曇川合流）,,,,,右岸,2.6,35.36396971,135.9115243,,,
,北川（安曇川合流）,,,,,左岸,2.7,35.362664,135.9111985,,,
,北川（安曇川合流）,,,,,右岸,2.7,35.36328453,135.9119967,,,
,北川（安曇川合流）,,,,,左岸,2.8,35.36205994,135.911994,,,
,北川（安曇川合流）,,,,,右岸,2.8,35.36266689,135.9128076,,,
