水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,北川（木津川合流）,,,,,左岸,0,34.68372481,136.1516597,,,
,北川（木津川合流）,,,,,右岸,0,34.68411138,136.1519404,,,
,北川（木津川合流）,,,,,左岸,0.1,34.68330736,136.1527037,,,
,北川（木津川合流）,,,,,右岸,0.1,34.6837403,136.1528556,,,
,北川（木津川合流）,,,,,左岸,0.2,34.68315335,136.1538215,,,
,北川（木津川合流）,,,,,右岸,0.2,34.68360078,136.1538877,,,
,北川（木津川合流）,,,,,左岸,0.3,34.68316588,136.1550361,,,
,北川（木津川合流）,,,,,右岸,0.3,34.68357685,136.154812,,,
,北川（木津川合流）,,,,,左岸,0.4,34.68355953,136.1559209,,,
,北川（木津川合流）,,,,,右岸,0.4,34.68400606,136.1558463,,,
,北川（木津川合流）,,,,,左岸,0.5,34.68336393,136.1568483,,,
,北川（木津川合流）,,,,,右岸,0.5,34.68378951,136.1570282,,,
,北川（木津川合流）,,,,,左岸,0.6,34.68302424,136.1578061,,,
,北川（木津川合流）,,,,,右岸,0.6,34.68341926,136.1580689,,,
,北川（木津川合流）,,,,,左岸,0.7,34.6828514,136.1589816,,,
,北川（木津川合流）,,,,,右岸,0.7,34.68330095,136.1590216,,,
,北川（木津川合流）,,,,,左岸,0.8,34.68277256,136.1598047,,,
,北川（木津川合流）,,,,,右岸,0.8,34.6830082,136.1602698,,,
,北川（木津川合流）,,,,,左岸,0.9,34.68200093,136.1597925,,,
,北川（木津川合流）,,,,,右岸,0.9,34.68199336,136.1603381,,,
,北川（木津川合流）,,,,,左岸,1,34.68113348,136.1597338,,,
,北川（木津川合流）,,,,,右岸,1,34.68106211,136.1602725,,,
,北川（木津川合流）,,,,,左岸,1.1,34.68025483,136.1595031,,,
,北川（木津川合流）,,,,,右岸,1.1,34.68018002,136.1600411,,,
,北川（木津川合流）,,,,,左岸,1.2,34.67935528,136.1593657,,,
,北川（木津川合流）,,,,,右岸,1.2,34.67929083,136.1599058,,,
,北川（木津川合流）,,,,,左岸,1.3,34.67848229,136.1591814,,,
,北川（木津川合流）,,,,,右岸,1.3,34.67838814,136.159715,,,
,北川（木津川合流）,,,,,左岸,1.4,34.67748466,136.1597397,,,
,北川（木津川合流）,,,,,右岸,1.4,34.67793137,136.1598127,,,
,北川（木津川合流）,,,,,左岸,1.5,34.6774014,136.1608463,,,
,北川（木津川合流）,,,,,右岸,1.5,34.67785134,136.160879,,,
,北川（木津川合流）,,,,,左岸,1.6,34.67741508,136.1619384,,,
,北川（木津川合流）,,,,,右岸,1.6,34.6778652,136.1619674,,,
,北川（木津川合流）,,,,,左岸,1.7,34.6771622,136.1629102,,,
,北川（木津川合流）,,,,,右岸,1.7,34.67759029,136.1630811,,,
,北川（木津川合流）,,,,,左岸,1.8,34.67687795,136.163942,,,
,北川（木津川合流）,,,,,右岸,1.8,34.67730412,136.1641197,,,
,北川（木津川合流）,,,,,左岸,1.9,34.67658023,136.1649727,,,
,北川（木津川合流）,,,,,右岸,1.9,34.67700677,136.1651492,,,
