水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,北川（本梅川合流）,,,,,左岸,0,35.03588291,135.4867472,,,
,北川（本梅川合流）,,,,,右岸,0,35.03558018,135.4872921,,,
,北川（本梅川合流）,,,,,左岸,0.1,35.03524,135.4860649,,,
,北川（本梅川合流）,,,,,右岸,0.1,35.03486572,135.4865396,,,
,北川（本梅川合流）,,,,,左岸,0.2,35.0344936,135.4853086,,,
,北川（本梅川合流）,,,,,右岸,0.2,35.03423539,135.4858864,,,
,北川（本梅川合流）,,,,,左岸,0.3,35.03358301,135.4848602,,,
,北川（本梅川合流）,,,,,右岸,0.3,35.03348561,135.485507,,,
,北川（本梅川合流）,,,,,左岸,0.4,35.03259135,135.4848435,,,
,北川（本梅川合流）,,,,,右岸,0.4,35.03268712,135.4854906,,,
,北川（本梅川合流）,,,,,左岸,0.5,35.03173712,135.4851496,,,
,北川（本梅川合流）,,,,,右岸,0.5,35.03181857,135.4857997,,,
,北川（本梅川合流）,,,,,左岸,0.6,35.03089953,135.485131,,,
,北川（本梅川合流）,,,,,右岸,0.6,35.03085701,135.4857865,,,
,北川（本梅川合流）,,,,,左岸,0.7,35.03006528,135.4849483,,,
,北川（本梅川合流）,,,,,右岸,0.7,35.0299203,135.4855817,,,
,北川（本梅川合流）,,,,,左岸,0.8,35.02937117,135.4846267,,,
,北川（本梅川合流）,,,,,右岸,0.8,35.02898045,135.4850814,,,
,北川（本梅川合流）,,,,,左岸,0.9,35.02930874,135.4837819,,,
,北川（本梅川合流）,,,,,右岸,0.9,35.02876788,135.4837853,,,
,北川（本梅川合流）,,,,,左岸,1,35.02922656,135.4832013,,,
,北川（本梅川合流）,,,,,右岸,1,35.02910469,135.4825607,,,
,北川（本梅川合流）,,,,,左岸,1.1,35.02979935,135.4820795,,,
,北川（本梅川合流）,,,,,右岸,1.1,35.02928875,135.4818626,,,
,北川（本梅川合流）,,,,,左岸,1.2,35.03022299,135.4811019,,,
,北川（本梅川合流）,,,,,右岸,1.2,35.0296944,135.4809626,,,
,北川（本梅川合流）,,,,,左岸,1.3,35.03011119,135.479847,,,
,北川（本梅川合流）,,,,,右岸,1.3,35.02966972,135.4802268,,,
,北川（本梅川合流）,,,,,左岸,1.4,35.02940408,135.4789678,,,
,北川（本梅川合流）,,,,,右岸,1.4,35.02926449,135.479603,,,
,北川（本梅川合流）,,,,,左岸,1.5,35.02884983,135.4782998,,,
,北川（本梅川合流）,,,,,右岸,1.5,35.02851885,135.4788199,,,
,北川（本梅川合流）,,,,,左岸,1.6,35.02848137,135.4774326,,,
,北川（本梅川合流）,,,,,右岸,1.6,35.02803167,135.4777979,,,
