水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,北川（草津川合流）,,,,,左岸,0,35.01239564,135.9344786,,,
,北川（草津川合流）,,,,,右岸,0,35.0128567,135.9348223,,,
,北川（草津川合流）,,,,,左岸,0.1,35.01192027,135.9354006,,,
,北川（草津川合流）,,,,,右岸,0.1,35.01237472,135.9357571,,,
,北川（草津川合流）,,,,,左岸,0.2,35.01143763,135.9363319,,,
,北川（草津川合流）,,,,,右岸,0.2,35.01189648,135.93668,,,
,北川（草津川合流）,,,,,左岸,0.3,35.01095467,135.9372531,,,
,北川（草津川合流）,,,,,右岸,0.3,35.01141061,135.9376068,,,
,北川（草津川合流）,,,,,左岸,0.4,35.01046407,135.9381676,,,
,北川（草津川合流）,,,,,右岸,0.4,35.01091645,135.9385279,,,
,北川（草津川合流）,,,,,左岸,0.5,35.00997499,135.9390978,,,
,北川（草津川合流）,,,,,右岸,0.5,35.01043472,135.9394441,,,
,北川（草津川合流）,,,,,左岸,0.6,35.0095016,135.9400328,,,
,北川（草津川合流）,,,,,右岸,0.6,35.00996321,135.9403754,,,
,北川（草津川合流）,,,,,左岸,0.7,35.00903202,135.9409736,,,
,北川（草津川合流）,,,,,右岸,0.7,35.00949769,135.9413081,,,
,北川（草津川合流）,,,,,左岸,0.8,35.00856852,135.9418971,,,
,北川（草津川合流）,,,,,右岸,0.8,35.00902233,135.9422548,,,
,北川（草津川合流）,,,,,左岸,0.9,35.00807736,135.9428124,,,
,北川（草津川合流）,,,,,右岸,0.9,35.00852852,135.943175,,,
,北川（草津川合流）,,,,,左岸,1,35.00758166,135.9437347,,,
,北川（草津川合流）,,,,,右岸,1,35.00803827,135.9440871,,,
,北川（草津川合流）,,,,,左岸,1.1,35.00711269,135.9446284,,,
,北川（草津川合流）,,,,,右岸,1.1,35.00753524,135.9450388,,,
,北川（草津川合流）,,,,,左岸,1.2,35.00651601,135.945467,,,
,北川（草津川合流）,,,,,右岸,1.2,35.00695362,135.9458534,,,
,北川（草津川合流）,,,,,左岸,1.3,35.00611367,135.9465614,,,
,北川（草津川合流）,,,,,右岸,1.3,35.00663246,135.9467473,,,
,北川（草津川合流）,,,,,左岸,1.4,35.00592901,135.9475678,,,
,北川（草津川合流）,,,,,右岸,1.4,35.00640902,135.9478708,,,
,北川（草津川合流）,,,,,左岸,1.5,35.00504457,135.9494198,,,
,北川（草津川合流）,,,,,右岸,1.5,35.00551304,135.9497484,,,
,北川（草津川合流）,,,,,左岸,1.6,35.00457298,135.9502817,,,
,北川（草津川合流）,,,,,右岸,1.6,35.00498606,135.950706,,,
,北川（草津川合流）,,,,,左岸,1.7,35.00394931,135.9509946,,,
,北川（草津川合流）,,,,,右岸,1.7,35.00430051,135.9514945,,,
,北川（草津川合流）,,,,,左岸,1.8,35.00252455,135.9521238,,,
,北川（草津川合流）,,,,,右岸,1.8,35.00306338,135.9520666,,,
,北川（草津川合流）,,,,,左岸,1.9,35.0025962,135.9535147,,,
,北川（草津川合流）,,,,,右岸,1.9,35.00308645,135.953237,,,
,北川（草津川合流）,,,,,左岸,2,35.00248904,135.9538285,,,
,北川（草津川合流）,,,,,右岸,2,35.0027745,135.9543868,,,
