水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,十禅寺川,,,,,左岸,0,35.00436245,135.9181493,,,
,十禅寺川,,,,,右岸,0,35.00491649,135.9183105,,,
,十禅寺川,,,,,左岸,0.1,35.00411587,135.9192041,,,
,十禅寺川,,,,,右岸,0.1,35.0047213,135.9193802,,,
,十禅寺川,,,,,左岸,0.2,35.00392633,135.9202661,,,
,十禅寺川,,,,,右岸,0.2,35.00448475,135.9204474,,,
,十禅寺川,,,,,左岸,0.3,35.00367916,135.9213246,,,
,十禅寺川,,,,,右岸,0.3,35.00426947,135.9215064,,,
,十禅寺川,,,,,左岸,0.4,35.00350437,135.9224025,,,
,十禅寺川,,,,,右岸,0.4,35.00401427,135.9225565,,,
,十禅寺川,,,,,左岸,0.5,35.0032754,135.9234559,,,
,十禅寺川,,,,,右岸,0.5,35.00381475,135.9236322,,,
,十禅寺川,,,,,左岸,0.6,35.00304065,135.9245137,,,
,十禅寺川,,,,,右岸,0.6,35.00354937,135.92468,,,
,十禅寺川,,,,,左岸,0.7,35.00281672,135.925582,,,
,十禅寺川,,,,,右岸,0.7,35.0033408,135.9257387,,,
,十禅寺川,,,,,左岸,0.8,35.00257562,135.9266396,,,
,十禅寺川,,,,,右岸,0.8,35.00311713,135.9267987,,,
,十禅寺川,,,,,左岸,0.9,35.00233452,135.9277569,,,
,十禅寺川,,,,,右岸,0.9,35.00271197,135.9279507,,,
,十禅寺川,,,,,左岸,1,35.00199213,135.9286482,,,
,十禅寺川,,,,,右岸,1,35.00239868,135.9288634,,,
,十禅寺川,,,,,左岸,1.1,35.00159599,135.9296244,,,
,十禅寺川,,,,,右岸,1.1,35.00200728,135.9298583,,,
,十禅寺川,,,,,左岸,1.2,35.00119733,135.9305962,,,
,十禅寺川,,,,,右岸,1.2,35.0016045,135.9308484,,,
,十禅寺川,,,,,左岸,1.3,35.00085294,135.9316853,,,
,十禅寺川,,,,,右岸,1.3,35.0012769,135.931784,,,
,十禅寺川,,,,,左岸,1.4,35.00108308,135.9329146,,,
,十禅寺川,,,,,右岸,1.4,35.00144812,135.9325656,,,
,十禅寺川,,,,,左岸,1.5,35.00156787,135.9335717,,,
,十禅寺川,,,,,右岸,1.5,35.0019089,135.9332314,,,
,十禅寺川,,,,,左岸,1.6,35.00227571,135.9344993,,,
,十禅寺川,,,,,右岸,1.6,35.00255554,135.9340566,,,
,十禅寺川,,,,,左岸,1.7,35.00308073,135.9350524,,,
,十禅寺川,,,,,右岸,1.7,35.00332021,135.9348997,,,
,十禅寺川,,,,,左岸,1.8,35.00347303,135.9360157,,,
,十禅寺川,,,,,右岸,1.8,35.0037011,135.9358391,,,
,十禅寺川,,,,,左岸,1.9,35.00328473,135.936918,,,
,十禅寺川,,,,,右岸,1.9,35.00354559,135.9370047,,,
,十禅寺川,,,,,左岸,2,35.00315681,135.9376963,,,
,十禅寺川,,,,,右岸,2,35.00336856,135.9379008,,,
,十禅寺川,,,,,左岸,2.1,35.00266374,135.9389074,,,
,十禅寺川,,,,,右岸,2.1,35.00292492,135.9389926,,,
,十禅寺川,,,,,左岸,2.2,35.00244738,135.9400011,,,
,十禅寺川,,,,,右岸,2.2,35.00271723,135.940023,,,
,十禅寺川,,,,,左岸,2.3,35.00222028,135.9410099,,,
,十禅寺川,,,,,右岸,2.3,35.00247498,135.9411204,,,
,十禅寺川,,,,,左岸,2.4,35.00181707,135.9420099,,,
,十禅寺川,,,,,右岸,2.4,35.00208565,135.9420484,,,
,十禅寺川,,,,,左岸,2.5,35.00161917,135.9430337,,,
,十禅寺川,,,,,右岸,2.5,35.00187201,135.9431503,,,
,十禅寺川,,,,,左岸,2.6,35.00128538,135.9440502,,,
,十禅寺川,,,,,右岸,2.6,35.00153777,135.9441682,,,
,十禅寺川,,,,,左岸,2.7,35.00086261,135.9449618,,,
,十禅寺川,,,,,右岸,2.7,35.00107928,135.9451584,,,
,十禅寺川,,,,,左岸,2.8,35.00029785,135.945792,,,
,十禅寺川,,,,,右岸,2.8,35.00049628,135.9460153,,,
,十禅寺川,,,,,左岸,2.9,34.99978564,135.9467031,,,
,十禅寺川,,,,,右岸,2.9,35.00000627,135.9468932,,,
,十禅寺川,,,,,左岸,3,34.99904225,135.9470856,,,
,十禅寺川,,,,,右岸,3,34.9991837,135.9473657,,,
,十禅寺川,,,,,左岸,3.1,34.99825577,135.9474127,,,
,十禅寺川,,,,,右岸,3.1,34.9983073,135.9477353,,,
,十禅寺川,,,,,左岸,3.2,34.99742339,135.9480767,,,
,十禅寺川,,,,,右岸,3.2,34.99769114,135.948123,,,
,十禅寺川,,,,,左岸,3.3,34.99727999,135.9490993,,,
,十禅寺川,,,,,右岸,3.3,34.99752194,135.9492461,,,
,十禅寺川,,,,,左岸,3.4,34.99709584,135.9499657,,,
,十禅寺川,,,,,右岸,3.4,34.99720112,135.9502684,,,
,十禅寺川,,,,,左岸,3.5,34.99625005,135.9506684,,,
,十禅寺川,,,,,右岸,3.5,34.99652035,135.9506789,,,
