水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,千ケ畑川,,,,,左岸,0,35.01067743,135.4323447,,,
,千ケ畑川,,,,,右岸,0,35.01112814,135.4323416,,,
,千ケ畑川,,,,,左岸,0.1,35.01113969,135.4334942,,,
,千ケ畑川,,,,,右岸,0.1,35.01132929,135.4329972,,,
,千ケ畑川,,,,,左岸,0.2,35.01094877,135.4341492,,,
,千ケ畑川,,,,,右岸,0.2,35.0113682,135.4343498,,,
,千ケ畑川,,,,,左岸,0.3,35.01109565,135.4354596,,,
,千ケ畑川,,,,,右岸,0.3,35.01140423,135.4350603,,,
,千ケ畑川,,,,,左岸,0.4,35.01160454,135.4360339,,,
,千ケ畑川,,,,,右岸,0.4,35.01205334,135.4359834,,,
,千ケ畑川,,,,,左岸,0.5,35.01166262,135.4371687,,,
,千ケ畑川,,,,,右岸,0.5,35.01205684,135.4369032,,,
,千ケ畑川,,,,,左岸,0.6,35.011638,135.4381189,,,
,千ケ畑川,,,,,右岸,0.6,35.01208512,135.4380497,,,
,千ケ畑川,,,,,左岸,0.7,35.01203356,135.4392555,,,
,千ケ畑川,,,,,右岸,0.7,35.01236776,135.4388879,,,
,千ケ畑川,,,,,左岸,0.8,35.01214135,135.4401762,,,
,千ケ畑川,,,,,右岸,0.8,35.01252338,135.4398854,,,
,千ケ畑川,,,,,左岸,0.9,35.0125206,135.4408958,,,
,千ケ畑川,,,,,右岸,0.9,35.0129424,135.4410889,,,
,千ケ畑川,,,,,左岸,1,35.01245851,135.4422045,,,
,千ケ畑川,,,,,右岸,1,35.01283579,135.4419048,,,
,千ケ畑川,,,,,左岸,1.1,35.0127397,135.4432284,,,
,千ケ畑川,,,,,右岸,1.1,35.01309096,135.4428852,,,
