水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,南川_大戸川,,,,,左岸,0,34.85890525,136.0664094,,,
,南川_大戸川,,,,,右岸,0,34.85897101,136.0669504,,,
,南川_大戸川,,,,,左岸,0.1,34.85823311,136.0669644,,,
,南川_大戸川,,,,,右岸,0.1,34.8583094,136.0675033,,,
,南川_大戸川,,,,,左岸,0.2,34.85740646,136.0671309,,,
,南川_大戸川,,,,,右岸,0.2,34.85770509,136.0675405,,,
,南川_大戸川,,,,,左岸,0.3,34.85667643,136.0676712,,,
,南川_大戸川,,,,,右岸,0.3,34.85701847,136.0680273,,,
,南川_大戸川,,,,,左岸,0.4,34.85616606,136.067685,,,
,南川_大戸川,,,,,右岸,0.4,34.85619223,136.0682309,,,
,南川_大戸川,,,,,左岸,0.5,34.85535095,136.0681811,,,
,南川_大戸川,,,,,右岸,0.5,34.85569189,136.0685387,,,
,南川_大戸川,,,,,左岸,0.6,34.85474743,136.0691483,,,
,南川_大戸川,,,,,右岸,0.6,34.85519818,136.0691481,,,
,南川_大戸川,,,,,左岸,0.7,34.85434148,136.0699461,,,
,南川_大戸川,,,,,右岸,0.7,34.85475987,136.0701495,,,
,南川_大戸川,,,,,左岸,0.8,34.85428513,136.0709529,,,
,南川_大戸川,,,,,右岸,0.8,34.85469824,136.0711717,,,
,南川_大戸川,,,,,左岸,0.9,34.85378224,136.071499,,,
,南川_大戸川,,,,,右岸,0.9,34.85389125,136.0720295,,,
,南川_大戸川,,,,,左岸,1,34.8529125,136.0721608,,,
,南川_大戸川,,,,,右岸,1,34.85326868,136.0724959,,,
,南川_大戸川,,,,,左岸,1.1,34.85321227,136.0729909,,,
,南川_大戸川,,,,,右岸,1.1,34.85355151,136.073351,,,
,南川_大戸川,,,,,左岸,1.2,34.85302137,136.0741976,,,
,南川_大戸川,,,,,右岸,1.2,34.85345487,136.0740477,,,
,南川_大戸川,,,,,左岸,1.3,34.85257638,136.0746353,,,
,南川_大戸川,,,,,右岸,1.3,34.85299167,136.0748479,,,
,南川_大戸川,,,,,左岸,1.4,34.85193285,136.0755465,,,
,南川_大戸川,,,,,右岸,1.4,34.85235593,136.0757351,,,
,南川_大戸川,,,,,左岸,1.5,34.85151807,136.076581,,,
,南川_大戸川,,,,,右岸,1.5,34.85196882,136.0765814,,,
,南川_大戸川,,,,,左岸,1.6,34.85151492,136.0776576,,,
,南川_大戸川,,,,,右岸,1.6,34.85193539,136.0774606,,,
,南川_大戸川,,,,,左岸,1.7,34.85135871,136.0787245,,,
,南川_大戸川,,,,,右岸,1.7,34.85163829,136.0782956,,,
,南川_大戸川,,,,,左岸,1.8,34.85149769,136.0793067,,,
,南川_大戸川,,,,,右岸,1.8,34.85194844,136.0793072,,,
