水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,南川（和束川合流）,,,,,左岸,0,34.79566106,135.9033002,,,
,南川（和束川合流）,,,,,右岸,0,34.79591629,135.903609,,,
,南川（和束川合流）,,,,,左岸,0.1,34.79494766,135.9036926,,,
,南川（和束川合流）,,,,,右岸,0.1,34.79503295,135.9041174,,,
,南川（和束川合流）,,,,,左岸,0.2,34.79423767,135.9045212,,,
,南川（和束川合流）,,,,,右岸,0.2,34.79449486,135.9048276,,,
,南川（和束川合流）,,,,,左岸,0.3,34.79358115,135.9052171,,,
,南川（和束川合流）,,,,,右岸,0.3,34.79379559,135.9055686,,,
,南川（和束川合流）,,,,,左岸,0.4,34.79285754,135.9058534,,,
,南川（和束川合流）,,,,,右岸,0.4,34.7930597,135.9062153,,,
,南川（和束川合流）,,,,,左岸,0.5,34.79221184,135.9066819,,,
,南川（和束川合流）,,,,,右岸,0.5,34.792482,135.9069714,,,
,南川（和束川合流）,,,,,左岸,0.6,34.79152522,135.9074978,,,
,南川（和束川合流）,,,,,右岸,0.6,34.79194743,135.9077468,,,
,南川（和束川合流）,,,,,左岸,0.7,34.79120261,135.9085548,,,
,南川（和束川合流）,,,,,右岸,0.7,34.79173347,135.908741,,,
