水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,南谷川,,,,,左岸,0,34.8136712,135.8029969,,,
,南谷川,,,,,右岸,0,34.81421176,135.8030199,,,
,南谷川,,,,,左岸,0.1,34.81365435,135.8041018,,,
,南谷川,,,,,右岸,0.1,34.81419525,135.8041006,,,
,南谷川,,,,,左岸,0.2,34.81371287,135.805229,,,
,南谷川,,,,,右岸,0.2,34.81425008,135.8051526,,,
,南谷川,,,,,左岸,0.3,34.81390222,135.8063476,,,
,南谷川,,,,,右岸,0.3,34.81442379,135.8061738,,,
,南谷川,,,,,左岸,0.4,34.81426866,135.8074182,,,
,南谷川,,,,,右岸,0.4,34.81474791,135.8071141,,,
,南谷川,,,,,左岸,0.5,34.81469702,135.8084221,,,
,南谷川,,,,,右岸,0.5,34.81514426,135.8080532,,,
,南谷川,,,,,左岸,0.6,34.81512475,135.809336,,,
,南谷川,,,,,右岸,0.6,34.81560051,135.809024,,,
,南谷川,,,,,左岸,0.7,34.81549836,135.8101891,,,
,南谷川,,,,,右岸,0.7,34.81598733,135.8099088,,,
,南谷川,,,,,左岸,0.8,34.81600538,135.8113056,,,
,南谷川,,,,,右岸,0.8,34.81643007,135.8108994,,,
,南谷川,,,,,左岸,0.9,34.81671548,135.8121197,,,
,南谷川,,,,,右岸,0.9,34.81702414,135.8115811,,,
,南谷川,,,,,左岸,1,34.81755729,135.8126985,,,
,南谷川,,,,,右岸,1,34.81774468,135.8120832,,,
,南谷川,,,,,左岸,1.1,34.81832589,135.8130622,,,
,南谷川,,,,,右岸,1.1,34.81864112,135.8125292,,,
,南谷川,,,,,左岸,1.2,34.81913178,135.8136108,,,
,南谷川,,,,,右岸,1.2,34.81940706,135.8130462,,,
,南谷川,,,,,左岸,1.3,34.81964067,135.8141755,,,
,南谷川,,,,,右岸,1.3,34.82014816,135.8139485,,,
,南谷川,,,,,左岸,1.4,34.81998021,135.8152565,,,
,南谷川,,,,,右岸,1.4,34.82043375,135.8148991,,,
,南谷川,,,,,左岸,1.5,34.81981694,135.8159382,,,
,南谷川,,,,,右岸,1.5,34.82030929,135.8162098,,,
,南谷川,,,,,左岸,1.6,34.82026629,135.8171878,,,
,南谷川,,,,,右岸,1.6,34.82067728,135.8167614,,,
,南谷川,,,,,左岸,1.7,34.82089863,135.8179952,,,
,南谷川,,,,,右岸,1.7,34.82128664,135.8175382,,,
,南谷川,,,,,左岸,1.8,34.82167405,135.818767,,,
,南谷川,,,,,右岸,1.8,34.82188118,135.8181611,,,
,南谷川,,,,,左岸,1.9,34.82188126,135.8188297,,,
,南谷川,,,,,右岸,1.9,34.8221129,135.8194225,,,
