水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,古川（寝屋川合流）,,,,,左岸,0,34.6971124,135.5814064,,,
,古川（寝屋川合流）,,,,,右岸,0,34.69735395,135.5808204,,,
,古川（寝屋川合流）,,,,,左岸,0.1,34.69791748,135.5818938,,,
,古川（寝屋川合流）,,,,,右岸,0.1,34.6981615,135.5813093,,,
,古川（寝屋川合流）,,,,,左岸,0.2,34.69872634,135.5823825,,,
,古川（寝屋川合流）,,,,,右岸,0.2,34.69896594,135.5817953,,,
,古川（寝屋川合流）,,,,,左岸,0.3,34.69953822,135.5828641,,,
,古川（寝屋川合流）,,,,,右岸,0.3,34.69977319,135.5822742,,,
,古川（寝屋川合流）,,,,,左岸,0.4,34.70045367,135.5833278,,,
,古川（寝屋川合流）,,,,,右岸,0.4,34.70049932,135.5826752,,,
,古川（寝屋川合流）,,,,,左岸,0.5,34.70118207,135.5836976,,,
,古川（寝屋川合流）,,,,,右岸,0.5,34.70142869,135.5831147,,,
,古川（寝屋川合流）,,,,,左岸,0.6,34.70177924,135.5842511,,,
,古川（寝屋川合流）,,,,,右岸,0.6,34.70223263,135.5838939,,,
,古川（寝屋川合流）,,,,,左岸,0.7,34.70256436,135.5850573,,,
,古川（寝屋川合流）,,,,,右岸,0.7,34.70280426,135.5844702,,,
,古川（寝屋川合流）,,,,,左岸,0.8,34.70335547,135.585548,,,
,古川（寝屋川合流）,,,,,右岸,0.8,34.70361744,135.584975,,,
,古川（寝屋川合流）,,,,,左岸,0.9,34.70417738,135.5860621,,,
,古川（寝屋川合流）,,,,,右岸,0.9,34.704396,135.585463,,,
,古川（寝屋川合流）,,,,,左岸,1,34.70504249,135.5864386,,,
,古川（寝屋川合流）,,,,,右岸,1,34.70522799,135.5858234,,,
,古川（寝屋川合流）,,,,,左岸,1.1,34.70589908,135.5868416,,,
,古川（寝屋川合流）,,,,,右岸,1.1,34.70605004,135.5862126,,,
,古川（寝屋川合流）,,,,,左岸,1.2,34.70688575,135.5869885,,,
,古川（寝屋川合流）,,,,,右岸,1.2,34.70684205,135.5863356,,,
,古川（寝屋川合流）,,,,,左岸,1.3,34.70778457,135.5868474,,,
,古川（寝屋川合流）,,,,,右岸,1.3,34.70773026,135.5861957,,,
,古川（寝屋川合流）,,,,,左岸,1.4,34.70866048,135.5868072,,,
,古川（寝屋川合流）,,,,,右岸,1.4,34.70865498,135.5861523,,,
,古川（寝屋川合流）,,,,,左岸,1.5,34.70941914,135.5869818,,,
,古川（寝屋川合流）,,,,,右岸,1.5,34.70964524,135.5863867,,,
,古川（寝屋川合流）,,,,,左岸,1.6,34.71043937,135.5871077,,,
,古川（寝屋川合流）,,,,,右岸,1.6,34.71038561,135.5864559,,,
,古川（寝屋川合流）,,,,,左岸,1.7,34.71121116,135.5870969,,,
,古川（寝屋川合流）,,,,,右岸,1.7,34.71140253,135.5864843,,,
,古川（寝屋川合流）,,,,,左岸,1.8,34.71183019,135.5876218,,,
,古川（寝屋川合流）,,,,,右岸,1.8,34.71223989,135.5871942,,,
,古川（寝屋川合流）,,,,,左岸,1.9,34.71258126,135.5883855,,,
,古川（寝屋川合流）,,,,,右岸,1.9,34.71286372,135.5878269,,,
,古川（寝屋川合流）,,,,,左岸,2,34.71314242,135.5890115,,,
,古川（寝屋川合流）,,,,,右岸,2,34.7136033,135.5886687,,,
,古川（寝屋川合流）,,,,,左岸,2.1,34.71360198,135.5899263,,,
,古川（寝屋川合流）,,,,,右岸,2.1,34.71407982,135.5896194,,,
,古川（寝屋川合流）,,,,,左岸,2.2,34.71474913,135.5905369,,,
,古川（寝屋川合流）,,,,,右岸,2.2,34.7145133,135.5899474,,,
,古川（寝屋川合流）,,,,,左岸,2.3,34.71531713,135.5901982,,,
,古川（寝屋川合流）,,,,,右岸,2.3,34.71507754,135.5896109,,,
,古川（寝屋川合流）,,,,,左岸,2.4,34.71601412,135.5897867,,,
,古川（寝屋川合流）,,,,,右岸,2.4,34.71601192,135.5891317,,,
