水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,古川（淀川合流）,,,,,左岸,0,34.9034896,135.7354258,,,
,古川（淀川合流）,,,,,右岸,0,34.90416597,135.7354093,,,
,古川（淀川合流）,,,,,左岸,0.1,34.90350228,135.7361917,,,
,古川（淀川合流）,,,,,右岸,0.1,34.90413319,135.7361763,,,
,古川（淀川合流）,,,,,左岸,0.2,34.90350559,135.7375348,,,
,古川（淀川合流）,,,,,右岸,0.2,34.90412564,135.7376771,,,
,古川（淀川合流）,,,,,左岸,0.3,34.90331061,135.7385742,,,
,古川（淀川合流）,,,,,右岸,0.3,34.90392064,135.7387702,,,
,古川（淀川合流）,,,,,左岸,0.4,34.90302471,135.7395527,,,
,古川（淀川合流）,,,,,右岸,0.4,34.90360537,135.7398526,,,
,古川（淀川合流）,,,,,左岸,0.5,34.90254744,135.7402801,,,
,古川（淀川合流）,,,,,右岸,0.5,34.90298399,135.7408332,,,
,古川（淀川合流）,,,,,左岸,0.6,34.90189649,135.7410371,,,
,古川（淀川合流）,,,,,右岸,0.6,34.90233305,135.7415902,,,
,古川（淀川合流）,,,,,左岸,0.7,34.90124651,135.7417983,,,
,古川（淀川合流）,,,,,右岸,0.7,34.9016855,135.7423485,,,
,古川（淀川合流）,,,,,左岸,0.8,34.90059097,135.7425874,,,
,古川（淀川合流）,,,,,右岸,0.8,34.90106053,135.7430991,,,
,古川（淀川合流）,,,,,左岸,0.9,34.90011466,135.7433074,,,
,古川（淀川合流）,,,,,右岸,0.9,34.90063395,135.7437425,,,
,古川（淀川合流）,,,,,左岸,1,34.89950386,135.744408,,,
,古川（淀川合流）,,,,,右岸,1,34.90003608,135.7448195,,,
,古川（淀川合流）,,,,,左岸,1.1,34.89901951,135.7453309,,,
,古川（淀川合流）,,,,,右岸,1.1,34.89955173,135.7457424,,,
,古川（淀川合流）,,,,,左岸,1.2,34.89853575,135.7462563,,,
,古川（淀川合流）,,,,,右岸,1.2,34.8990696,135.7466647,,,
,古川（淀川合流）,,,,,左岸,1.3,34.89810441,135.7473058,,,
,古川（淀川合流）,,,,,右岸,1.3,34.89869757,135.7475672,,,
,古川（淀川合流）,,,,,左岸,1.4,34.89784855,135.7483934,,,
,古川（淀川合流）,,,,,右岸,1.4,34.8984601,135.7485822,,,
,古川（淀川合流）,,,,,左岸,1.5,34.89766494,135.7495004,,,
,古川（淀川合流）,,,,,右岸,1.5,34.89828848,135.7496182,,,
,古川（淀川合流）,,,,,左岸,1.6,34.89743206,135.7505786,,,
,古川（淀川合流）,,,,,右岸,1.6,34.89825788,135.7507048,,,
,古川（淀川合流）,,,,,左岸,1.7,34.89744737,135.7513529,,,
,古川（淀川合流）,,,,,右岸,1.7,34.89816788,135.751463,,,
,古川（淀川合流）,,,,,左岸,1.8,34.89731825,135.7527728,,,
,古川（淀川合流）,,,,,右岸,1.8,34.89794552,135.7528564,,,
,古川（淀川合流）,,,,,左岸,1.9,34.89704454,135.7541541,,,
,古川（淀川合流）,,,,,右岸,1.9,34.89782534,135.7542798,,,
,古川（淀川合流）,,,,,左岸,2,34.89696456,135.7549138,,,
,古川（淀川合流）,,,,,右岸,2,34.89777109,135.7550437,,,
,古川（淀川合流）,,,,,左岸,2.1,34.89685038,135.756135,,,
,古川（淀川合流）,,,,,右岸,2.1,34.89744677,135.7563852,,,
,古川（淀川合流）,,,,,左岸,2.2,34.89656716,135.7567437,,,
,古川（淀川合流）,,,,,右岸,2.2,34.89702035,135.7572767,,,
,古川（淀川合流）,,,,,左岸,2.3,34.89592625,135.7574866,,,
,古川（淀川合流）,,,,,右岸,2.3,34.89635793,135.7580453,,,
,古川（淀川合流）,,,,,左岸,2.4,34.89526871,135.7582351,,,
,古川（淀川合流）,,,,,右岸,2.4,34.89570039,135.7587937,,,
,古川（淀川合流）,,,,,左岸,2.5,34.89474262,135.7588347,,,
,古川（淀川合流）,,,,,右岸,2.5,34.895175,135.7593925,,,
,古川（淀川合流）,,,,,左岸,2.6,34.89399524,135.7595325,,,
,古川（淀川合流）,,,,,右岸,2.6,34.89420585,135.7602544,,,
,古川（淀川合流）,,,,,左岸,2.7,34.89322576,135.7596483,,,
,古川（淀川合流）,,,,,右岸,2.7,34.89320483,135.7604138,,,
,古川（淀川合流）,,,,,左岸,2.8,34.89232477,135.7596121,,,
,古川（淀川合流）,,,,,右岸,2.8,34.89230384,135.7603775,,,
,古川（淀川合流）,,,,,左岸,2.9,34.89142378,135.7595758,,,
,古川（淀川合流）,,,,,右岸,2.9,34.89140285,135.7603412,,,
,古川（淀川合流）,,,,,左岸,3,34.89052279,135.7595395,,,
,古川（淀川合流）,,,,,右岸,3,34.89050186,135.7603049,,,
,古川（淀川合流）,,,,,左岸,3.1,34.88961763,135.759513,,,
,古川（淀川合流）,,,,,右岸,3.1,34.88960461,135.7602787,,,
,古川（淀川合流）,,,,,左岸,3.2,34.88898672,135.7594972,,,
,古川（淀川合流）,,,,,右岸,3.2,34.88897371,135.7602629,,,
,古川（淀川合流）,,,,,左岸,3.3,34.88781504,135.7594679,,,
,古川（淀川合流）,,,,,右岸,3.3,34.88780202,135.7602336,,,
,古川（淀川合流）,,,,,左岸,3.4,34.88691375,135.7594453,,,
,古川（淀川合流）,,,,,右岸,3.4,34.88690073,135.760211,,,
,古川（淀川合流）,,,,,左岸,3.5,34.88601245,135.7594228,,,
,古川（淀川合流）,,,,,右岸,3.5,34.88599944,135.7601884,,,
,古川（淀川合流）,,,,,左岸,3.6,34.88515045,135.7594104,,,
,古川（淀川合流）,,,,,右岸,3.6,34.88505899,135.7601681,,,
,古川（淀川合流）,,,,,左岸,3.7,34.88429472,135.759194,,,
,古川（淀川合流）,,,,,右岸,3.7,34.8841508,135.7599396,,,
,古川（淀川合流）,,,,,左岸,3.8,34.88341699,135.7589445,,,
,古川（淀川合流）,,,,,右岸,3.8,34.88327307,135.7596901,,,
,古川（淀川合流）,,,,,左岸,3.9,34.88253926,135.758695,,,
,古川（淀川合流）,,,,,右岸,3.9,34.88239534,135.7594406,,,
,古川（淀川合流）,,,,,左岸,4,34.88166153,135.7584455,,,
,古川（淀川合流）,,,,,右岸,4,34.88151762,135.7591911,,,
,古川（淀川合流）,,,,,左岸,4.1,34.8807838,135.7581961,,,
,古川（淀川合流）,,,,,右岸,4.1,34.88063989,135.7589416,,,
,古川（淀川合流）,,,,,左岸,4.2,34.87957516,135.7579484,,,
,古川（淀川合流）,,,,,右岸,4.2,34.87954436,135.7587132,,,
,古川（淀川合流）,,,,,左岸,4.3,34.87884326,135.7581018,,,
,古川（淀川合流）,,,,,右岸,4.3,34.87904099,135.758829,,,
,古川（淀川合流）,,,,,左岸,4.4,34.87798269,135.7584547,,,
,古川（淀川合流）,,,,,右岸,4.4,34.87819357,135.7591764,,,
,古川（淀川合流）,,,,,左岸,4.5,34.87713899,135.7587887,,,
,古川（淀川合流）,,,,,右岸,4.5,34.87732364,135.7595209,,,
,古川（淀川合流）,,,,,左岸,4.6,34.87629202,135.7589896,,,
,古川（淀川合流）,,,,,右岸,4.6,34.87640211,135.7597436,,,
,古川（淀川合流）,,,,,左岸,4.7,34.87532712,135.7592676,,,
,古川（淀川合流）,,,,,右岸,4.7,34.87561894,135.7599465,,,
,古川（淀川合流）,,,,,左岸,4.8,34.87455448,135.7594633,,,
,古川（淀川合流）,,,,,右岸,4.8,34.87464522,135.7602211,,,
,古川（淀川合流）,,,,,左岸,4.9,34.87367222,135.7595359,,,
,古川（淀川合流）,,,,,右岸,4.9,34.87373085,135.7602983,,,
,古川（淀川合流）,,,,,左岸,5,34.87279115,135.7595728,,,
,古川（淀川合流）,,,,,右岸,5,34.87281031,135.7603382,,,
,古川（淀川合流）,,,,,左岸,5.1,34.87189008,135.7596061,,,
,古川（淀川合流）,,,,,右岸,5.1,34.87190924,135.7603714,,,
,古川（淀川合流）,,,,,左岸,5.2,34.8709896,135.759639,,,
,古川（淀川合流）,,,,,右岸,5.2,34.87100755,135.7604044,,,
,古川（淀川合流）,,,,,左岸,5.3,34.87008848,135.7596701,,,
,古川（淀川合流）,,,,,右岸,5.3,34.87010643,135.7604355,,,
,古川（淀川合流）,,,,,左岸,5.4,34.86918728,135.7597013,,,
,古川（淀川合流）,,,,,右岸,5.4,34.86920539,135.7604666,,,
,古川（淀川合流）,,,,,左岸,5.5,34.86828957,135.7597643,,,
,古川（淀川合流）,,,,,右岸,5.5,34.86830479,135.7605297,,,
,古川（淀川合流）,,,,,左岸,5.6,34.86738409,135.7598066,,,
,古川（淀川合流）,,,,,右岸,5.6,34.86740863,135.7605716,,,
,古川（淀川合流）,,,,,左岸,5.7,34.86648329,135.7598491,,,
,古川（淀川合流）,,,,,右岸,5.7,34.86650782,135.7606142,,,
,古川（淀川合流）,,,,,左岸,5.8,34.86558592,135.7598832,,,
,古川（淀川合流）,,,,,右岸,5.8,34.86560312,135.7606486,,,
,古川（淀川合流）,,,,,左岸,5.9,34.86469844,135.7598971,,,
,古川（淀川合流）,,,,,右岸,5.9,34.86468816,135.7606626,,,
,古川（淀川合流）,,,,,左岸,6,34.86403011,135.7597737,,,
,古川（淀川合流）,,,,,右岸,6,34.86362155,135.7603571,,,
,古川（淀川合流）,,,,,左岸,6.1,34.86332984,135.759072,,,
,古川（淀川合流）,,,,,右岸,6.1,34.86293167,135.759666,,,
,古川（淀川合流）,,,,,左岸,6.2,34.86233843,135.7585857,,,
,古川（淀川合流）,,,,,右岸,6.2,34.86227715,135.7593477,,,
,古川（淀川合流）,,,,,左岸,6.3,34.86141555,135.758526,,,
,古川（淀川合流）,,,,,右岸,6.3,34.86140078,135.7592914,,,
,古川（淀川合流）,,,,,左岸,6.4,34.8605143,135.7585004,,,
,古川（淀川合流）,,,,,右岸,6.4,34.86049954,135.7592658,,,
,古川（淀川合流）,,,,,左岸,6.5,34.85961306,135.7584748,,,
,古川（淀川合流）,,,,,右岸,6.5,34.8595983,135.7592402,,,
,古川（淀川合流）,,,,,左岸,6.6,34.85871182,135.7584492,,,
,古川（淀川合流）,,,,,右岸,6.6,34.85869706,135.7592146,,,
,古川（淀川合流）,,,,,左岸,6.7,34.85781058,135.7584237,,,
,古川（淀川合流）,,,,,右岸,6.7,34.85779581,135.759189,,,
,古川（淀川合流）,,,,,左岸,6.8,34.85690933,135.7583981,,,
,古川（淀川合流）,,,,,右岸,6.8,34.85689457,135.7591634,,,
,古川（淀川合流）,,,,,左岸,6.9,34.85510685,135.7583469,,,
,古川（淀川合流）,,,,,右岸,6.9,34.85509209,135.7591122,,,
,古川（淀川合流）,,,,,左岸,7,34.85410306,135.7584626,,,
,古川（淀川合流）,,,,,右岸,7,34.85431769,135.7591824,,,
,古川（淀川合流）,,,,,左岸,7.1,34.85348303,135.7597,,,
,古川（淀川合流）,,,,,右岸,7.1,34.85411307,135.7597431,,,
,古川（淀川合流）,,,,,左岸,7.2,34.85347517,135.7608142,,,
,古川（淀川合流）,,,,,右岸,7.2,34.85410621,135.7608157,,,
,古川（淀川合流）,,,,,左岸,7.3,34.85345225,135.7615192,,,
,古川（淀川合流）,,,,,右岸,7.3,34.85391957,135.7620336,,,
,古川（淀川合流）,,,,,左岸,7.4,34.85276461,135.7623482,,,
,古川（淀川合流）,,,,,右岸,7.4,34.8532016,135.7629004,,,
,古川（淀川合流）,,,,,左岸,7.5,34.85237529,135.7636133,,,
,古川（淀川合流）,,,,,右岸,7.5,34.85300528,135.763569,,,
,古川（淀川合流）,,,,,左岸,7.6,34.85242742,135.764705,,,
,古川（淀川合流）,,,,,右岸,7.6,34.8530574,135.7646608,,,
,古川（淀川合流）,,,,,左岸,7.7,34.85244952,135.7657803,,,
,古川（淀川合流）,,,,,右岸,7.7,34.85308052,135.7657718,,,
,古川（淀川合流）,,,,,左岸,7.8,34.85245943,135.7668705,,,
,古川（淀川合流）,,,,,右岸,7.8,34.85309048,135.7668687,,,
,古川（淀川合流）,,,,,左岸,7.9,34.85230032,135.7668338,,,
,古川（淀川合流）,,,,,右岸,7.9,34.85230179,135.7675993,,,
,古川（淀川合流）,,,,,左岸,8,34.85143706,135.7681733,,,
,古川（淀川合流）,,,,,右岸,8,34.85206809,135.7681684,,,
,古川（淀川合流）,,,,,左岸,8.1,34.85144285,135.7692668,,,
,古川（淀川合流）,,,,,右岸,8.1,34.85207388,135.7692619,,,
,古川（淀川合流）,,,,,左岸,8.2,34.85144364,135.770357,,,
,古川（淀川合流）,,,,,右岸,8.2,34.85207468,135.7703589,,,
,古川（淀川合流）,,,,,左岸,8.3,34.85144148,135.7714506,,,
,古川（淀川合流）,,,,,右岸,8.3,34.85207252,135.7714524,,,
