水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,名木川,,,,,左岸,0,34.87822708,135.7589404,,,
,名木川,,,,,右岸,0,34.87854111,135.7591554,,,
,名木川,,,,,左岸,0.1,34.87782829,135.759947,,,
,名木川,,,,,右岸,0.1,34.87815975,135.7601193,,,
,名木川,,,,,左岸,0.2,34.87747305,135.7609564,,,
,名木川,,,,,右岸,0.2,34.87780687,135.7611218,,,
,名木川,,,,,左岸,0.3,34.87731601,135.7617975,,,
,名木川,,,,,右岸,0.3,34.87741737,135.7622174,,,
,名木川,,,,,左岸,0.4,34.87648633,135.7617273,,,
,名木川,,,,,右岸,0.4,34.87645001,135.7621626,,,
,名木川,,,,,左岸,0.5,34.87558373,135.7616328,,,
,名木川,,,,,右岸,0.5,34.87555645,135.7620691,,,
,名木川,,,,,左岸,0.7,34.87448824,135.7631354,,,
,名木川,,,,,右岸,0.7,34.87484723,135.7631766,,,
,名木川,,,,,左岸,0.8,34.87440874,135.7642274,,,
,名木川,,,,,右岸,0.8,34.87476809,135.7642638,,,
,名木川,,,,,左岸,0.9,34.87433433,135.7653187,,,
,名木川,,,,,右岸,0.9,34.87469383,135.7653528,,,
,名木川,,,,,左岸,1,34.87426728,135.766411,,,
,名木川,,,,,右岸,1,34.87462696,135.7664422,,,
,名木川,,,,,左岸,1.1,34.87420509,135.7675028,,,
,名木川,,,,,右岸,1.1,34.87456483,135.7675329,,,
,名木川,,,,,左岸,1.2,34.87413427,135.7685894,,,
,名木川,,,,,右岸,1.2,34.87449351,135.7686272,,,
,名木川,,,,,左岸,1.3,34.87406554,135.7696839,,,
,名木川,,,,,右岸,1.3,34.87442528,135.769714,,,
,名木川,,,,,左岸,1.4,34.8739879,135.7707678,,,
,名木川,,,,,右岸,1.4,34.87434685,135.7708094,,,
,名木川,,,,,左岸,1.5,34.87391393,135.7718629,,,
,名木川,,,,,右岸,1.5,34.87427358,135.7718947,,,
,名木川,,,,,左岸,1.6,34.87384594,135.7729527,,,
,名木川,,,,,右岸,1.6,34.87420547,135.7729864,,,
,名木川,,,,,左岸,1.7,34.87376474,135.7740387,,,
,名木川,,,,,右岸,1.7,34.8741238,135.7740791,,,
,名木川,,,,,左岸,1.8,34.87369601,135.7751319,,,
,名木川,,,,,右岸,1.8,34.87405543,135.7751673,,,
,名木川,,,,,左岸,0.6,34.87454527,135.7623758,,,
,名木川,,,,,右岸,0.6,34.87490469,135.7624111,,,
