水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,吾妻川,,,,,左岸,0,35.00926301,135.8716289,,,
,吾妻川,,,,,右岸,0,35.0090316,135.872099,,,
,吾妻川,,,,,左岸,0.1,35.00848485,135.8710779,,,
,吾妻川,,,,,右岸,0.1,35.00825235,135.8715472,,,
,吾妻川,,,,,左岸,0.2,35.00761581,135.8704752,,,
,吾妻川,,,,,右岸,0.2,35.00739911,135.8709556,,,
,吾妻川,,,,,左岸,0.3,35.00687604,135.870021,,,
,吾妻川,,,,,右岸,0.3,35.00669099,135.8705205,,,
,吾妻川,,,,,左岸,0.4,35.00629668,135.8694106,,,
,吾妻川,,,,,右岸,0.4,35.00611943,135.8699143,,,
,吾妻川,,,,,左岸,0.5,35.00546277,135.8700231,,,
,吾妻川,,,,,右岸,0.5,35.00588744,135.8702067,,,
,吾妻川,,,,,左岸,0.6,35.00502205,135.8700768,,,
,吾妻川,,,,,右岸,0.6,35.00499703,135.8706238,,,
,吾妻川,,,,,左岸,0.7,35.00417381,135.8703552,,,
,吾妻川,,,,,右岸,0.7,35.00381564,135.8706877,,,
,吾妻川,,,,,左岸,0.8,35.00375178,135.8697232,,,
,吾妻川,,,,,右岸,0.8,35.00330672,135.8696365,,,
,吾妻川,,,,,左岸,0.9,35.00380228,135.8687998,,,
,吾妻川,,,,,右岸,0.9,35.00335172,135.8688153,,,
,吾妻川,,,,,左岸,1,35.00380373,135.8674263,,,
,吾妻川,,,,,右岸,1,35.00336904,135.8675711,,,
,吾妻川,,,,,左岸,1.1,35.00339736,135.8662199,,,
,吾妻川,,,,,右岸,1.1,35.00335472,135.8667653,,,
,吾妻川,,,,,左岸,1.2,35.00260173,135.8658839,,,
,吾妻川,,,,,右岸,1.2,35.00215829,135.865982,,,
,吾妻川,,,,,左岸,1.3,35.00264408,135.865191,,,
,吾妻川,,,,,右岸,1.3,35.00219493,135.8651451,,,
,吾妻川,,,,,左岸,1.4,35.00261986,135.8640837,,,
,吾妻川,,,,,右岸,1.4,35.00216947,135.8640622,,,
,吾妻川,,,,,左岸,1.5,35.00265534,135.8629801,,,
,吾妻川,,,,,右岸,1.5,35.00220461,135.8629763,,,
,吾妻川,,,,,左岸,1.6,35.00266174,135.8618971,,,
,吾妻川,,,,,右岸,1.6,35.00221163,135.8618682,,,
