水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,和佐川,,,,,左岸,0,35.32712745,136.3195425,,,
,和佐川,,,,,右岸,0,35.32734288,136.3200256,,,
,和佐川,,,,,左岸,0.1,35.32633006,136.3201583,,,
,和佐川,,,,,右岸,0.1,35.32661973,136.3205797,,,
,和佐川,,,,,左岸,0.2,35.32564115,136.3207629,,,
,和佐川,,,,,右岸,0.2,35.32584692,136.3212522,,,
,和佐川,,,,,左岸,0.3,35.32484971,136.3210147,,,
,和佐川,,,,,右岸,0.3,35.32490092,136.3215611,,,
,和佐川,,,,,左岸,0.4,35.32394775,136.3211593,,,
,和佐川,,,,,右岸,0.4,35.32401558,136.321703,,,
,和佐川,,,,,左岸,0.5,35.32305842,136.3217643,,,
,和佐川,,,,,右岸,0.5,35.32336304,136.3221696,,,
,和佐川,,,,,左岸,0.6,35.32248336,136.3227665,,,
,和佐川,,,,,右岸,0.6,35.32290879,136.322948,,,
,和佐川,,,,,左岸,0.7,35.32222146,136.3237593,,,
,和佐川,,,,,右岸,0.7,35.32260874,136.3240406,,,
,和佐川,,,,,左岸,0.8,35.32166383,136.3242275,,,
,和佐川,,,,,右岸,0.8,35.32173358,136.3247708,,,
,和佐川,,,,,左岸,0.9,35.32079886,136.3242263,,,
,和佐川,,,,,右岸,0.9,35.32079739,136.3247762,,,
,和佐川,,,,,左岸,1,35.3198885,136.3242323,,,
,和佐川,,,,,右岸,1,35.31990503,136.3247819,,,
,和佐川,,,,,左岸,1.1,35.31898205,136.3243003,,,
,和佐川,,,,,右岸,1.1,35.31901224,136.324849,,,
,和佐川,,,,,左岸,1.2,35.31839123,136.3242426,,,
,和佐川,,,,,右岸,1.2,35.31834546,136.3247897,,,
,和佐川,,,,,左岸,1.3,35.31729937,136.3238885,,,
,和佐川,,,,,右岸,1.3,35.31717485,136.324417,,,
,和佐川,,,,,左岸,1.4,35.31644259,136.3235713,,,
,和佐川,,,,,右岸,1.4,35.31630665,136.3240955,,,
,和佐川,,,,,左岸,1.5,35.31558315,136.3232396,,,
,和佐川,,,,,右岸,1.5,35.31544721,136.3237638,,,
,和佐川,,,,,左岸,1.6,35.31465039,136.3230516,,,
,和佐川,,,,,右岸,1.6,35.31460408,136.3235985,,,
,和佐川,,,,,左岸,1.7,35.3140248,136.3226638,,,
,和佐川,,,,,右岸,1.7,35.31369905,136.3230439,,,
,和佐川,,,,,左岸,1.8,35.31340039,136.3218696,,,
,和佐川,,,,,右岸,1.8,35.31307549,136.3222508,,,
,和佐川,,,,,左岸,1.9,35.31276204,136.321085,,,
,和佐川,,,,,右岸,1.9,35.31244382,136.3214744,,,
,和佐川,,,,,左岸,2,35.3120891,136.3203184,,,
,和佐川,,,,,右岸,2,35.31180051,136.3207408,,,
,和佐川,,,,,左岸,2.1,35.31139193,136.3196153,,,
,和佐川,,,,,右岸,2.1,35.3111082,136.3200425,,,
,和佐川,,,,,左岸,2.2,35.31055891,136.3189643,,,
,和佐川,,,,,右岸,2.2,35.3104531,136.3194988,,,
,和佐川,,,,,左岸,2.3,35.30972097,136.3187301,,,
,和佐川,,,,,右岸,2.3,35.30953825,136.3192328,,,
,和佐川,,,,,左岸,2.4,35.30893305,136.3182331,,,
,和佐川,,,,,右岸,2.4,35.30872461,136.3187206,,,
,和佐川,,,,,左岸,2.5,35.30808746,136.3177369,,,
,和佐川,,,,,右岸,2.5,35.30795088,136.3182608,,,
,和佐川,,,,,左岸,2.6,35.30715754,136.3176981,,,
,和佐川,,,,,右岸,2.6,35.307087,136.3182412,,,
,和佐川,,,,,左岸,2.7,35.30623257,136.3177729,,,
,和佐川,,,,,右岸,2.7,35.30624238,136.3183225,,,
,和佐川,,,,,左岸,2.8,35.30540318,136.3175005,,,
,和佐川,,,,,右岸,2.8,35.30535044,136.3180465,,,
