水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,和田川,,,,,左岸,0,34.93484792,136.2495244,,,
,和田川,,,,,右岸,0,34.93515029,136.2499303,,,
,和田川,,,,,左岸,0.1,34.93435548,136.249981,,,
,和田川,,,,,右岸,0.1,34.93420876,136.2504985,,,
,和田川,,,,,左岸,0.2,34.93356915,136.249475,,,
,和田川,,,,,右岸,0.2,34.93340764,136.249986,,,
,和田川,,,,,左岸,0.3,34.93258914,136.2493666,,,
,和田川,,,,,右岸,0.3,34.93283823,136.2498227,,,
,和田川,,,,,左岸,0.4,34.93198497,136.2502422,,,
,和田川,,,,,右岸,0.4,34.9323616,136.2505429,,,
,和田川,,,,,左岸,0.5,34.93134505,136.250583,,,
,和田川,,,,,右岸,0.5,34.93150771,136.2510934,,,
,和田川,,,,,左岸,0.6,34.93124503,136.2518294,,,
,和田川,,,,,右岸,0.6,34.93161206,136.2515117,,,
,和田川,,,,,左岸,0.7,34.93187619,136.2526543,,,
,和田川,,,,,右岸,0.7,34.93220922,136.2522855,,,
,和田川,,,,,左岸,0.8,34.93156974,136.2524899,,,
,和田川,,,,,右岸,0.8,34.93150357,136.2530313,,,
,和田川,,,,,左岸,0.9,34.93059546,136.2529715,,,
,和田川,,,,,右岸,0.9,34.93085109,136.2534223,,,
,和田川,,,,,左岸,1,34.93048629,136.2539514,,,
,和田川,,,,,右岸,1,34.93092678,136.2540674,,,
,和田川,,,,,左岸,1.1,34.93020564,136.2544185,,,
,和田川,,,,,右岸,1.1,34.93002855,136.2549218,,,
,和田川,,,,,左岸,1.2,34.92956472,136.253712,,,
,和田川,,,,,右岸,1.2,34.929372,136.2542068,,,
,和田川,,,,,左岸,1.3,34.92903578,136.2530566,,,
,和田川,,,,,右岸,1.3,34.9286831,136.2533974,,,
,和田川,,,,,左岸,1.4,34.92776995,136.2531842,,,
,和田川,,,,,右岸,1.4,34.92794636,136.2536878,,,
,和田川,,,,,左岸,1.5,34.92704743,136.2537455,,,
,和田川,,,,,右岸,1.5,34.92744651,136.2539999,,,
,和田川,,,,,左岸,1.6,34.92665184,136.2539411,,,
,和田川,,,,,右岸,1.6,34.92676282,136.2544715,,,
,和田川,,,,,左岸,1.7,34.92524897,136.2542185,,,
,和田川,,,,,右岸,1.7,34.92531939,136.2547591,,,
,和田川,,,,,左岸,1.8,34.92467351,136.254922,,,
,和田川,,,,,右岸,1.8,34.9251107,136.2550552,,,
,和田川,,,,,左岸,1.9,34.92445457,136.2559663,,,
,和田川,,,,,右岸,1.9,34.92488414,136.2561321,,,
,和田川,,,,,左岸,2,34.9240926,136.2566569,,,
,和田川,,,,,右岸,2,34.92428566,136.2571514,,,
,和田川,,,,,左岸,2.1,34.92363527,136.2573829,,,
,和田川,,,,,右岸,2.1,34.92370959,136.2579227,,,
,和田川,,,,,左岸,2.2,34.92301208,136.2579692,,,
,和田川,,,,,右岸,2.2,34.9231316,136.2584969,,,
,和田川,,,,,左岸,2.3,34.92215568,136.2582348,,,
,和田川,,,,,右岸,2.3,34.92224294,136.2587717,,,
,和田川,,,,,左岸,2.4,34.92178507,136.2588859,,,
,和田川,,,,,右岸,2.4,34.92171407,136.2594263,,,
,和田川,,,,,左岸,2.5,34.92096051,136.2597297,,,
,和田川,,,,,右岸,2.5,34.92137547,136.2599434,,,
,和田川,,,,,左岸,2.6,34.92064356,136.2592871,,,
,和田川,,,,,右岸,2.6,34.92039364,136.2597425,,,
,和田川,,,,,左岸,2.7,34.9196997,136.2596577,,,
,和田川,,,,,右岸,2.7,34.92014826,136.2596039,,,
,和田川,,,,,左岸,2.8,34.91941665,136.2604018,,,
,和田川,,,,,右岸,2.8,34.91980669,136.2606761,,,
,和田川,,,,,左岸,2.9,34.91906356,136.2611401,,,
,和田川,,,,,右岸,2.9,34.91917174,136.2616713,,,
