水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,善峰川,,,,,左岸,0,34.95154603,135.6877952,,,
,善峰川,,,,,右岸,0,34.95087639,135.6881204,,,
,善峰川,,,,,左岸,0.1,34.95086871,135.6868091,,,
,善峰川,,,,,右岸,0.1,34.95040544,135.6874803,,,
,善峰川,,,,,左岸,0.2,34.95019048,135.6861098,,,
,善峰川,,,,,右岸,0.2,34.94970943,135.6867624,,,
,善峰川,,,,,左岸,0.3,34.94967549,135.6854651,,,
,善峰川,,,,,右岸,0.3,34.94901219,135.685809,,,
,善峰川,,,,,左岸,0.4,34.9494887,135.6846309,,,
,善峰川,,,,,右岸,0.4,34.94877102,135.6845447,,,
,善峰川,,,,,左岸,0.5,34.94967045,135.6837162,,,
,善峰川,,,,,右岸,0.5,34.9490147,135.6833516,,,
,善峰川,,,,,左岸,0.6,34.94996834,135.6825676,,,
,善峰川,,,,,右岸,0.6,34.94925757,135.6824193,,,
,善峰川,,,,,左岸,0.7,34.94999827,135.6813753,,,
,善峰川,,,,,右岸,0.7,34.94927868,135.6814333,,,
,善峰川,,,,,左岸,0.8,34.94990762,135.6802364,,,
,善峰川,,,,,右岸,0.8,34.94919849,135.6803959,,,
,善峰川,,,,,左岸,0.9,34.94955946,135.679084,,,
,善峰川,,,,,右岸,0.9,34.94892559,135.6795017,,,
,善峰川,,,,,左岸,1,34.94884246,135.6781537,,,
,善峰川,,,,,右岸,1,34.94841592,135.67886,,,
,善峰川,,,,,左岸,1.1,34.94830608,135.6775378,,,
,善峰川,,,,,右岸,1.1,34.94768108,135.6779748,,,
,善峰川,,,,,左岸,1.2,34.94797078,135.6765326,,,
,善峰川,,,,,右岸,1.2,34.9473427,135.676963,,,
,善峰川,,,,,左岸,1.3,34.94792612,135.6758987,,,
,善峰川,,,,,右岸,1.3,34.94726286,135.6755548,,,
,善峰川,,,,,左岸,1.4,34.94833382,135.6750049,,,
,善峰川,,,,,右岸,1.4,34.9477246,135.6745361,,,
,善峰川,,,,,左岸,1.5,34.9488555,135.6737448,,,
,善峰川,,,,,右岸,1.5,34.94817448,135.6734566,,,
,善峰川,,,,,左岸,1.6,34.94906281,135.6728958,,,
,善峰川,,,,,右岸,1.6,34.94837622,135.6726278,,,
,善峰川,,,,,左岸,1.7,34.94928115,135.6719717,,,
,善峰川,,,,,右岸,1.7,34.94868504,135.6714788,,,
,善峰川,,,,,左岸,1.8,34.94992072,135.671382,,,
,善峰川,,,,,右岸,1.8,34.94944959,135.6707188,,,
,善峰川,,,,,左岸,1.9,34.95030987,135.6701196,,,
,善峰川,,,,,右岸,1.9,34.94959021,135.6700629,,,
,善峰川,,,,,左岸,2,34.95054444,135.6690997,,,
,善峰川,,,,,右岸,2,34.94982997,135.6689806,,,
,善峰川,,,,,左岸,2.1,34.95026968,135.6677296,,,
,善峰川,,,,,右岸,2.1,34.94975066,135.6683377,,,
,善峰川,,,,,左岸,2.2,34.95009106,135.6670172,,,
,善峰川,,,,,右岸,2.2,34.94936988,135.6670201,,,
,善峰川,,,,,左岸,2.3,34.95043949,135.6662709,,,
,善峰川,,,,,右岸,2.3,34.94981462,135.6658337,,,
,善峰川,,,,,左岸,2.4,34.9504845,135.6647665,,,
,善峰川,,,,,右岸,2.4,34.94989109,135.6652643,,,
,善峰川,,,,,左岸,2.5,34.95038147,135.6641861,,,
,善峰川,,,,,右岸,2.5,34.94970827,135.663872,,,
,善峰川,,,,,左岸,2.6,34.95086037,135.6637719,,,
,善峰川,,,,,右岸,2.6,34.95057887,135.6629654,,,
,善峰川,,,,,左岸,2.7,34.95154906,135.6625943,,,
,善峰川,,,,,右岸,2.7,34.95085305,135.6623649,,,
,善峰川,,,,,左岸,2.8,34.95182301,135.6626001,,,
,善峰川,,,,,右岸,2.8,34.95188587,135.6617276,,,
,善峰川,,,,,左岸,2.9,34.95254708,135.6613848,,,
,善峰川,,,,,右岸,2.9,34.95182591,135.6613878,,,
,善峰川,,,,,左岸,3,34.95284363,135.6603099,,,
,善峰川,,,,,右岸,3,34.95213627,135.6604806,,,
,善峰川,,,,,左岸,3.1,34.95204024,135.6595353,,,
,善峰川,,,,,右岸,3.1,34.95157355,135.6602031,,,
,善峰川,,,,,左岸,3.2,34.95185329,135.6590013,,,
,善峰川,,,,,右岸,3.2,34.95115375,135.6587884,,,
,善峰川,,,,,左岸,3.3,34.95224795,135.6580441,,,
,善峰川,,,,,右岸,3.3,34.95155154,135.6578165,,,
,善峰川,,,,,左岸,3.4,34.9512687,135.6569569,,,
,善峰川,,,,,右岸,3.4,34.95133105,135.6578295,,,
,善峰川,,,,,左岸,3.5,34.95112191,135.6569494,,,
,善峰川,,,,,右岸,3.5,34.95099953,135.6565474,,,
