水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,四郷川,,,,,左岸,0,34.47820195,135.9648109,,,
,四郷川,,,,,右岸,0,34.47830848,135.9653399,,,
,四郷川,,,,,左岸,0.1,34.47751323,135.9648519,,,
,四郷川,,,,,右岸,0.1,34.4772677,135.9653084,,,
,四郷川,,,,,左岸,0.2,34.47724499,135.964045,,,
,四郷川,,,,,右岸,0.2,34.47680943,135.9641852,,,
,四郷川,,,,,左岸,0.3,34.47707714,135.9630014,,,
,四郷川,,,,,右岸,0.3,34.47663436,135.9631034,,,
,四郷川,,,,,左岸,0.4,34.47613364,135.9630637,,,
,四郷川,,,,,右岸,0.4,34.47643591,135.9634675,,,
,四郷川,,,,,左岸,0.5,34.47546611,135.9636616,,,
,四郷川,,,,,右岸,0.5,34.47565295,135.964157,,,
,四郷川,,,,,左岸,0.6,34.47483991,135.9633759,,,
,四郷川,,,,,右岸,0.6,34.47466668,135.9638784,,,
,四郷川,,,,,左岸,0.7,34.47373605,135.9637078,,,
,四郷川,,,,,右岸,0.7,34.4741509,135.9639208,,,
,四郷川,,,,,左岸,0.8,34.47350427,135.9646164,,,
,四郷川,,,,,右岸,0.8,34.47381628,135.9650092,,,
,四郷川,,,,,左岸,0.9,34.47318048,135.9657964,,,
,四郷川,,,,,右岸,0.9,34.47362568,135.9658818,,,
,四郷川,,,,,左岸,1,34.47271221,135.9661718,,,
,四郷川,,,,,右岸,1,34.47276062,135.966713,,,
,四郷川,,,,,左岸,1.1,34.47178384,135.9666519,,,
,四郷川,,,,,右岸,1.1,34.47208854,135.967053,,,
,四郷川,,,,,左岸,1.2,34.471091,135.9671342,,,
,四郷川,,,,,右岸,1.2,34.47123733,135.967649,,,
,四郷川,,,,,左岸,1.3,34.47024176,135.9674234,,,
,四郷川,,,,,右岸,1.3,34.47035215,135.9679511,,,
,四郷川,,,,,左岸,1.4,34.46940084,135.9676412,,,
,四郷川,,,,,右岸,1.4,34.46943147,135.9681843,,,
