水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,国分川,,,,,左岸,0,34.93825306,135.9091093,,,
,国分川,,,,,右岸,0,34.93783778,135.9088965,,,
,国分川,,,,,左岸,0.1,34.9385204,135.9081955,,,
,国分川,,,,,右岸,0.1,34.93811097,135.9079666,,,
,国分川,,,,,左岸,0.2,34.93865919,135.9073985,,,
,国分川,,,,,右岸,0.2,34.93848389,135.9068943,,,
,国分川,,,,,左岸,0.3,34.93955844,135.9068007,,,
,国分川,,,,,右岸,0.3,34.93914221,135.9065907,,,
,国分川,,,,,左岸,0.4,34.93933594,135.9055227,,,
,国分川,,,,,右岸,0.4,34.93909944,135.9059887,,,
,国分川,,,,,左岸,0.5,34.93945117,135.905062,,,
,国分川,,,,,右岸,0.5,34.93909893,135.9047205,,,
,国分川,,,,,左岸,0.6,34.93994589,135.9039977,,,
,国分川,,,,,右岸,0.6,34.93949514,135.9039982,,,
,国分川,,,,,左岸,0.7,34.9395741,135.9028811,,,
,国分川,,,,,右岸,0.7,34.93916415,135.9031086,,,
,国分川,,,,,左岸,0.8,34.93981976,135.9021428,,,
,国分川,,,,,右岸,0.8,34.93937854,135.9020309,,,
,国分川,,,,,左岸,0.9,34.94001076,135.9010105,,,
,国分川,,,,,右岸,0.9,34.93956024,135.9010276,,,
,国分川,,,,,左岸,1,34.93945862,135.9001482,,,
,国分川,,,,,右岸,1,34.93901141,135.9002166,,,
,国分川,,,,,左岸,1.1,34.93951254,135.8992589,,,
,国分川,,,,,右岸,1.1,34.93915083,135.8989323,,,
,国分川,,,,,左岸,1.2,34.93987139,135.8982968,,,
,国分川,,,,,右岸,1.2,34.93943787,135.8981469,,,
,国分川,,,,,左岸,1.3,34.94030405,135.8977262,,,
,国分川,,,,,右岸,1.3,34.94011302,135.8972304,,,
,国分川,,,,,左岸,1.4,34.94068806,135.8965555,,,
,国分川,,,,,右岸,1.4,34.94024592,135.896662,,,
,国分川,,,,,左岸,1.5,34.94005254,135.8957041,,,
,国分川,,,,,右岸,1.5,34.93966891,135.8959914,,,
,国分川,,,,,左岸,1.6,34.93978699,135.8947904,,,
,国分川,,,,,右岸,1.6,34.9393451,135.8948983,,,
