水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,堺川,,,,,左岸,0,35.0606162,135.9537899,,,
,堺川,,,,,右岸,0,35.06086043,135.9539311,,,
,堺川,,,,,左岸,0.1,35.06037743,135.9548122,,,
,堺川,,,,,右岸,0.1,35.06060626,135.9549875,,,
,堺川,,,,,左岸,0.2,35.06023599,135.9559998,,,
,堺川,,,,,右岸,0.2,35.06050072,135.9559326,,,
,堺川,,,,,左岸,0.3,35.06118159,135.9568444,,,
,堺川,,,,,右岸,0.3,35.0613822,135.9566238,,,
,堺川,,,,,左岸,0.4,35.06134737,135.9574925,,,
,堺川,,,,,右岸,0.4,35.06159445,135.9573588,,,
,堺川,,,,,左岸,0.5,35.06068844,135.9577587,,,
,堺川,,,,,右岸,0.5,35.06085748,135.9580155,,,
,堺川,,,,,左岸,0.6,35.06000792,135.958359,,,
,堺川,,,,,右岸,0.6,35.0601538,135.9586359,,,
,堺川,,,,,左岸,0.7,35.05971212,135.9593692,,,
,堺川,,,,,右岸,0.7,35.05994578,135.9595348,,,
,堺川,,,,,左岸,0.8,35.05920036,135.9602828,,,
,堺川,,,,,右岸,0.8,35.05944794,135.9604151,,,
,堺川,,,,,左岸,0.9,35.05872063,135.9608228,,,
,堺川,,,,,右岸,0.9,35.05872074,135.9611517,,,
,堺川,,,,,左岸,1,35.05802934,135.9604314,,,
,堺川,,,,,右岸,1,35.05784252,135.9606692,,,
,堺川,,,,,左岸,1.1,35.05744146,135.9600855,,,
,堺川,,,,,右岸,1.1,35.05726639,135.9603361,,,
,堺川,,,,,左岸,1.2,35.05634388,135.96035,,,
,堺川,,,,,右岸,1.2,35.05651521,135.9606045,,,
,堺川,,,,,左岸,1.3,35.05548364,135.9612643,,,
,堺川,,,,,右岸,1.3,35.05571119,135.9614421,,,
,堺川,,,,,左岸,1.4,35.05506579,135.9616467,,,
,堺川,,,,,右岸,1.4,35.05529205,135.9618268,,,
,堺川,,,,,左岸,1.5,35.05453916,135.9625419,,,
,堺川,,,,,右岸,1.5,35.05478503,135.9626789,,,
,堺川,,,,,左岸,1.6,35.05468379,135.9634483,,,
,堺川,,,,,右岸,1.6,35.05488853,135.9636631,,,
,堺川,,,,,左岸,1.7,35.05489747,135.9649708,,,
,堺川,,,,,右岸,1.7,35.05515572,135.9650684,,,
,堺川,,,,,左岸,1.8,35.05520655,135.965686,,,
,堺川,,,,,右岸,1.8,35.05542744,135.9654962,,,
,堺川,,,,,左岸,1.9,35.05525999,135.9666046,,,
,堺川,,,,,右岸,1.9,35.05548825,135.9664282,,,
,堺川,,,,,左岸,2,35.05602815,135.967288,,,
,堺川,,,,,右岸,2,35.05617386,135.9670109,,,
,堺川,,,,,左岸,2.1,35.05643391,135.968085,,,
,堺川,,,,,右岸,2.1,35.05664093,135.9678734,,,
,堺川,,,,,左岸,2.3,35.05602037,135.9695849,,,
,堺川,,,,,右岸,2.3,35.05625918,135.9697393,,,
,堺川,,,,,左岸,2.4,35.05552984,135.9705481,,,
,堺川,,,,,右岸,2.4,35.05572385,135.9707772,,,
,堺川,,,,,左岸,2.5,35.05480722,135.9717608,,,
,堺川,,,,,右岸,2.5,35.05499421,135.9719984,,,
,堺川,,,,,左岸,2.6,35.05454945,135.9722658,,,
,堺川,,,,,右岸,2.6,35.05467722,135.9725557,,,
,堺川,,,,,左岸,2.7,35.05375787,135.972758,,,
,堺川,,,,,右岸,2.7,35.05388447,135.9730486,,,
,堺川,,,,,左岸,2.8,35.05394463,135.974066,,,
,堺川,,,,,右岸,2.8,35.05420016,135.9739583,,,
,堺川,,,,,左岸,2.9,35.05425712,135.9750798,,,
,堺川,,,,,右岸,2.9,35.05451753,135.9749911,,,
,堺川,,,,,左岸,2.2,35.05648505,135.9685229,,,
,堺川,,,,,右岸,2.2,35.05672556,135.9686732,,,
