水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,境川（琵琶湖合流）,,,,,左岸,0,35.43107182,136.0404127,,,
,境川（琵琶湖合流）,,,,,右岸,0,35.43054104,136.0405396,,,
,境川（琵琶湖合流）,,,,,左岸,0.1,35.43094709,136.0393481,,,
,境川（琵琶湖合流）,,,,,右岸,0.1,35.43040995,136.0394253,,,
,境川（琵琶湖合流）,,,,,左岸,0.2,35.43090272,136.0382819,,,
,境川（琵琶湖合流）,,,,,右岸,0.2,35.43036196,136.0382935,,,
,境川（琵琶湖合流）,,,,,左岸,0.3,35.43090042,136.0371942,,,
,境川（琵琶湖合流）,,,,,右岸,0.3,35.43035972,136.0371789,,,
,境川（琵琶湖合流）,,,,,左岸,0.4,35.43095032,136.0361082,,,
,境川（琵琶湖合流）,,,,,右岸,0.4,35.43041057,136.036066,,,
,境川（琵琶湖合流）,,,,,左岸,0.5,35.43100781,136.0350091,,,
,境川（琵琶湖合流）,,,,,右岸,0.5,35.43046806,136.0349669,,,
,境川（琵琶湖合流）,,,,,左岸,0.6,35.43106682,136.0339107,,,
,境川（琵琶湖合流）,,,,,右岸,0.6,35.43052715,136.0338673,,,
,境川（琵琶湖合流）,,,,,左岸,0.7,35.43112606,136.0328118,,,
,境川（琵琶湖合流）,,,,,右岸,0.7,35.43058639,136.0327683,,,
,境川（琵琶湖合流）,,,,,左岸,0.8,35.43117824,136.031708,,,
,境川（琵琶湖合流）,,,,,右岸,0.8,35.43063815,136.0316731,,,
,境川（琵琶湖合流）,,,,,左岸,0.9,35.4312259,136.0306082,,,
,境川（琵琶湖合流）,,,,,右岸,0.9,35.43068581,136.0305733,,,
,境川（琵琶湖合流）,,,,,左岸,1,35.43126911,136.0295043,,,
,境川（琵琶湖合流）,,,,,右岸,1,35.43072873,136.0294771,,,
,境川（琵琶湖合流）,,,,,左岸,1.1,35.43130614,136.0284038,,,
,境川（琵琶湖合流）,,,,,右岸,1.1,35.43076575,136.0283767,,,
,境川（琵琶湖合流）,,,,,左岸,1.2,35.43131212,136.0272821,,,
,境川（琵琶湖合流）,,,,,右岸,1.2,35.43077142,136.0272969,,,
,境川（琵琶湖合流）,,,,,左岸,1.3,35.43125737,136.0261379,,,
,境川（琵琶湖合流）,,,,,右岸,1.3,35.4307234,136.0262429,,,
,境川（琵琶湖合流）,,,,,左岸,1.4,35.43081494,136.0250281,,,
,境川（琵琶湖合流）,,,,,右岸,1.4,35.43037162,136.0254067,,,
,境川（琵琶湖合流）,,,,,左岸,1.5,35.43031719,136.0241502,,,
,境川（琵琶湖合流）,,,,,右岸,1.5,35.4298451,136.0244726,,,
,境川（琵琶湖合流）,,,,,左岸,1.6,35.43000667,136.0232152,,,
,境川（琵琶湖合流）,,,,,右岸,1.6,35.42948244,136.0233777,,,
,境川（琵琶湖合流）,,,,,左岸,1.7,35.42999347,136.0221709,,,
,境川（琵琶湖合流）,,,,,右岸,1.7,35.42945484,136.0222306,,,
,境川（琵琶湖合流）,,,,,左岸,1.8,35.429832,136.0210413,,,
,境川（琵琶湖合流）,,,,,右岸,1.8,35.42930583,136.0211943,,,
,境川（琵琶湖合流）,,,,,左岸,1.9,35.42964565,136.0199748,,,
,境川（琵琶湖合流）,,,,,右岸,1.9,35.42911574,136.020107,,,
,境川（琵琶湖合流）,,,,,左岸,2,35.4294653,136.0188957,,,
,境川（琵琶湖合流）,,,,,右岸,2,35.42893539,136.0190279,,,
,境川（琵琶湖合流）,,,,,左岸,2.1,35.42936105,136.0179133,,,
,境川（琵琶湖合流）,,,,,右岸,2.1,35.42882428,136.0178323,,,
,境川（琵琶湖合流）,,,,,左岸,2.2,35.42949771,136.0168543,,,
,境川（琵琶湖合流）,,,,,右岸,2.2,35.42896872,136.0167166,,,
,境川（琵琶湖合流）,,,,,左岸,2.3,35.42977686,136.0159142,,,
,境川（琵琶湖合流）,,,,,右岸,2.3,35.42930249,136.0155968,,,
,境川（琵琶湖合流）,,,,,左岸,2.4,35.43020833,136.0149453,,,
,境川（琵琶湖合流）,,,,,右岸,2.4,35.42973262,136.0146309,,,
,境川（琵琶湖合流）,,,,,左岸,2.5,35.43062933,136.0139817,,,
,境川（琵琶湖合流）,,,,,右岸,2.5,35.4301606,136.0136521,,,
,境川（琵琶湖合流）,,,,,左岸,2.6,35.43107154,136.0130149,,,
,境川（琵琶湖合流）,,,,,右岸,2.6,35.43059779,136.0126961,,,
,境川（琵琶湖合流）,,,,,左岸,2.7,35.43153438,136.012149,,,
,境川（琵琶湖合流）,,,,,右岸,2.7,35.43112188,136.0117216,,,
,境川（琵琶湖合流）,,,,,左岸,2.8,35.43212383,136.0114124,,,
,境川（琵琶湖合流）,,,,,右岸,2.8,35.43178797,136.0108945,,,
