水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,大同川,,,,,左岸,0,35.18711123,136.1440288,,,
,大同川,,,,,右岸,0,35.18754151,136.1438653,,,
,大同川,,,,,左岸,0.1,35.1874442,136.1450895,,,
,大同川,,,,,右岸,0.1,35.18785066,136.1448523,,,
,大同川,,,,,左岸,0.2,35.18798097,136.1460642,,,
,大同川,,,,,右岸,0.2,35.18830886,136.1456874,,,
,大同川,,,,,左岸,0.3,35.18874785,136.1467545,,,
,大同川,,,,,右岸,0.3,35.18898944,136.146291,,,
,大同川,,,,,左岸,0.4,35.18950887,136.147343,,,
,大同川,,,,,右岸,0.4,35.18975046,136.1468795,,,
,大同川,,,,,左岸,0.5,35.19026988,136.1479316,,,
,大同川,,,,,右岸,0.5,35.19051147,136.1474681,,,
,大同川,,,,,左岸,0.6,35.19104381,136.1485064,,,
,大同川,,,,,右岸,0.6,35.19127687,136.1480364,,,
,大同川,,,,,左岸,0.7,35.19204686,136.1492445,,,
,大同川,,,,,右岸,0.7,35.19227992,136.1487746,,,
,大同川,,,,,左岸,0.8,35.19256517,136.1496516,,,
,大同川,,,,,右岸,0.8,35.19282174,136.1492002,,,
,大同川,,,,,左岸,0.9,35.19309225,136.15038,,,
,大同川,,,,,右岸,0.9,35.19347964,136.1500994,,,
,大同川,,,,,左岸,1,35.19329597,136.1510128,,,
,大同川,,,,,右岸,1,35.19373496,136.1508884,,,
,大同川,,,,,左岸,1.1,35.19328354,136.1523166,,,
,大同川,,,,,右岸,1.1,35.19372722,136.1524132,,,
,大同川,,,,,左岸,1.2,35.19292358,136.1532033,,,
,大同川,,,,,右岸,1.2,35.19330717,136.1534916,,,
,大同川,,,,,左岸,1.3,35.19248955,136.1542809,,,
,大同川,,,,,右岸,1.3,35.19293492,136.1543652,,,
,大同川,,,,,左岸,1.4,35.19264957,136.1555023,,,
,大同川,,,,,右岸,1.4,35.19305497,136.1552623,,,
,大同川,,,,,左岸,1.5,35.19337804,136.1563423,,,
,大同川,,,,,右岸,1.5,35.19363527,136.1558915,,,
,大同川,,,,,左岸,1.6,35.19419229,136.1570317,,,
,大同川,,,,,右岸,1.6,35.19444952,136.1565808,,,
,大同川,,,,,左岸,1.7,35.19478447,136.1575331,,,
,大同川,,,,,右岸,1.7,35.1950417,136.1570822,,,
,大同川,,,,,左岸,1.8,35.19560163,136.1582193,,,
,大同川,,,,,右岸,1.8,35.19585733,136.1577672,,,
,大同川,,,,,左岸,1.9,35.19631763,136.1588378,,,
,大同川,,,,,右岸,1.9,35.19661009,136.15842,,,
,大同川,,,,,左岸,2,35.19685118,136.159616,,,
,大同川,,,,,右岸,2,35.19722859,136.1593159,,,
,大同川,,,,,左岸,2.1,35.1971084,136.1605452,,,
,大同川,,,,,右岸,2.1,35.19755286,136.160454,,,
,大同川,,,,,左岸,2.2,35.19703827,136.1614949,,,
,大同川,,,,,右岸,2.2,35.19746413,136.1616747,,,
,大同川,,,,,左岸,2.3,35.19666343,136.162435,,,
,大同川,,,,,右岸,2.3,35.19705526,136.1627063,,,
,大同川,,,,,左岸,2.4,35.19621794,136.1633897,,,
,大同川,,,,,右岸,2.4,35.19660978,136.163661,,,
,大同川,,,,,左岸,2.5,35.19577245,136.1643444,,,
,大同川,,,,,右岸,2.5,35.19616429,136.1646157,,,
,大同川,,,,,左岸,2.6,35.19532651,136.1652983,,,
,大同川,,,,,右岸,2.6,35.19571806,136.1655703,,,
,大同川,,,,,左岸,2.7,35.19487999,136.1662523,,,
,大同川,,,,,右岸,2.7,35.19527153,136.1665243,,,
,大同川,,,,,左岸,2.8,35.19443512,136.1672107,,,
,大同川,,,,,右岸,2.8,35.19482896,136.1674777,,,
,大同川,,,,,左岸,2.9,35.19399477,136.1681579,,,
,大同川,,,,,右岸,2.9,35.19438087,136.1684412,,,
,大同川,,,,,左岸,3,35.19352508,136.169075,,,
,大同川,,,,,右岸,3,35.19389622,136.1693865,,,
,大同川,,,,,左岸,3.1,35.19309527,136.1697558,,,
,大同川,,,,,右岸,3.1,35.19344738,136.1700985,,,
,大同川,,,,,左岸,3.2,35.19235533,136.170708,,,
,大同川,,,,,右岸,3.2,35.19270109,136.1710602,,,
,大同川,,,,,左岸,3.3,35.19181176,136.1716088,,,
,大同川,,,,,右岸,3.3,35.19217777,136.1719293,,,
,大同川,,,,,左岸,3.4,35.19129355,136.1725221,,,
,大同川,,,,,右岸,3.4,35.19167106,136.1728221,,,
,大同川,,,,,左岸,3.5,35.19080777,136.1734524,,,
,大同川,,,,,右岸,3.5,35.19118922,136.1737449,,,
,大同川,,,,,左岸,3.6,35.19032758,136.1743817,,,
,大同川,,,,,右岸,3.6,35.19070903,136.1746742,,,
,大同川,,,,,左岸,3.7,35.18985641,136.1753865,,,
,大同川,,,,,右岸,3.7,35.19028197,136.1755673,,,
,大同川,,,,,左岸,3.8,35.18939743,136.1762537,,,
,大同川,,,,,右岸,3.8,35.1897786,136.1765467,,,
,大同川,,,,,左岸,3.9,35.18891388,136.1771782,,,
,大同川,,,,,右岸,3.9,35.18929339,136.1774743,,,
,大同川,,,,,左岸,4,35.18857314,136.1778248,,,
,大同川,,,,,右岸,4,35.18895242,136.1781214,,,
,大同川,,,,,左岸,4.1,35.18792252,136.1789316,,,
,大同川,,,,,右岸,4.1,35.18824066,136.1793205,,,
,大同川,,,,,左岸,4.2,35.18735258,136.1792263,,,
,大同川,,,,,右岸,4.2,35.18734717,136.1797753,,,
,大同川,,,,,左岸,4.3,35.18638637,136.1795494,,,
,大同川,,,,,右岸,4.3,35.18663736,136.1800055,,,
,大同川,,,,,左岸,4.4,35.1856242,136.1801634,,,
,大同川,,,,,右岸,4.4,35.18589822,136.1805993,,,
,大同川,,,,,左岸,4.5,35.18496216,136.1805133,,,
,大同川,,,,,右岸,4.5,35.18496134,136.1810623,,,
,大同川,,,,,左岸,4.6,35.18438606,136.1810939,,,
,大同川,,,,,右岸,4.6,35.18435783,136.1816418,,,
,大同川,,,,,左岸,4.7,35.18340017,136.1811033,,,
,大同川,,,,,右岸,4.7,35.18355456,136.1816191,,,
,大同川,,,,,左岸,4.8,35.18266026,136.1812827,,,
,大同川,,,,,右岸,4.8,35.18256455,136.1818192,,,
,大同川,,,,,左岸,4.9,35.18162581,136.1813389,,,
,大同川,,,,,右岸,4.9,35.18184763,136.1818168,,,
,大同川,,,,,左岸,5,35.18096291,136.1818929,,,
,大同川,,,,,右岸,5,35.18110721,136.182413,,,
,大同川,,,,,左岸,5.1,35.18031845,136.1824843,,,
,大同川,,,,,右岸,5.1,35.18062433,136.1828875,,,
,大同川,,,,,左岸,5.2,35.17940183,136.183015,,,
,大同川,,,,,右岸,5.2,35.1797431,136.1833736,,,
,大同川,,,,,左岸,5.3,35.17855198,136.1836702,,,
,大同川,,,,,右岸,5.3,35.1789995,136.1837356,,,
,大同川,,,,,左岸,5.4,35.17821982,136.1842389,,,
,大同川,,,,,右岸,5.4,35.17852659,136.1846411,,,
,大同川,,,,,左岸,5.5,35.17774031,136.1840639,,,
,大同川,,,,,右岸,5.5,35.17753285,136.1845512,,,
,大同川,,,,,左岸,5.6,35.17702715,136.1833303,,,
,大同川,,,,,右岸,5.6,35.17704034,136.183879,,,
,大同川,,,,,左岸,5.7,35.17632342,136.1841728,,,
,大同川,,,,,右岸,5.7,35.17677046,136.1842428,,,
,大同川,,,,,左岸,5.8,35.17609235,136.184585,,,
,大同川,,,,,右岸,5.8,35.17602316,136.1851274,,,
,大同川,,,,,左岸,5.9,35.1756043,136.18393,,,
,大同川,,,,,右岸,5.9,35.17527801,136.1843087,,,
,大同川,,,,,左岸,6,35.17488772,136.1831978,,,
,大同川,,,,,右岸,6,35.17461337,136.1836333,,,
,大同川,,,,,左岸,6.1,35.17401208,136.1835343,,,
,大同川,,,,,右岸,6.1,35.17445816,136.183613,,,
,大同川,,,,,左岸,6.2,35.17362579,136.1844146,,,
,大同川,,,,,右岸,6.2,35.17402132,136.1846778,,,
,大同川,,,,,左岸,6.3,35.1737578,136.1854597,,,
,大同川,,,,,右岸,6.3,35.1738024,136.1849134,,,
,大同川,,,,,左岸,6.4,35.17337467,136.185706,,,
,大同川,,,,,右岸,6.4,35.17366801,136.1861227,,,
,大同川,,,,,左岸,6.5,35.17265154,136.1858315,,,
,大同川,,,,,右岸,6.5,35.17296965,136.1862204,,,
,大同川,,,,,左岸,6.6,35.17228834,136.1859944,,,
