水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,大堀川,,,,,左岸,0,35.07432943,136.0328912,,,
,大堀川,,,,,右岸,0,35.07470978,136.0331854,,,
,大堀川,,,,,左岸,0.1,35.07384571,136.0338165,,,
,大堀川,,,,,右岸,0.1,35.07422606,136.0341107,,,
,大堀川,,,,,左岸,0.2,35.0734862,136.0339811,,,
,大堀川,,,,,右岸,0.2,35.07326772,136.0344607,,,
,大堀川,,,,,左岸,0.3,35.0724574,136.0341556,,,
,大堀川,,,,,右岸,0.3,35.07283702,136.0344512,,,
,大堀川,,,,,左岸,0.4,35.07196759,136.0350685,,,
,大堀川,,,,,右岸,0.4,35.07234148,136.0353747,,,
,大堀川,,,,,左岸,0.5,35.0716616,136.0349818,,,
,大堀川,,,,,右岸,0.5,35.07130749,136.035321,,,
,大堀川,,,,,左岸,0.6,35.07110386,136.0341203,,,
,大堀川,,,,,右岸,0.6,35.07074975,136.0344595,,,
,大堀川,,,,,左岸,0.7,35.07054302,136.0332583,,,
,大堀川,,,,,右岸,0.7,35.0701918,136.0336019,,,
,大堀川,,,,,左岸,0.8,35.06980721,136.0324848,,,
,大堀川,,,,,右岸,0.8,35.06956867,136.03295,,,
,大堀川,,,,,左岸,0.9,35.06887958,136.0321113,,,
,大堀川,,,,,右岸,0.9,35.06882713,136.0326558,,,
