РЕМnЦЉ,ЙЌРмЦЉ,ЙЌРмФ‘НЖ,ТnХыРЃФхЛ«,ОЦЦ±ПКЦЉ,К«КНПoТ£ПК,НґЙEКЁ,ЛЧЧ£ХWЦЉ,И№Уx,МoУx,С™Ч ФNМОУъ,РЁТuУъ,УPЛОУъ
,СеЛ{Рм,,,,,НґКЁ,0,35.06581777,135.887773,,,
,СеЛ{Рм,,,,,ЙEКЁ,0,35.06545956,135.8874402,,,
,СеЛ{Рм,,,,,НґКЁ,0.1,35.06636198,135.8868903,,,
,СеЛ{Рм,,,,,ЙEКЁ,0.1,35.06599697,135.8865687,,,
,СеЛ{Рм,,,,,НґКЁ,0.2,35.06689184,135.8860133,,,
,СеЛ{Рм,,,,,ЙEКЁ,0.2,35.06653468,135.8856788,,,
,СеЛ{Рм,,,,,НґКЁ,0.3,35.0674253,135.8851207,,,
,СеЛ{Рм,,,,,ЙEКЁ,0.3,35.06706097,135.884798,,,
,СеЛ{Рм,,,,,НґКЁ,0.4,35.06792093,135.8841874,,,
,СеЛ{Рм,,,,,ЙEКЁ,0.4,35.06754273,135.8838892,,,
,СеЛ{Рм,,,,,НґКЁ,0.5,35.06844867,135.8833491,,,
,СеЛ{Рм,,,,,ЙEКЁ,0.5,35.06811005,135.8829873,,,
,СеЛ{Рм,,,,,НґКЁ,0.6,35.06896031,135.882655,,,
,СеЛ{Рм,,,,,ЙEКЁ,0.6,35.06883142,135.8821297,,,
,СеЛ{Рм,,,,,НґКЁ,0.7,35.06980161,135.8821179,,,
,СеЛ{Рм,,,,,ЙEКЁ,0.7,35.06957919,135.881641,,,
,СеЛ{Рм,,,,,НґКЁ,0.8,35.07054376,135.8815275,,,
,СеЛ{Рм,,,,,ЙEКЁ,0.8,35.07034005,135.8810384,,,
,СеЛ{Рм,,,,,НґКЁ,0.9,35.07127336,135.8808675,,,
,СеЛ{Рм,,,,,ЙEКЁ,0.9,35.07103806,135.8803999,,,
,СеЛ{Рм,,,,,НґКЁ,1,35.07211958,135.8801231,,,
,СеЛ{Рм,,,,,ЙEКЁ,1,35.07202712,135.8795865,,,
,СеЛ{Рм,,,,,НґКЁ,1.1,35.07264298,135.8795131,,,
,СеЛ{Рм,,,,,ЙEКЁ,1.1,35.0723331,135.879115,,,
,СеЛ{Рм,,,,,НґКЁ,1.2,35.07332628,135.8785959,,,
,СеЛ{Рм,,,,,ЙEКЁ,1.2,35.07287594,135.8785732,,,
,СеЛ{Рм,,,,,НґКЁ,1.3,35.07378835,135.8777711,,,
