水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,大導寺川,,,,,左岸,0,34.85519334,135.8657146,,,
,大導寺川,,,,,右岸,0,34.85543596,135.8658596,,,
,大導寺川,,,,,左岸,0.1,34.85516246,135.8669084,,,
,大導寺川,,,,,右岸,0.1,34.85540175,135.8667555,,,
,大導寺川,,,,,左岸,0.2,34.85492097,135.867617,,,
,大導寺川,,,,,右岸,0.2,34.85516171,135.8677664,,,
,大導寺川,,,,,左岸,0.3,34.85517999,135.8687365,,,
,大導寺川,,,,,右岸,0.3,34.85544195,135.8686549,,,
,大導寺川,,,,,左岸,0.4,34.85541,135.8696676,,,
,大導寺川,,,,,右岸,0.4,34.8556758,135.8697281,,,
,大導寺川,,,,,左岸,0.5,34.85480627,135.8702939,,,
,大導寺川,,,,,右岸,0.5,34.85501539,135.8705019,,,
,大導寺川,,,,,左岸,0.6,34.85481259,135.8710861,,,
,大導寺川,,,,,右岸,0.6,34.85484648,135.8714116,,,
,大導寺川,,,,,左岸,0.7,34.85391872,135.8710087,,,
,大導寺川,,,,,右岸,0.7,34.85397518,135.8713295,,,
,大導寺川,,,,,左岸,0.9,34.85365806,135.872947,,,
,大導寺川,,,,,右岸,0.9,34.85388966,135.8731164,,,
,大導寺川,,,,,左岸,1,34.85319985,135.873754,,,
,大導寺川,,,,,右岸,1,34.85330221,135.8740576,,,
,大導寺川,,,,,左岸,1.1,34.85246164,135.8742955,,,
,大導寺川,,,,,右岸,1.1,34.85273143,135.8743185,,,
,大導寺川,,,,,左岸,1.2,34.85212281,135.8750241,,,
,大導寺川,,,,,右岸,1.2,34.85219344,135.8753408,,,
,大導寺川,,,,,左岸,1.3,34.85146408,135.8755095,,,
,大導寺川,,,,,右岸,1.3,34.85136527,135.8758149,,,
,大導寺川,,,,,左岸,1.4,34.85084013,135.876334,,,
,大導寺川,,,,,右岸,1.4,34.85108218,135.8764803,,,
,大導寺川,,,,,左岸,1.5,34.85061693,135.8773187,,,
,大導寺川,,,,,右岸,1.5,34.85081393,135.8775435,,,
,大導寺川,,,,,左岸,1.6,34.85033242,135.8784048,,,
,大導寺川,,,,,右岸,1.6,34.85059272,135.8783157,,,
,大導寺川,,,,,左岸,1.7,34.85029551,135.879328,,,
,大導寺川,,,,,右岸,1.7,34.85052306,135.8795053,,,
,大導寺川,,,,,左岸,1.8,34.84961862,135.8798104,,,
,大導寺川,,,,,右岸,1.8,34.84970538,135.8801212,,,
,大導寺川,,,,,左岸,1.9,34.84873283,135.8802597,,,
,大導寺川,,,,,右岸,1.9,34.84892721,135.8804878,,,
,大導寺川,,,,,左岸,2,34.84828521,135.8812105,,,
,大導寺川,,,,,右岸,2,34.84849602,135.881416,,,
,大導寺川,,,,,左岸,2.1,34.84809733,135.882134,,,
,大導寺川,,,,,右岸,2.1,34.84826724,135.8823893,,,
,大導寺川,,,,,左岸,2.2,34.8474048,135.8826979,,,
,大導寺川,,,,,右岸,2.2,34.84765162,135.882832,,,
,大導寺川,,,,,左岸,0.8,34.85400311,135.8720487,,,
,大導寺川,,,,,右岸,0.8,34.85427251,135.8720199,,,
