水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,大川（恩智川合流）,,,,,左岸,0,34.69864476,135.6341085,,,
,大川（恩智川合流）,,,,,右岸,0,34.69896507,135.6343091,,,
,大川（恩智川合流）,,,,,左岸,0.1,34.69853817,135.6352799,,,
,大川（恩智川合流）,,,,,右岸,0.1,34.69889875,135.6352849,,,
,大川（恩智川合流）,,,,,左岸,0.2,34.69852783,135.6363714,,,
,大川（恩智川合流）,,,,,右岸,0.2,34.69888841,135.6363764,,,
,大川（恩智川合流）,,,,,左岸,0.3,34.69851747,135.6374629,,,
,大川（恩智川合流）,,,,,右岸,0.3,34.69887805,135.6374679,,,
,大川（恩智川合流）,,,,,左岸,0.4,34.69884939,135.6383837,,,
,大川（恩智川合流）,,,,,右岸,0.4,34.69906346,135.6380324,,,
,大川（恩智川合流）,,,,,左岸,0.5,34.69905695,135.6393778,,,
,大川（恩智川合流）,,,,,右岸,0.5,34.69941714,135.6393987,,,
,大川（恩智川合流）,,,,,左岸,0.6,34.69902539,135.6404749,,,
,大川（恩智川合流）,,,,,右岸,0.6,34.69938593,135.6404831,,,
,大川（恩智川合流）,,,,,左岸,0.7,34.69900837,135.6415662,,,
,大川（恩智川合流）,,,,,右岸,0.7,34.69936891,135.6415745,,,
,大川（恩智川合流）,,,,,左岸,0.8,34.69899216,135.6426598,,,
,大川（恩智川合流）,,,,,右岸,0.8,34.69935275,135.6426636,,,
,大川（恩智川合流）,,,,,左岸,0.9,34.69898316,135.6437507,,,
,大川（恩智川合流）,,,,,右岸,0.9,34.69934374,135.6437557,,,
,大川（恩智川合流）,,,,,左岸,1,34.69922428,135.6451955,,,
,大川（恩智川合流）,,,,,右岸,1,34.69956683,135.6450591,,,
,大川（恩智川合流）,,,,,左岸,1.1,34.69932985,135.6459282,,,
,大川（恩智川合流）,,,,,右岸,1.1,34.6996802,135.6458248,,,
,大川（恩智川合流）,,,,,左岸,1.2,34.69941659,135.6469828,,,
,大川（恩智川合流）,,,,,右岸,1.2,34.69977463,135.6469309,,,
,大川（恩智川合流）,,,,,左岸,1.3,34.69944101,135.6480369,,,
,大川（恩智川合流）,,,,,右岸,1.3,34.69980161,135.6480343,,,
,大川（恩智川合流）,,,,,左岸,1.4,34.69996796,135.6491672,,,
,大川（恩智川合流）,,,,,右岸,1.4,34.70031128,135.6490337,,,
,大川（恩智川合流）,,,,,左岸,1.5,34.70059589,135.6497251,,,
,大川（恩智川合流）,,,,,右岸,1.5,34.70070298,135.6493081,,,
