РЕМnЦЉ,ЙЌРмЦЉ,ЙЌРмФ‘НЖ,ТnХыРЃФхЛ«,ОЦЦ±ПКЦЉ,К«КНПoТ£ПК,НґЙEКЁ,ЛЧЧ£ХWЦЉ,И№Уx,МoУx,С™Ч ФNМОУъ,РЁТuУъ,УPЛОУъ
,СеСyРм,,,,,НґКЁ,0,35.14212602,136.0569693,,,
,СеСyРм,,,,,ЙEКЁ,0,35.14237165,136.0574294,,,
,СеСyРм,,,,,НґКЁ,0.1,35.14137299,136.0575894,,,
,СеСyРм,,,,,ЙEКЁ,0.1,35.1416316,136.0580388,,,
,СеСyРм,,,,,НґКЁ,0.2,35.14063468,136.0582191,,,
,СеСyРм,,,,,ЙEКЁ,0.2,35.14089329,136.0586685,,,
,СеСyРм,,,,,НґКЁ,0.3,35.1398932,136.0588378,,,
,СеСyРм,,,,,ЙEКЁ,0.3,35.14014769,136.0592907,,,
,СеСyРм,,,,,НґКЁ,0.4,35.13914914,136.059456,,,
,СеСyРм,,,,,ЙEКЁ,0.4,35.13940255,136.0599097,,,
,СеСyРм,,,,,НґКЁ,0.5,35.13840366,136.060073,,,
,СеСyРм,,,,,ЙEКЁ,0.5,35.13865707,136.0605267,,,
,СеСyРм,,,,,НґКЁ,0.6,35.1376606,136.0606995,,,
,СеСyРм,,,,,ЙEКЁ,0.6,35.13791809,136.0611499,,,
,СеСyРм,,,,,НґКЁ,0.7,35.1369211,136.0613226,,,
,СеСyРм,,,,,ЙEКЁ,0.7,35.13717515,136.0617759,,,
,СеСyРм,,,,,НґКЁ,0.8,35.13617648,136.0619412,,,
,СеСyРм,,,,,ЙEКЁ,0.8,35.13643053,136.0623944,,,
,СеСyРм,,,,,НґКЁ,0.9,35.13543287,136.0625569,,,
,СеСyРм,,,,,ЙEКЁ,0.9,35.1356834,136.063013,,,
,СеСyРм,,,,,НґКЁ,1,35.13468317,136.0631704,,,
,СеСyРм,,,,,ЙEКЁ,1,35.13493685,136.0636239,,,
,СеСyРм,,,,,НґКЁ,1.1,35.13393754,136.0637891,,,
,СеСyРм,,,,,ЙEКЁ,1.1,35.13419276,136.0642413,,,
,СеСyРм,,,,,НґКЁ,1.2,35.13311996,136.0644734,,,
,СеСyРм,,,,,ЙEКЁ,1.2,35.13337614,136.0649248,,,
,СеСyРм,,,,,НґКЁ,1.3,35.13245244,136.0650347,,,
,СеСyРм,,,,,ЙEКЁ,1.3,35.13270861,136.0654861,,,
,СеСyРм,,,,,НґКЁ,1.4,35.13171074,136.0656583,,,
,СеСyРм,,,,,ЙEКЁ,1.4,35.13196692,136.0661098,,,
,СеСyРм,,,,,НґКЁ,1.5,35.13096989,136.0662848,,,
,СеСyРм,,,,,ЙEКЁ,1.5,35.13122711,136.0667354,,,
,СеСyРм,,,,,НґКЁ,1.6,35.13022964,136.0669111,,,
,СеСyРм,,,,,ЙEКЁ,1.6,35.13048687,136.0673616,,,
,СеСyРм,,,,,НґКЁ,1.7,35.12948605,136.0675249,,,
,СеСyРм,,,,,ЙEКЁ,1.7,35.12973835,136.0679795,,,
,СеСyРм,,,,,НґКЁ,1.8,35.12928422,136.068702,,,
,СеСyРм,,,,,ЙEКЁ,1.8,35.12970166,136.0684951,,,
,СеСyРм,,,,,НґКЁ,1.9,35.1295222,136.0694134,,,
,СеСyРм,,,,,ЙEКЁ,1.9,35.12993964,136.0692065,,,
,СеСyРм,,,,,НґКЁ,2,35.12921672,136.0699607,,,
,СеСyРм,,,,,ЙEКЁ,2,35.1292497,136.0705078,,,
,СеСyРм,,,,,НґКЁ,2.1,35.128576,136.0696214,,,
,СеСyРм,,,,,ЙEКЁ,2.1,35.12827404,136.0700287,,,
,СеСyРм,,,,,НґКЁ,2.2,35.12812279,136.0688427,,,
,СеСyРм,,,,,ЙEКЁ,2.2,35.1277026,136.0690412,,,
,СеСyРм,,,,,НґКЁ,2.3,35.12710709,136.068969,,,
,СеСyРм,,,,,ЙEКЁ,2.3,35.12736018,136.069423,,,
,СеСyРм,,,,,НґКЁ,2.4,35.12636117,136.0695851,,,
,СеСyРм,,,,,ЙEКЁ,2.4,35.12661427,136.0700391,,,
,СеСyРм,,,,,НґКЁ,2.5,35.12561698,136.0702123,,,
,СеСyРм,,,,,ЙEКЁ,2.5,35.12587616,136.0706611,,,
,СеСyРм,,,,,НґКЁ,2.6,35.12487678,136.0708341,,,
,СеСyРм,,,,,ЙEКЁ,2.6,35.12513254,136.0712858,,,
,СеСyРм,,,,,НґКЁ,2.7,35.12413451,136.0714567,,,
,СеСyРм,,,,,ЙEКЁ,2.7,35.12439028,136.0719084,,,
,СеСyРм,,,,,НґКЁ,2.8,35.12339141,136.0720766,,,
,СеСyРм,,,,,ЙEКЁ,2.8,35.12364627,136.0725291,,,
,СеСyРм,,,,,НґКЁ,2.9,35.1226479,136.072697,,,
,СеСyРм,,,,,ЙEКЁ,2.9,35.12290275,136.0731495,,,
,СеСyРм,,,,,НґКЁ,3,35.12190459,136.0733191,,,
,СеСyРм,,,,,ЙEКЁ,3,35.12216046,136.0737707,,,
,СеСyРм,,,,,НґКЁ,3.1,35.12116221,136.0739388,,,
,СеСyРм,,,,,ЙEКЁ,3.1,35.12141608,136.0743921,,,
,СеСyРм,,,,,НґКЁ,3.2,35.12041735,136.0745568,,,
,СеСyРм,,,,,ЙEКЁ,3.2,35.12067122,136.0750101,,,
,СеСyРм,,,,,НґКЁ,3.3,35.11974501,136.0752309,,,
,СеСyРм,,,,,ЙEКЁ,3.3,35.119999,136.075684,,,
,СеСyРм,,,,,НґКЁ,3.4,35.11900031,136.0758491,,,
,СеСyРм,,,,,ЙEКЁ,3.4,35.1192543,136.0763023,,,
,СеСyРм,,,,,НґКЁ,3.5,35.11825561,136.0764673,,,
,СеСyРм,,,,,ЙEКЁ,3.5,35.11850959,136.0769205,,,
,СеСyРм,,,,,НґКЁ,3.6,35.11799556,136.0760784,,,
,СеСyРм,,,,,ЙEКЁ,3.6,35.11762161,136.0763847,,,
,СеСyРм,,,,,НґКЁ,3.7,35.11715621,136.0759378,,,
