水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,大戸川北,,,,,左岸,0,34.85930854,136.0584705,,,
,大戸川北,,,,,右岸,0,34.85970861,136.0587224,,,
,大戸川北,,,,,左岸,0.1,34.85909897,136.0597204,,,
,大戸川北,,,,,右岸,0.1,34.85949985,136.0594704,,,
,大戸川北,,,,,左岸,0.2,34.85896567,136.0605235,,,
,大戸川北,,,,,右岸,0.2,34.85940425,136.0606497,,,
,大戸川北,,,,,左岸,0.3,34.8587576,136.0615876,,,
,大戸川北,,,,,右岸,0.3,34.85919618,136.0617138,,,
,大戸川北,,,,,左岸,0.4,34.85853848,136.0621998,,,
,大戸川北,,,,,右岸,0.4,34.85864145,136.0627322,,,
,大戸川北,,,,,左岸,0.5,34.85819197,136.0635283,,,
,大戸川北,,,,,右岸,0.5,34.85860422,136.0633072,,,
,大戸川北,,,,,左岸,0.6,34.85887187,136.0644903,,,
,大戸川北,,,,,右岸,0.6,34.85894201,136.0639501,,,
,大戸川北,,,,,左岸,0.7,34.85901037,136.0651066,,,
,大戸川北,,,,,右岸,0.7,34.85945518,136.065195,,,
,大戸川北,,,,,左岸,0.8,34.85872182,136.0662108,,,
,大戸川北,,,,,右岸,0.8,34.85917047,136.066158,,,
,大戸川北,,,,,左岸,0.9,34.85922419,136.0669523,,,
,大戸川北,,,,,右岸,0.9,34.85966716,136.0670534,,,
,大戸川北,,,,,左岸,1,34.8593563,136.0681574,,,
,大戸川北,,,,,右岸,1,34.85963917,136.0677316,,,
,大戸川北,,,,,左岸,1.1,34.85919709,136.0687435,,,
,大戸川北,,,,,右岸,1.1,34.85958273,136.0690266,,,
,大戸川北,,,,,左岸,1.2,34.85886315,136.0698412,,,
,大戸川北,,,,,右岸,1.2,34.85927639,136.0700595,,,
,大戸川北,,,,,左岸,1.3,34.85883861,136.0709441,,,
,大戸川北,,,,,右岸,1.3,34.85928809,136.070903,,,
,大戸川北,,,,,左岸,1.4,34.85901403,136.0719255,,,
,大戸川北,,,,,右岸,1.4,34.85946218,136.0719841,,,
,大戸川北,,,,,左岸,1.5,34.8596984,136.072828,,,
,大戸川北,,,,,右岸,1.5,34.85997349,136.0723948,,,
,大戸川北,,,,,左岸,1.6,34.85994893,136.073688,,,
,大戸川北,,,,,右岸,1.6,34.86035429,136.0734489,,,
,大戸川北,,,,,左岸,1.7,34.86044348,136.0743719,,,
,大戸川北,,,,,右岸,1.7,34.86089302,136.074412,,,
,大戸川北,,,,,左岸,1.8,34.86092902,136.0754556,,,
,大戸川北,,,,,右岸,1.8,34.86128612,136.0751219,,,
,大戸川北,,,,,左岸,1.9,34.86105609,136.0764092,,,
,大戸川北,,,,,右岸,1.9,34.86149346,136.076277,,,
,大戸川北,,,,,左岸,2,34.86164291,136.0771265,,,
,大戸川北,,,,,右岸,2,34.86209076,136.0770646,,,
,大戸川北,,,,,左岸,2.1,34.86182498,136.0782967,,,
,大戸川北,,,,,右岸,2.1,34.86213726,136.0779023,,,
,大戸川北,,,,,左岸,2.2,34.86219744,136.0791635,,,
,大戸川北,,,,,右岸,2.2,34.86257268,136.0788605,,,
,大戸川北,,,,,左岸,2.3,34.8624503,136.079822,,,
,大戸川北,,,,,右岸,2.3,34.86285362,136.0795779,,,
,大戸川北,,,,,左岸,2.4,34.86276049,136.0806116,,,
,大戸川北,,,,,右岸,2.4,34.86320815,136.0806754,,,
,大戸川北,,,,,左岸,2.5,34.8629096,136.0815787,,,
,大戸川北,,,,,右岸,2.5,34.86332013,136.0818045,,,
,大戸川北,,,,,左岸,2.6,34.86357514,136.0822432,,,
,大戸川北,,,,,右岸,2.6,34.86398208,136.0820081,,,
,大戸川北,,,,,左岸,2.7,34.86391814,136.0832822,,,
,大戸川北,,,,,右岸,2.7,34.86427333,136.0829456,,,
