水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,大沢川,,,,,左岸,0,34.93383244,136.2593969,,,
,大沢川,,,,,右岸,0,34.93412226,136.2598161,,,
,大沢川,,,,,左岸,0.1,34.93314357,136.2601704,,,
,大沢川,,,,,右岸,0.1,34.93348832,136.260523,,,
,大沢川,,,,,左岸,0.2,34.9325711,136.2609781,,,
,大沢川,,,,,右岸,0.2,34.93290296,136.2613485,,,
,大沢川,,,,,左岸,0.3,34.93154197,136.2615353,,,
,大沢川,,,,,右岸,0.3,34.93180932,136.2619759,,,
,大沢川,,,,,左岸,0.4,34.93086686,136.2621908,,,
,大沢川,,,,,右岸,0.4,34.93119226,136.2625695,,,
,大沢川,,,,,左岸,0.5,34.93068758,136.2630198,,,
,大沢川,,,,,右岸,0.5,34.93112122,136.2631691,,,
,大沢川,,,,,左岸,0.6,34.93011701,136.2636683,,,
,大沢川,,,,,右岸,0.6,34.93042633,136.2640664,,,
,大沢川,,,,,左岸,0.7,34.92934979,136.2643603,,,
,大沢川,,,,,右岸,0.7,34.92979968,136.2643939,,,
,大沢川,,,,,左岸,0.8,34.92893307,136.2651021,,,
,大沢川,,,,,右岸,0.8,34.9293831,136.2650714,,,
,大沢川,,,,,左岸,0.9,34.92835535,136.2652998,,,
,大沢川,,,,,右岸,0.9,34.92874611,136.2655726,,,
,大沢川,,,,,左岸,1,34.92850181,136.2660167,,,
,大沢川,,,,,右岸,1,34.92866213,136.2665282,,,
,大沢川,,,,,左岸,1.1,34.9275382,136.2668701,,,
,大沢川,,,,,右岸,1.1,34.92794915,136.2670949,,,
,大沢川,,,,,左岸,1.2,34.92768666,136.2675577,,,
,大沢川,,,,,右岸,1.2,34.92803788,136.2679007,,,
,大沢川,,,,,左岸,1.3,34.92692831,136.2676376,,,
,大沢川,,,,,右岸,1.3,34.92715918,136.2681076,,,
,大沢川,,,,,左岸,1.4,34.92618464,136.2678988,,,
,大沢川,,,,,右岸,1.4,34.92623611,136.2684425,,,
,大沢川,,,,,左岸,1.5,34.9255157,136.2684619,,,
,大沢川,,,,,右岸,1.5,34.92575536,136.2689254,,,
,大沢川,,,,,左岸,1.6,34.92473508,136.2689407,,,
,大沢川,,,,,右岸,1.6,34.92499168,136.2693907,,,
