水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,大福川,,,,,左岸,0,34.86792876,135.9026345,,,
,大福川,,,,,右岸,0,34.86766158,135.9025836,,,
,大福川,,,,,左岸,0.1,34.86740947,135.9020488,,,
,大福川,,,,,右岸,0.1,34.86762082,135.9022535,,,
,大福川,,,,,左岸,0.2,34.86665829,135.902457,,,
,大福川,,,,,右岸,0.2,34.86692874,135.9024566,,,
,大福川,,,,,左岸,0.3,34.86628408,135.9029079,,,
,大福川,,,,,右岸,0.3,34.86617625,135.9032088,,,
,大福川,,,,,左岸,0.4,34.86529638,135.9028933,,,
,大福川,,,,,右岸,0.4,34.86542854,135.9031796,,,
,大福川,,,,,左岸,0.5,34.86493444,135.9039498,,,
,大福川,,,,,右岸,0.5,34.86515264,135.9037559,,,
,大福川,,,,,左岸,0.7,34.86345349,135.9039193,,,
,大福川,,,,,右岸,0.7,34.86353926,135.9042305,,,
,大福川,,,,,左岸,0.8,34.86267336,135.9040115,,,
,大福川,,,,,右岸,0.8,34.86267949,135.9043395,,,
,大福川,,,,,左岸,0.9,34.86175533,135.9043899,,,
,大福川,,,,,右岸,0.9,34.86192282,135.9046475,,,
,大福川,,,,,左岸,1,34.86100091,135.9050145,,,
,大福川,,,,,右岸,1,34.86123039,135.9051881,,,
,大福川,,,,,左岸,1.1,34.86039307,135.905757,,,
,大福川,,,,,右岸,1.1,34.86061734,135.9059404,,,
,大福川,,,,,左岸,1.2,34.85988572,135.90658,,,
,大福川,,,,,右岸,1.2,34.86010165,135.9067775,,,
,大福川,,,,,左岸,1.3,34.85933458,135.9070147,,,
,大福川,,,,,右岸,1.3,34.85927218,135.907334,,,
,大福川,,,,,左岸,1.4,34.85848582,135.907225,,,
,大福川,,,,,右岸,1.4,34.85842808,135.9075456,,,
,大福川,,,,,左岸,1.5,34.85763514,135.9073391,,,
,大福川,,,,,右岸,1.5,34.85770576,135.9076559,,,
,大福川,,,,,左岸,1.6,34.85684754,135.9078752,,,
,大福川,,,,,右岸,1.6,34.85695296,135.9081774,,,
,大福川,,,,,左岸,1.7,34.8561186,135.9077264,,,
,大福川,,,,,右岸,1.7,34.85595276,135.9079855,,,
,大福川,,,,,左岸,1.8,34.85526034,135.9075996,,,
,大福川,,,,,右岸,1.8,34.85522959,135.9079255,,,
,大福川,,,,,左岸,1.9,34.85442861,135.9078147,,,
,大福川,,,,,右岸,1.9,34.85441198,135.9081422,,,
,大福川,,,,,左岸,2,34.85360025,135.9074899,,,
,大福川,,,,,右岸,2,34.85357894,135.907817,,,
,大福川,,,,,左岸,2.1,34.85292265,135.9079432,,,
,大福川,,,,,右岸,2.1,34.85291325,135.9082711,,,
,大福川,,,,,左岸,2.2,34.85200992,135.908244,,,
,大福川,,,,,右岸,2.2,34.85213109,135.9085373,,,
,大福川,,,,,左岸,0.6,34.8643398,135.9037513,,,
,大福川,,,,,右岸,0.6,34.86420452,135.9040355,,,
