水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,大野川,,,,,左岸,0,34.56068146,136.0122425,,,
,大野川,,,,,右岸,0,34.56032421,136.0119102,,,
,大野川,,,,,左岸,0.1,34.56097441,136.0110125,,,
,大野川,,,,,右岸,0.1,34.56053709,136.0111446,,,
,大野川,,,,,左岸,0.2,34.56075422,136.0100182,,,
,大野川,,,,,右岸,0.2,34.56032914,136.0101995,,,
,大野川,,,,,左岸,0.3,34.56068295,136.0093143,,,
,大野川,,,,,右岸,0.3,34.56034607,136.0089523,,,
,大野川,,,,,左岸,0.4,34.5613999,136.0087539,,,
,大野川,,,,,右岸,0.4,34.56111631,136.0083303,,,
,大野川,,,,,左岸,0.5,34.56149954,136.0074422,,,
,大野川,,,,,右岸,0.5,34.5610508,136.0074938,,,
,大野川,,,,,左岸,0.6,34.56158497,136.0063199,,,
,大野川,,,,,右岸,0.6,34.56115512,136.006484,,,
,大野川,,,,,左岸,0.7,34.56183785,136.0055061,,,
,大野川,,,,,右岸,0.7,34.56140259,136.0053644,,,
,大野川,,,,,左岸,0.8,34.56218913,136.0050548,,,
,大野川,,,,,右岸,0.8,34.56218916,136.0045099,,,
,大野川,,,,,左岸,0.9,34.56298073,136.0043369,,,
,大野川,,,,,右岸,0.9,34.56268391,136.0039269,,,
,大野川,,,,,左岸,1,34.56353195,136.0034429,,,
,大野川,,,,,右岸,1,34.56316907,136.0031197,,,
,大野川,,,,,左岸,1.1,34.56401019,136.0028479,,,
,大野川,,,,,右岸,1.1,34.56394861,136.0023081,,,
,大野川,,,,,左岸,1.2,34.56495116,136.002712,,,
,大野川,,,,,右岸,1.2,34.56478181,136.002207,,,
,大野川,,,,,左岸,1.3,34.56553921,136.0027488,,,
,大野川,,,,,右岸,1.3,34.56584382,136.0023471,,,
,大野川,,,,,左岸,1.4,34.56637115,136.0023683,,,
,大野川,,,,,右岸,1.4,34.56597185,136.0021155,,,
,大野川,,,,,左岸,1.5,34.56712803,136.0021223,,,
,大野川,,,,,右岸,1.5,34.5670361,136.0015888,,,
,大野川,,,,,左岸,1.6,34.56811559,136.0017732,,,
,大野川,,,,,右岸,1.6,34.56770631,136.0015448,,,
,大野川,,,,,左岸,1.7,34.56862209,136.0008933,,,
,大野川,,,,,右岸,1.7,34.56817585,136.0008163,,,
,大野川,,,,,左岸,1.8,34.56898627,136.0004652,,,
,大野川,,,,,右岸,1.8,34.56884373,135.9999483,,,
,大野川,,,,,左岸,1.9,34.56968169,135.9999031,,,
,大野川,,,,,右岸,1.9,34.56962289,135.9993629,,,
,大野川,,,,,左岸,2,34.570615,135.9991055,,,
,大野川,,,,,右岸,2,34.57016449,135.9990867,,,
,大野川,,,,,左岸,2.1,34.57100293,135.9989793,,,
,大野川,,,,,右岸,2.1,34.57100292,135.9984344,,,
,大野川,,,,,左岸,2.2,34.57202492,135.9985388,,,
,大野川,,,,,右岸,2.2,34.57157492,135.9985068,,,
,大野川,,,,,左岸,2.3,34.57244317,135.9976903,,,
,大野川,,,,,右岸,2.3,34.57223465,135.9972072,,,
,大野川,,,,,左岸,2.4,34.57294045,135.9975174,,,
,大野川,,,,,右岸,2.4,34.57304564,135.9969875,,,
,大野川,,,,,左岸,2.5,34.57392502,135.9975886,,,
,大野川,,,,,右岸,2.5,34.5737141,135.9971069,,,
,大野川,,,,,左岸,2.6,34.57444895,135.9971598,,,
,大野川,,,,,右岸,2.6,34.57448798,135.9966169,,,
