水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,天保川,,,,,左岸,0,35.159943,136.1812207,,,
,天保川,,,,,右岸,0,35.15969022,136.1816751,,,
,天保川,,,,,左岸,0.1,35.15919667,136.1806051,,,
,天保川,,,,,右岸,0.1,35.15894389,136.1810595,,,
,天保川,,,,,左岸,0.2,35.15845033,136.1799895,,,
,天保川,,,,,右岸,0.2,35.15819755,136.1804439,,,
,天保川,,,,,左岸,0.3,35.15776486,136.1793467,,,
,天保川,,,,,右岸,0.3,35.15753622,136.1798196,,,
,天保川,,,,,左岸,0.4,35.15690866,136.180035,,,
,天保川,,,,,右岸,0.4,35.15729152,136.1803246,,,
,天保川,,,,,左岸,0.5,35.15647015,136.1797651,,,
,天保川,,,,,右岸,0.5,35.15624197,136.1802384,,,
,天保川,,,,,左岸,0.6,35.15566472,136.179254,,,
,天保川,,,,,右岸,0.6,35.15544882,136.1797358,,,
,天保川,,,,,左岸,0.7,35.15490004,136.1786946,,,
,天保川,,,,,右岸,0.7,35.15466792,136.179165,,,
,天保川,,,,,左岸,0.8,35.1540323,136.1789716,,,
,天保川,,,,,右岸,0.8,35.15441378,136.1792639,,,
,天保川,,,,,左岸,0.9,35.15375706,136.1791982,,,
,天保川,,,,,右岸,0.9,35.15350023,136.1796492,,,
,天保川,,,,,左岸,1,35.15295397,136.1784985,,,
,天保川,,,,,右岸,1,35.15269048,136.1789438,,,
,天保川,,,,,左岸,1.1,35.15201223,136.1781411,,,
,天保川,,,,,右岸,1.1,35.15237232,136.1784711,,,
,天保川,,,,,左岸,1.2,35.15112545,136.1789438,,,
,天保川,,,,,右岸,1.2,35.15145311,136.1793206,,,
,天保川,,,,,左岸,1.3,35.15070348,136.1792811,,,
,天保川,,,,,右岸,1.3,35.15070267,136.1798299,,,
,天保川,,,,,左岸,1.4,35.1498704,136.1796379,,,
,天保川,,,,,右岸,1.4,35.14996592,136.1801742,,,
,天保川,,,,,左岸,1.5,35.14934742,136.1790331,,,
,天保川,,,,,右岸,1.5,35.14906494,136.1794607,,,
,天保川,,,,,左岸,1.6,35.1484401,136.1796731,,,
,天保川,,,,,右岸,1.6,35.14873377,136.1800894,,,
,天保川,,,,,左岸,1.7,35.14775625,136.1803882,,,
,天保川,,,,,右岸,1.7,35.14804992,136.1808045,,,
,天保川,,,,,左岸,1.8,35.14698884,136.1806342,,,
,天保川,,,,,右岸,1.8,35.14722835,136.181099,,,
,天保川,,,,,左岸,1.9,35.14622927,136.1812095,,,
,天保川,,,,,右岸,1.9,35.14645709,136.181683,,,
,天保川,,,,,左岸,2,35.14547982,136.1819379,,,
,天保川,,,,,右岸,2,35.14583426,136.1822769,,,
,天保川,,,,,左岸,2.1,35.14490131,136.1827522,,,
,天保川,,,,,右岸,2.1,35.14523473,136.1831214,,,
,天保川,,,,,左岸,2.2,35.14442241,136.1837507,,,
,天保川,,,,,右岸,2.2,35.14481317,136.1840241,,,
,天保川,,,,,左岸,2.3,35.14397135,136.184833,,,
,天保川,,,,,右岸,2.3,35.14439308,136.1850266,,,
,天保川,,,,,左岸,2.4,35.14364597,136.1856749,,,
,天保川,,,,,右岸,2.4,35.14400349,136.186009,,,
,天保川,,,,,左岸,2.5,35.14365656,136.1864449,,,
,天保川,,,,,右岸,2.5,35.14406523,136.1866764,,,
,天保川,,,,,左岸,2.6,35.14308717,136.1874419,,,
,天保川,,,,,右岸,2.6,35.14341316,136.1878209,,,
,天保川,,,,,左岸,2.7,35.14251233,136.1880009,,,
,天保川,,,,,右岸,2.7,35.1427536,136.1884644,,,
,天保川,,,,,左岸,2.8,35.14176178,136.1890344,,,
,天保川,,,,,右岸,2.8,35.14196009,136.1895272,,,
,天保川,,,,,左岸,2.9,35.14116763,136.1897368,,,
,天保川,,,,,右岸,2.9,35.14157207,136.189979,,,
