水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,天神川（園部川合流）,,,,,左岸,0,35.10684549,135.4809503,,,
,天神川（園部川合流）,,,,,右岸,0,35.10651164,135.4807845,,,
,天神川（園部川合流）,,,,,左岸,0.1,35.10708527,135.4798792,,,
,天神川（園部川合流）,,,,,右岸,0.1,35.10673912,135.4797564,,,
,天神川（園部川合流）,,,,,左岸,0.2,35.10740841,135.4789213,,,
,天神川（園部川合流）,,,,,右岸,0.2,35.10710078,135.4786924,,,
,天神川（園部川合流）,,,,,左岸,0.3,35.10788681,135.4780611,,,
,天神川（園部川合流）,,,,,右岸,0.3,35.10763285,135.4777497,,,
,天神川（園部川合流）,,,,,左岸,0.4,35.10861219,135.4775289,,,
,天神川（園部川合流）,,,,,右岸,0.4,35.10844136,135.4771424,,,
,天神川（園部川合流）,,,,,左岸,0.5,35.10942665,135.4768347,,,
,天神川（園部川合流）,,,,,右岸,0.5,35.10910669,135.4766324,,,
,天神川（園部川合流）,,,,,左岸,0.6,35.10941944,135.4755849,,,
,天神川（園部川合流）,,,,,右岸,0.6,35.10911064,135.4758114,,,
,天神川（園部川合流）,,,,,左岸,0.7,35.10885393,135.4746666,,,
,天神川（園部川合流）,,,,,右岸,0.7,35.10859797,135.4749757,,,
,天神川（園部川合流）,,,,,左岸,0.8,35.10810057,135.4739739,,,
,天神川（園部川合流）,,,,,右岸,0.8,35.10792259,135.4743555,,,
,天神川（園部川合流）,,,,,左岸,0.9,35.10731193,135.4734306,,,
,天神川（園部川合流）,,,,,右岸,0.9,35.10714254,135.4738179,,,
,天神川（園部川合流）,,,,,左岸,1,35.10647081,135.4729702,,,
,天神川（園部川合流）,,,,,右岸,1,35.10634019,135.4733791,,,
,天神川（園部川合流）,,,,,左岸,1.1,35.10557345,135.4726357,,,
,天神川（園部川合流）,,,,,右岸,1.1,35.10552097,135.4730698,,,
,天神川（園部川合流）,,,,,左岸,1.2,35.10464684,135.4726252,,,
,天神川（園部川合流）,,,,,右岸,1.2,35.10464875,135.4730639,,,
,天神川（園部川合流）,,,,,左岸,1.3,35.10374922,135.4726027,,,
,天神川（園部川合流）,,,,,右岸,1.3,35.10374392,135.4730414,,,
,天神川（園部川合流）,,,,,左岸,1.4,35.10288808,135.4725084,,,
,天神川（園部川合流）,,,,,右岸,1.4,35.10281491,135.472938,,,
,天神川（園部川合流）,,,,,左岸,1.5,35.10200651,135.4722076,,,
,天神川（園部川合流）,,,,,右岸,1.5,35.10196502,135.4726434,,,
,天神川（園部川合流）,,,,,左岸,1.6,35.10105871,135.4724246,,,
,天神川（園部川合流）,,,,,右岸,1.6,35.10115901,135.472846,,,
,天神川（園部川合流）,,,,,左岸,1.7,35.10019467,135.4727367,,,
,天神川（園部川合流）,,,,,右岸,1.7,35.1002948,135.4731582,,,
,天神川（園部川合流）,,,,,左岸,1.8,35.0992644,135.4730591,,,
,天神川（園部川合流）,,,,,右岸,1.8,35.09931933,135.4734928,,,
,天神川（園部川合流）,,,,,左岸,1.9,35.09846108,135.4732134,,,
,天神川（園部川合流）,,,,,右岸,1.9,35.09851993,135.4736463,,,
,天神川（園部川合流）,,,,,左岸,2.1,35.09689409,135.4728647,,,
,天神川（園部川合流）,,,,,右岸,2.1,35.09682805,135.473296,,,
,天神川（園部川合流）,,,,,左岸,2.2,35.09620866,135.4734431,,,
,天神川（園部川合流）,,,,,右岸,2.2,35.09621142,135.4736775,,,
,天神川（園部川合流）,,,,,左岸,2.3,35.09552215,135.4732982,,,
,天神川（園部川合流）,,,,,右岸,2.3,35.09535551,135.4732989,,,
,天神川（園部川合流）,,,,,左岸,2.4,35.09509392,135.4723229,,,
,天神川（園部川合流）,,,,,右岸,2.4,35.09507293,135.4725363,,,
,天神川（園部川合流）,,,,,左岸,2.5,35.0944827,135.4719608,,,
,天神川（園部川合流）,,,,,右岸,2.5,35.09438203,135.4721868,,,
,天神川（園部川合流）,,,,,左岸,2,35.09767521,135.4729625,,,
,天神川（園部川合流）,,,,,右岸,2,35.0976582,135.4734008,,,
