水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,天神川（桂川合流）,,,,,左岸,0,34.97892123,135.7205105,,,
,天神川（桂川合流）,,,,,右岸,0,34.97856669,135.7193271,,,
,天神川（桂川合流）,,,,,左岸,0.1,34.97973284,135.7200907,,,
,天神川（桂川合流）,,,,,右岸,0.1,34.97942448,135.7189131,,,
,天神川（桂川合流）,,,,,左岸,0.2,34.98057326,135.7197777,,,
,天神川（桂川合流）,,,,,右岸,0.2,34.98031264,135.7186035,,,
,天神川（桂川合流）,,,,,左岸,0.3,34.98139386,135.719581,,,
,天神川（桂川合流）,,,,,右岸,0.3,34.98126578,135.7184261,,,
,天神川（桂川合流）,,,,,左岸,0.4,34.98229837,135.7194157,,,
,天神川（桂川合流）,,,,,右岸,0.4,34.9821453,135.718269,,,
,天神川（桂川合流）,,,,,左岸,0.5,34.98316986,135.7192601,,,
,天神川（桂川合流）,,,,,右岸,0.5,34.9830554,135.7181016,,,
,天神川（桂川合流）,,,,,左岸,0.6,34.98405773,135.7190569,,,
,天神川（桂川合流）,,,,,右岸,0.6,34.98395297,135.7179966,,,
,天神川（桂川合流）,,,,,左岸,0.7,34.98496348,135.7188965,,,
,天神川（桂川合流）,,,,,右岸,0.7,34.98483027,135.7178379,,,
,天神川（桂川合流）,,,,,左岸,0.8,34.9858553,135.7187366,,,
,天神川（桂川合流）,,,,,右岸,0.8,34.98573479,135.7177788,,,
,天神川（桂川合流）,,,,,左岸,0.9,34.98673729,135.7185698,,,
,天神川（桂川合流）,,,,,右岸,0.9,34.9866284,135.7175632,,,
,天神川（桂川合流）,,,,,左岸,1,34.98761449,135.7182738,,,
,天神川（桂川合流）,,,,,右岸,1,34.98753796,135.7175663,,,
,天神川（桂川合流）,,,,,左岸,1.1,34.98851264,135.7182258,,,
,天神川（桂川合流）,,,,,右岸,1.1,34.98843522,135.7174079,,,
,天神川（桂川合流）,,,,,左岸,1.2,34.98941034,135.7180395,,,
,天神川（桂川合流）,,,,,右岸,1.2,34.98932245,135.7172793,,,
