水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,天竺川,,,,,左岸,0,34.74196729,135.4825974,,,
,天竺川,,,,,右岸,0,34.74146445,135.482356,,,
,天竺川,,,,,左岸,0.1,34.74229988,135.481601,,,
,天竺川,,,,,右岸,0.1,34.74180812,135.4813281,,,
,天竺川,,,,,左岸,0.2,34.74273266,135.4807324,,,
,天竺川,,,,,右岸,0.2,34.74230427,135.4803323,,,
,天竺川,,,,,左岸,0.3,34.7433107,135.4800294,,,
,天竺川,,,,,右岸,0.3,34.7429912,135.4795006,,,
,天竺川,,,,,左岸,0.4,34.74404609,135.479609,,,
,天竺川,,,,,右岸,0.4,34.74387962,135.4789855,,,
,天竺川,,,,,左岸,0.5,34.74490063,135.4793088,,,
,天竺川,,,,,右岸,0.5,34.74475653,135.4786773,,,
,天竺川,,,,,左岸,0.6,34.74576976,135.4790003,,,
,天竺川,,,,,右岸,0.6,34.74561749,135.4783715,,,
,天竺川,,,,,左岸,0.7,34.74658789,135.4787873,,,
,天竺川,,,,,右岸,0.7,34.74655911,135.4781329,,,
,天竺川,,,,,左岸,0.8,34.74745068,135.4788047,,,
,天竺川,,,,,右岸,0.8,34.74749686,135.4781518,,,
,天竺川,,,,,左岸,0.9,34.74838699,135.4788499,,,
,天竺川,,,,,右岸,0.9,34.74836035,135.4781954,,,
,天竺川,,,,,左岸,1,34.74919976,135.4789619,,,
,天竺川,,,,,右岸,1,34.74932643,135.4783248,,,
,天竺川,,,,,左岸,1.1,34.75006359,135.4792566,,,
,天竺川,,,,,右岸,1.1,34.75019791,135.4786218,,,
,天竺川,,,,,左岸,1.2,34.75102859,135.4793914,,,
,天竺川,,,,,右岸,1.2,34.75101355,135.4787363,,,
,天竺川,,,,,左岸,1.3,34.75178504,135.4793782,,,
,天竺川,,,,,右岸,1.3,34.75204709,135.4788049,,,
,天竺川,,,,,左岸,1.4,34.75262588,135.4799642,,,
,天竺川,,,,,右岸,1.4,34.75272414,135.4793197,,,
,天竺川,,,,,左岸,1.5,34.75364455,135.4798572,,,
,天竺川,,,,,右岸,1.5,34.75347085,135.4792365,,,
,天竺川,,,,,左岸,1.6,34.75446092,135.47952,,,
,天竺川,,,,,右岸,1.6,34.75435844,135.4788766,,,
,天竺川,,,,,左岸,1.7,34.75531209,135.479419,,,
,天竺川,,,,,右岸,1.7,34.75529791,135.4787638,,,
,天竺川,,,,,左岸,1.8,34.75619497,135.4794255,,,
,天竺川,,,,,右岸,1.8,34.75621696,135.4787706,,,
,天竺川,,,,,左岸,1.9,34.75710991,135.4794618,,,
,天竺川,,,,,右岸,1.9,34.7571037,135.4788065,,,
,天竺川,,,,,左岸,2,34.75828176,135.4794455,,,
,天竺川,,,,,右岸,2,34.75827555,135.4787902,,,
,天竺川,,,,,左岸,2.1,34.75889999,135.4794711,,,
,天竺川,,,,,右岸,2.1,34.75891866,135.4788161,,,
,天竺川,,,,,左岸,2.2,34.75980668,135.4795005,,,
,天竺川,,,,,右岸,2.2,34.7598142,135.4788452,,,
,天竺川,,,,,左岸,2.3,34.76070808,135.4795157,,,
,天竺川,,,,,右岸,2.3,34.76071559,135.4788603,,,
,天竺川,,,,,左岸,2.4,34.76161077,135.4795286,,,
,天竺川,,,,,右岸,2.4,34.76161574,135.4788732,,,
,天竺川,,,,,左岸,2.5,34.76251222,135.4795386,,,
,天竺川,,,,,右岸,2.5,34.76251719,135.4788832,,,
,天竺川,,,,,左岸,2.6,34.76329007,135.4797603,,,
,天竺川,,,,,右岸,2.6,34.76347847,135.4791459,,,
,天竺川,,,,,左岸,2.7,34.76426132,135.4799337,,,
,天竺川,,,,,右岸,2.7,34.76429197,135.4792793,,,
,天竺川,,,,,左岸,2.8,34.76514967,135.4800218,,,
,天竺川,,,,,右岸,2.8,34.76520032,135.4793692,,,
,天竺川,,,,,左岸,2.9,34.7660327,135.4801338,,,
,天竺川,,,,,右岸,2.9,34.76611016,135.4794851,,,
,天竺川,,,,,左岸,3,34.76680447,135.4803509,,,
,天竺川,,,,,右岸,3,34.7670778,135.4797853,,,
,天竺川,,,,,左岸,3.1,34.76770788,135.4808589,,,
,天竺川,,,,,右岸,3.1,34.76779041,135.4802111,,,
,天竺川,,,,,左岸,3.2,34.76865581,135.4808297,,,
,天竺川,,,,,右岸,3.2,34.76863766,135.4801746,,,
,天竺川,,,,,左岸,3.3,34.76955309,135.4808013,,,
,天竺川,,,,,右岸,3.3,34.76954268,135.4801459,,,
,天竺川,,,,,左岸,3.4,34.77047002,135.4808236,,,
,天竺川,,,,,右岸,3.4,34.7704262,135.4801703,,,
,天竺川,,,,,左岸,3.5,34.77134499,135.4807687,,,
,天竺川,,,,,右岸,3.5,34.77134821,135.4801133,,,
,天竺川,,,,,左岸,3.6,34.77209837,135.4808379,,,
,天竺川,,,,,右岸,3.6,34.77237426,135.480274,,,
,天竺川,,,,,左岸,3.7,34.77306953,135.4812242,,,
,天竺川,,,,,右岸,3.7,34.77308752,135.4805691,,,
,天竺川,,,,,左岸,3.8,34.77390501,135.4813034,,,
,天竺川,,,,,右岸,3.8,34.77404117,135.480669,,,
,天竺川,,,,,左岸,3.9,34.77464475,135.4816932,,,
,天竺川,,,,,右岸,3.9,34.77494393,135.4811471,,,
,天竺川,,,,,左岸,4,34.77543524,135.4823168,,,
,天竺川,,,,,右岸,4,34.77565937,135.4817202,,,
,天竺川,,,,,左岸,4.1,34.77652007,135.4823052,,,
,天竺川,,,,,右岸,4.1,34.77634265,135.4816859,,,
,天竺川,,,,,左岸,4.2,34.77731604,135.4818913,,,
,天竺川,,,,,右岸,4.2,34.7771908,135.4812536,,,
,天竺川,,,,,左岸,4.3,34.77815982,135.4816576,,,
,天竺川,,,,,右岸,4.3,34.77810427,135.4810055,,,
,天竺川,,,,,左岸,4.4,34.77903709,135.4817411,,,
,天竺川,,,,,右岸,4.4,34.77901845,135.481086,,,
,天竺川,,,,,左岸,4.5,34.78001758,135.4813367,,,
,天竺川,,,,,右岸,4.5,34.77970984,135.4807976,,,
,天竺川,,,,,左岸,4.6,34.780715,135.4805111,,,
,天竺川,,,,,右岸,4.6,34.78029321,135.4801007,,,
,天竺川,,,,,左岸,4.7,34.78130023,135.4797153,,,
,天竺川,,,,,右岸,4.7,34.78090684,135.4792653,,,
,天竺川,,,,,左岸,4.8,34.78199688,135.4793869,,,
,天竺川,,,,,右岸,4.8,34.78184421,135.478758,,,
,天竺川,,,,,左岸,4.9,34.78286913,135.4790388,,,
,天竺川,,,,,右岸,4.9,34.78268363,135.478423,,,
,天竺川,,,,,左岸,5,34.78370883,135.47858,,,
,天竺川,,,,,右岸,5,34.78348698,135.4779821,,,
,天竺川,,,,,左岸,5.1,34.78452883,135.4782347,,,
,天竺川,,,,,右岸,5.1,34.78436871,135.4776085,,,
,天竺川,,,,,左岸,5.2,34.78538667,135.4778878,,,
,天竺川,,,,,右岸,5.2,34.7852208,135.4772638,,,
,天竺川,,,,,左岸,5.3,34.78617381,135.4777895,,,
,天竺川,,,,,右岸,5.3,34.78621531,135.4771358,,,
,天竺川,,,,,左岸,5.4,34.78673069,135.4781682,,,
,天竺川,,,,,右岸,5.4,34.78715922,135.4777682,,,
,天竺川,,,,,左岸,5.5,34.78710352,135.4789861,,,
,天竺川,,,,,右岸,5.5,34.7876349,135.4788637,,,
,天竺川,,,,,左岸,5.6,34.78733908,135.4800788,,,
,天竺川,,,,,右岸,5.6,34.78785522,135.4798828,,,
,天竺川,,,,,左岸,5.7,34.78755965,135.4810855,,,
,天竺川,,,,,右岸,5.7,34.78809418,135.4809852,,,
,天竺川,,,,,左岸,5.8,34.78782832,135.4821975,,,
,天竺川,,,,,右岸,5.8,34.78833407,135.4819651,,,
,天竺川,,,,,左岸,5.9,34.7880411,135.4832148,,,
,天竺川,,,,,右岸,5.9,34.78856746,135.4830638,,,
,天竺川,,,,,左岸,6,34.78843747,135.4843255,,,
,天竺川,,,,,右岸,6,34.78887898,135.4839467,,,
,天竺川,,,,,左岸,6.1,34.78907978,135.4851857,,,
,天竺川,,,,,右岸,6.1,34.78944288,135.4846998,,,
,天竺川,,,,,左岸,6.2,34.78967298,135.4859183,,,
,天竺川,,,,,右岸,6.2,34.79010571,135.4855249,,,
,天竺川,,,,,左岸,6.3,34.7901425,135.4868067,,,
,天竺川,,,,,右岸,6.3,34.79060877,135.4864744,,,
,天竺川,,,,,左岸,6.4,34.7907256,135.4877254,,,
,天竺川,,,,,右岸,6.4,34.7911236,135.4872814,,,
,天竺川,,,,,左岸,6.5,34.79136991,135.4885153,,,
,天竺川,,,,,右岸,6.5,34.79174691,135.4880452,,,
,天竺川,,,,,左岸,6.6,34.79207783,135.4892802,,,
,天竺川,,,,,右岸,6.6,34.79237951,135.488736,,,
,天竺川,,,,,左岸,6.7,34.79289186,135.4898554,,,
,天竺川,,,,,右岸,6.7,34.79311968,135.4892608,,,
,天竺川,,,,,左岸,6.8,34.79365957,135.490268,,,
,天竺川,,,,,右岸,6.8,34.7939819,135.4897415,,,
,天竺川,,,,,左岸,6.9,34.79419211,135.4909512,,,
,天竺川,,,,,右岸,6.9,34.79466907,135.490642,,,
,天竺川,,,,,左岸,7,34.79457181,135.491931,,,
,天竺川,,,,,右岸,7,34.79505596,135.4916387,,,
,天竺川,,,,,左岸,7.1,34.79510252,135.4928523,,,
,天竺川,,,,,右岸,7.1,34.79555974,135.492502,,,
,天竺川,,,,,左岸,7.2,34.79567185,135.493802,,,
,天竺川,,,,,右岸,7.2,34.7960334,135.4933144,,,
,天竺川,,,,,左岸,7.3,34.7964459,135.4944505,,,
,天竺川,,,,,右岸,7.3,34.79674244,135.4939021,,,
,天竺川,,,,,左岸,7.4,34.79709653,135.4950953,,,
,天竺川,,,,,右岸,7.4,34.79748399,135.4946378,,,
,天竺川,,,,,左岸,7.5,34.79749836,135.4964371,,,
,天竺川,,,,,右岸,7.5,34.79775866,135.4958623,,,
,天竺川,,,,,左岸,7.6,34.79829702,135.4965016,,,
,天竺川,,,,,右岸,7.6,34.79818828,135.4958593,,,
,天竺川,,,,,左岸,7.7,34.79902521,135.4961914,,,
,天竺川,,,,,右岸,7.7,34.7991264,135.4955473,,,
,天竺川,,,,,左岸,7.8,34.79997035,135.4962516,,,
,天竺川,,,,,右岸,7.8,34.79997902,135.4955959,,,
