水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,女瀬川,,,,,左岸,0,34.83253182,135.6127696,,,
,女瀬川,,,,,右岸,0,34.83194064,135.6119842,,,
,女瀬川,,,,,左岸,0.1,34.83320633,135.6120441,,,
,女瀬川,,,,,右岸,0.1,34.8326046,135.6112447,,,
,女瀬川,,,,,左岸,0.2,34.83376665,135.6114523,,,
,女瀬川,,,,,右岸,0.2,34.83345149,135.6105282,,,
,女瀬川,,,,,左岸,0.3,34.83451044,135.6112409,,,
,女瀬川,,,,,右岸,0.3,34.83449633,135.6105851,,,
,女瀬川,,,,,左岸,0.4,34.83546836,135.6111875,,,
,女瀬川,,,,,右岸,0.4,34.83533514,135.6105517,,,
,女瀬川,,,,,左岸,0.5,34.83635327,135.6104005,,,
,女瀬川,,,,,右岸,0.5,34.83586403,135.6101208,,,
,女瀬川,,,,,左岸,0.6,34.83664754,135.6094407,,,
,女瀬川,,,,,右岸,0.6,34.83620399,135.6090653,,,
,女瀬川,,,,,左岸,0.7,34.83715382,135.6085262,,,
,女瀬川,,,,,右岸,0.7,34.83670261,135.6081644,,,
,女瀬川,,,,,左岸,0.8,34.83759433,135.6078497,,,
,女瀬川,,,,,右岸,0.8,34.83742582,135.6072263,,,
,女瀬川,,,,,左岸,0.9,34.83830909,135.6067888,,,
,女瀬川,,,,,右岸,0.9,34.83776912,135.6067505,,,
,女瀬川,,,,,左岸,1,34.83828812,135.6055708,,,
,女瀬川,,,,,右岸,1,34.83778343,135.6058067,,,
,女瀬川,,,,,左岸,1.1,34.83777996,135.60464,,,
,女瀬川,,,,,右岸,1.1,34.83729354,135.6049269,,,
,女瀬川,,,,,左岸,1.2,34.83767974,135.6037237,,,
,女瀬川,,,,,右岸,1.2,34.83713902,135.6037073,,,
,女瀬川,,,,,左岸,1.3,34.83780652,135.6026254,,,
,女瀬川,,,,,右岸,1.3,34.83726585,135.6026444,,,
,女瀬川,,,,,左岸,1.4,34.8377337,135.6015864,,,
,女瀬川,,,,,右岸,1.4,34.83719539,135.6015224,,,
,女瀬川,,,,,左岸,1.5,34.83790208,135.600844,,,
,女瀬川,,,,,右岸,1.5,34.83761677,135.6002866,,,
