水系名,河川名,河川番号,地方整備局,事務所名,管轄出張所,左右岸,距離標名,緯度,経度,測量年月日,設置日,撤去日
,守道川,,,,,左岸,0,34.47400876,135.9634038,,,
,守道川,,,,,右岸,0,34.4736431,135.9637221,,,
,守道川,,,,,左岸,0.1,34.4734116,135.9625091,,,
,守道川,,,,,右岸,0.1,34.47312628,135.9629305,,,
,守道川,,,,,左岸,0.2,34.47271332,135.9618561,,,
,守道川,,,,,右岸,0.2,34.47241661,135.9622658,,,
,守道川,,,,,左岸,0.3,34.47193473,135.9612974,,,
,守道川,,,,,右岸,0.3,34.47165881,135.9617278,,,
,守道川,,,,,左岸,0.4,34.47116234,135.9606198,,,
,守道川,,,,,右岸,0.4,34.4709813,135.9611182,,,
,守道川,,,,,左岸,0.5,34.47053736,135.9600971,,,
,守道川,,,,,右岸,0.5,34.47018109,135.9604306,,,
,守道川,,,,,左岸,0.6,34.46987208,135.9592358,,,
,守道川,,,,,右岸,0.6,34.46963205,135.9596965,,,
,守道川,,,,,左岸,0.7,34.46922402,135.9587402,,,
,守道川,,,,,右岸,0.7,34.46884807,135.9590405,,,
,守道川,,,,,左岸,0.8,34.46882394,135.9578341,,,
,守道川,,,,,右岸,0.8,34.46840413,135.9580324,,,
,守道川,,,,,左岸,0.9,34.46812609,135.9569388,,,
,守道川,,,,,右岸,0.9,34.46790478,135.9574129,,,
,守道川,,,,,左岸,1,34.46769047,135.9563053,,,
,守道川,,,,,右岸,1,34.46724975,135.9564195,,,
,守道川,,,,,左岸,1.1,34.46750273,135.9551067,,,
,守道川,,,,,右岸,1.1,34.46736037,135.9556231,,,
